"region","year","sector","technology","resource","input.price","feed.cost","feed.EJ","product.EJ","non.en.cost","cost"
"EU-15",1990,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,2822192.6356903,0.00031895101,0.000293,579055.558655,3401248.1943453
"South America_Southern",1990,"biorefining","corn ethanol","Gasoline_corn",1.5582,4051257.917616,0.0008438976,0.0006279,1314961.24032,5366219.157936
"Brazil",1990,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,699544086.969,0.2450903,0.2450903,742108919.37,1441653006.339
"Central America and Caribbean",1990,"biorefining","sugar cane ethanol","Gasoline_sugar",3.0279,420344430.648,0.0534552,0.0534552,161857000.08,582201430.728
"China",2005,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,23184684.0716174,0.002004928226,0.0018418,3639947.194303,26824631.2659204
"EU-12",2005,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,10656352.8223944,0.001594863907,0.0014651,2895475.4231585,13551828.2455529
"EU-15",2005,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,995392088.41541,0.114966925696,0.1056128,208722453.601088,1204114542.0165
"European Free Trade Association",2005,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,2108150.11590848,0.000273448784,0.0002512,496446.267352,2604596.38326048
"South Korea",2005,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,6063159.01175445,0.000501286485,0.0004605,910085.6135175,6973244.62527195
"USA",2005,"biorefining","biodiesel","Distillate_FuelOil_biomassOil",1.8155,133087767.902184,0.013488035442,0.0123906,24487528.344951,157575296.247135
"Australia_NZ",2005,"biorefining","corn ethanol","Gasoline_corn",1.5582,6217843.599792,0.0010688832,0.0007953,1665533.80224,7883377.402032
"Canada",2005,"biorefining","corn ethanol","Gasoline_corn",1.5582,38317786.12116,0.0101267712,0.0075348,15779534.88384,54097321.005
"China",2005,"biorefining","corn ethanol","Gasoline_corn",1.5582,249642322.161116,0.0367377024,0.0273346,57244687.87968,306887010.040796
"EU-12",2005,"biorefining","corn ethanol","Gasoline_corn",1.5582,7899456.46074,0.002000544,0.0014885,3117247.6608,11016704.12154
"EU-15",2005,"biorefining","corn ethanol","Gasoline_corn",1.5582,146446984.508328,0.0333897984,0.0248436,52027983.86688,198474968.375208
