# File: AgMIP_BAU_Diet2020.csv
# Title: BAU scenario 2020 diet by region and sector
# Units: Pcal
# Description: Since we changed to exogenous diet targets and new AgMIP scenarios start after 2020 so we need to reconcile 2020 diet values
# Column types: ccn
# ----------
Region,GCAM_commodity,2020
Africa_Eastern,Corn,40.1919
Africa_Eastern,Fruits,9.41727
Africa_Eastern,Vegetables,2.97502
Africa_Eastern,MiscCrop,1.35412
Africa_Eastern,FiberCrop,0.247639
Africa_Eastern,OilCrop,5.28061
Africa_Eastern,OilPalm,5.67059
Africa_Eastern,Soybean,0.828894
Africa_Eastern,OtherGrain,47.0972
Africa_Eastern,Beef,3.57047
Africa_Eastern,Dairy,11.1157
Africa_Eastern,OtherMeat_Fish,2.90624
Africa_Eastern,Pork,0.7662
Africa_Eastern,Poultry,0.925466
Africa_Eastern,SheepGoat,1.41657
Africa_Eastern,Legumes,20.0653
Africa_Eastern,NutsSeeds,4.78436
Africa_Eastern,Rice,15.0288
Africa_Eastern,RootTuber,24.424
Africa_Eastern,SugarCrop,14.105
Africa_Eastern,Wheat,29.4349
Africa_Northern,Corn,20.5371
Africa_Northern,Fruits,8.67988
Africa_Northern,Vegetables,6.26504
Africa_Northern,MiscCrop,0.689626
Africa_Northern,FiberCrop,0.00416032
Africa_Northern,OilCrop,5.56153
Africa_Northern,OilPalm,0.385747
Africa_Northern,Soybean,8.06366
Africa_Northern,OtherGrain,4.96647
Africa_Northern,Beef,2.17591
Africa_Northern,Dairy,8.7708
Africa_Northern,OtherMeat_Fish,2.82891
Africa_Northern,Pork,0.00497559
Africa_Northern,Poultry,4.1013
Africa_Northern,SheepGoat,1.12749
Africa_Northern,Legumes,3.12141
Africa_Northern,NutsSeeds,1.60892
Africa_Northern,Rice,10.5993
Africa_Northern,RootTuber,4.43077
Africa_Northern,SugarCrop,11.5539
Africa_Northern,Wheat,66.4543
Africa_Southern,Corn,38.8815
Africa_Southern,Fruits,3.83566
Africa_Southern,Vegetables,1.11951
Africa_Southern,MiscCrop,0.197352
Africa_Southern,FiberCrop,0.45427
Africa_Southern,OilCrop,4.41534
Africa_Southern,OilPalm,4.62263
Africa_Southern,Soybean,2.53714
Africa_Southern,OtherGrain,4.29613
Africa_Southern,Beef,1.66445
Africa_Southern,Dairy,2.58152
Africa_Southern,OtherMeat_Fish,1.99145
Africa_Southern,Pork,1.86146
Africa_Southern,Poultry,1.21974
