# File: AgMIP_SectoralWasteShare_agg_updated_future_SSP.csv
# Title: Food calorie waste shares by aggregated food groups derived using AgMIP EL2 data
# Units: %
# Comments: preprocessing and aggregation were performed in gcamfaostat
# Source: AgMIP EL2 2025 and gcamfaostat
# Author: xz (Mar 2025)
# Column types: ciicn
# ----------
scenario,GCAM_region_ID,year,WasteSector,WasteShare
SSP1,1,2010,Animal,0.299680282
SSP1,1,2010,FruitsVeg,0.480088707
SSP1,1,2010,Others,0.226982544
SSP1,1,2011,Animal,0.299980699
SSP1,1,2011,FruitsVeg,0.480389124
SSP1,1,2011,Others,0.227282961
SSP1,1,2012,Animal,0.30058898
SSP1,1,2012,FruitsVeg,0.480997404
SSP1,1,2012,Others,0.227891241
SSP1,1,2013,Animal,0.301138092
SSP1,1,2013,FruitsVeg,0.481546517
SSP1,1,2013,Others,0.228440354
SSP1,1,2014,Animal,0.301871947
SSP1,1,2014,FruitsVeg,0.482280372
SSP1,1,2014,Others,0.229174208
SSP1,1,2015,Animal,0.302801348
SSP1,1,2015,FruitsVeg,0.483209773
SSP1,1,2015,Others,0.230103609
SSP1,1,2016,Animal,0.303248535
SSP1,1,2016,FruitsVeg,0.48365696
SSP1,1,2016,Others,0.230550797
SSP1,1,2017,Animal,0.303971059
SSP1,1,2017,FruitsVeg,0.484379484
SSP1,1,2017,Others,0.23127332
SSP1,1,2018,Animal,0.304938281
SSP1,1,2018,FruitsVeg,0.484938936
SSP1,1,2018,Others,0.232240543
SSP1,1,2019,Animal,0.305727713
SSP1,1,2019,FruitsVeg,0.484938936
SSP1,1,2019,Others,0.233029974
SSP1,1,2020,Animal,0.304530512
SSP1,1,2020,FruitsVeg,0.484938936
SSP1,1,2020,Others,0.231832773
SSP1,1,2021,Animal,0.30560902
SSP1,1,2021,FruitsVeg,0.484938936
SSP1,1,2021,Others,0.232911281
SSP1,1,2022,Animal,0.30662176
SSP1,1,2022,FruitsVeg,0.484938936
SSP1,1,2022,Others,0.233924021
SSP1,1,2023,Animal,0.307604285
SSP1,1,2023,FruitsVeg,0.484938936
SSP1,1,2023,Others,0.234906547
SSP1,1,2024,Animal,0.308558164
SSP1,1,2024,FruitsVeg,0.484938936
SSP1,1,2024,Others,0.235860425
SSP1,1,2025,Animal,0.309484844
SSP1,1,2025,FruitsVeg,0.484938936
SSP1,1,2025,Others,0.236787105
SSP1,1,2026,Animal,0.310158126
SSP1,1,2026,FruitsVeg,0.484938936
SSP1,1,2026,Others,0.237460388
SSP1,1,2027,Animal,0.310815666
SSP1,1,2027,FruitsVeg,0.484938936
SSP1,1,2027,Others,0.238117927
SSP1,1,2028,Animal,0.311457962
SSP1,1,2028,FruitsVeg,0.484938936
SSP1,1,2028,Others,0.238760223
SSP1,1,2029,Animal,0.312085478
SSP1,1,2029,FruitsVeg,0.484938936
SSP1,1,2029,Others,0.239387739
SSP1,1,2030,Animal,0.312699023
SSP1,1,2030,FruitsVeg,0.484938936
SSP1,1,2030,Others,0.240001284
SSP1,1,2031,Animal,0.313352539
SSP1,1,2031,FruitsVeg,0.484938936
SSP1,1,2031,Others,0.2406548
SSP1,1,2032,Animal,0.313991336
SSP1,1,2032,FruitsVeg,0.484938936
SSP1,1,2032,Others,0.241293597
SSP1,1,2033,Animal,0.314615853
SSP1,1,2033,FruitsVeg,0.484938936
SSP1,1,2033,Others,0.241918115
SSP1,1,2034,Animal,0.315226504
SSP1,1,2034,FruitsVeg,0.484938936
SSP1,1,2034,Others,0.242528765
SSP1,1,2035,Animal,0.315824038
SSP1,1,2035,FruitsVeg,0.484938936
SSP1,1,2035,Others,0.243126299
SSP1,1,2036,Animal,0.316460698
SSP1,1,2036,FruitsVeg,0.484938936
SSP1,1,2036,Others,0.243762959
SSP1,1,2037,Animal,0.317083783
SSP1,1,2037,FruitsVeg,0.484938936
SSP1,1,2037,Others,0.244386044
SSP1,1,2038,Animal,0.317693547
SSP1,1,2038,FruitsVeg,0.484938936
SSP1,1,2038,Others,0.244995808
SSP1,1,2039,Animal,0.318290584
SSP1,1,2039,FruitsVeg,0.484938936
SSP1,1,2039,Others,0.245592845
SSP1,1,2040,Animal,0.318875462
SSP1,1,2040,FruitsVeg,0.484938936
SSP1,1,2040,Others,0.246177723
SSP1,1,2041,Animal,0.319457357
SSP1,1,2041,FruitsVeg,0.484938936
SSP1,1,2041,Others,0.246759618
SSP1,1,2042,Animal,0.32002797
SSP1,1,2042,FruitsVeg,0.484938936
SSP1,1,2042,Others,0.247330231
SSP1,1,2043,Animal,0.320587558
SSP1,1,2043,FruitsVeg,0.484938936
SSP1,1,2043,Others,0.24788982
SSP1,1,2044,Animal,0.321136484
SSP1,1,2044,FruitsVeg,0.484938936
SSP1,1,2044,Others,0.248438745
SSP1,1,2045,Animal,0.321674971
SSP1,1,2045,FruitsVeg,0.484938936
SSP1,1,2045,Others,0.248977232
SSP1,1,2046,Animal,0.322167757
SSP1,1,2046,FruitsVeg,0.484938936
SSP1,1,2046,Others,0.249470018
SSP1,1,2047,Animal,0.322652218
SSP1,1,2047,FruitsVeg,0.484938936
SSP1,1,2047,Others,0.249954479
SSP1,1,2048,Animal,0.323128591
SSP1,1,2048,FruitsVeg,0.484938936
SSP1,1,2048,Others,0.250430852
SSP1,1,2049,Animal,0.323597105
SSP1,1,2049,FruitsVeg,0.484938936
SSP1,1,2049,Others,0.250899366
SSP1,1,2050,Animal,0.324057978
SSP1,1,2050,FruitsVeg,0.484938936
SSP1,1,2050,Others,0.251360239
SSP1,1,2051,Animal,0.32451044
SSP1,1,2051,FruitsVeg,0.484938936
SSP1,1,2051,Others,0.251812702
SSP1,1,2052,Animal,0.324956323
SSP1,1,2052,FruitsVeg,0.484938936
SSP1,1,2052,Others,0.252258584
SSP1,1,2053,Animal,0.325395792
SSP1,1,2053,FruitsVeg,0.484938936
SSP1,1,2053,Others,0.252698053
SSP1,1,2054,Animal,0.325829004
SSP1,1,2054,FruitsVeg,0.484938936
SSP1,1,2054,Others,0.253131266
SSP1,1,2055,Animal,0.326256
SSP1,1,2055,FruitsVeg,0.484938936
SSP1,1,2055,Others,0.253558261
SSP1,1,2056,Animal,0.326687825
SSP1,1,2056,FruitsVeg,0.484938936
SSP1,1,2056,Others,0.253990086
SSP1,1,2057,Animal,0.327113967
SSP1,1,2057,FruitsVeg,0.484938936
SSP1,1,2057,Others,0.254416228
SSP1,1,2058,Animal,0.327534558
SSP1,1,2058,FruitsVeg,0.484938936
SSP1,1,2058,Others,0.25483682
SSP1,1,2059,Animal,0.327949725
SSP1,1,2059,FruitsVeg,0.484938936
SSP1,1,2059,Others,0.255251986
SSP1,1,2060,Animal,0.328359589
SSP1,1,2060,FruitsVeg,0.484938936
SSP1,1,2060,Others,0.25566185
SSP1,1,2061,Animal,0.328780108
SSP1,1,2061,FruitsVeg,0.484938936
SSP1,1,2061,Others,0.256082369
SSP1,1,2062,Animal,0.329195353
SSP1,1,2062,FruitsVeg,0.484938936
SSP1,1,2062,Others,0.256497615
SSP1,1,2063,Animal,0.329605552
SSP1,1,2063,FruitsVeg,0.484938936
SSP1,1,2063,Others,0.256907813
SSP1,1,2064,Animal,0.330010813
SSP1,1,2064,FruitsVeg,0.484938936
SSP1,1,2064,Others,0.257313074
SSP1,1,2065,Animal,0.330411241
SSP1,1,2065,FruitsVeg,0.484938936
SSP1,1,2065,Others,0.257713502
SSP1,1,2066,Animal,0.33080591
SSP1,1,2066,FruitsVeg,0.484938936
SSP1,1,2066,Others,0.258108172
SSP1,1,2067,Animal,0.331196099
SSP1,1,2067,FruitsVeg,0.484938936
SSP1,1,2067,Others,0.25849836
SSP1,1,2068,Animal,0.331581785
SSP1,1,2068,FruitsVeg,0.484938936
SSP1,1,2068,Others,0.258884047
SSP1,1,2069,Animal,0.331963283
SSP1,1,2069,FruitsVeg,0.484938936
SSP1,1,2069,Others,0.259265544
SSP1,1,2070,Animal,0.332340565
SSP1,1,2070,FruitsVeg,0.484938936
SSP1,1,2070,Others,0.259642826
SSP1,1,2071,Animal,0.332713215
SSP1,1,2071,FruitsVeg,0.484938936
SSP1,1,2071,Others,0.260015476
SSP1,1,2072,Animal,0.333081892
SSP1,1,2072,FruitsVeg,0.484938936
SSP1,1,2072,Others,0.260384153
SSP1,1,2073,Animal,0.333446893
SSP1,1,2073,FruitsVeg,0.484938936
SSP1,1,2073,Others,0.260749154
SSP1,1,2074,Animal,0.333808176
SSP1,1,2074,FruitsVeg,0.484938936
SSP1,1,2074,Others,0.261110437
SSP1,1,2075,Animal,0.334165697
SSP1,1,2075,FruitsVeg,0.484938936
SSP1,1,2075,Others,0.261467958
SSP1,1,2076,Animal,0.334526318
SSP1,1,2076,FruitsVeg,0.484938936
SSP1,1,2076,Others,0.26182858
SSP1,1,2077,Animal,0.334883638
SSP1,1,2077,FruitsVeg,0.484938936
SSP1,1,2077,Others,0.262185899
SSP1,1,2078,Animal,0.335237711
SSP1,1,2078,FruitsVeg,0.484938936
SSP1,1,2078,Others,0.262539973
SSP1,1,2079,Animal,0.335588595
SSP1,1,2079,FruitsVeg,0.484938936
SSP1,1,2079,Others,0.262890856
SSP1,1,2080,Animal,0.335936342
SSP1,1,2080,FruitsVeg,0.484938936
SSP1,1,2080,Others,0.263238603
SSP1,1,2081,Animal,0.336293548
SSP1,1,2081,FruitsVeg,0.484938936
SSP1,1,2081,Others,0.263595809
SSP1,1,2082,Animal,0.336648018
SSP1,1,2082,FruitsVeg,0.484938936
SSP1,1,2082,Others,0.26395028
SSP1,1,2083,Animal,0.336999908
SSP1,1,2083,FruitsVeg,0.484938936
SSP1,1,2083,Others,0.264302169
SSP1,1,2084,Animal,0.337349035
SSP1,1,2084,FruitsVeg,0.484938936
SSP1,1,2084,Others,0.264651296
SSP1,1,2085,Animal,0.337695552
SSP1,1,2085,FruitsVeg,0.484938936
SSP1,1,2085,Others,0.264997813
SSP1,1,2086,Animal,0.338052319
SSP1,1,2086,FruitsVeg,0.484938936
SSP1,1,2086,Others,0.26535458
SSP1,1,2087,Animal,0.338406863
SSP1,1,2087,FruitsVeg,0.484938936
SSP1,1,2087,Others,0.265709125
SSP1,1,2088,Animal,0.338759326
SSP1,1,2088,FruitsVeg,0.484938936
SSP1,1,2088,Others,0.266061587
SSP1,1,2089,Animal,0.339109848
SSP1,1,2089,FruitsVeg,0.484938936
SSP1,1,2089,Others,0.266412109
SSP1,1,2090,Animal,0.339458235
SSP1,1,2090,FruitsVeg,0.484938936
SSP1,1,2090,Others,0.266760496
SSP1,1,2091,Animal,0.339811322
SSP1,1,2091,FruitsVeg,0.484938936
SSP1,1,2091,Others,0.267113584
SSP1,1,2092,Animal,0.340163011
SSP1,1,2092,FruitsVeg,0.484938936
SSP1,1,2092,Others,0.267465272
SSP1,1,2093,Animal,0.340513319
SSP1,1,2093,FruitsVeg,0.484938936
SSP1,1,2093,Others,0.26781558
SSP1,1,2094,Animal,0.340862266
SSP1,1,2094,FruitsVeg,0.484938936
SSP1,1,2094,Others,0.268164527
SSP1,1,2095,Animal,0.341209871
SSP1,1,2095,FruitsVeg,0.484938936
SSP1,1,2095,Others,0.268512132
SSP1,1,2096,Animal,0.341555792
SSP1,1,2096,FruitsVeg,0.484938936
SSP1,1,2096,Others,0.268858053
SSP1,1,2097,Animal,0.341901278
SSP1,1,2097,FruitsVeg,0.484938936
SSP1,1,2097,Others,0.269203539
SSP1,1,2098,Animal,0.342246341
SSP1,1,2098,FruitsVeg,0.484938936
SSP1,1,2098,Others,0.269548602
SSP1,1,2099,Animal,0.342591108
SSP1,1,2099,FruitsVeg,0.484938936
SSP1,1,2099,Others,0.269893369
SSP1,1,2100,Animal,0.34293536
SSP1,1,2100,FruitsVeg,0.484938936
SSP1,1,2100,Others,0.270237621
SSP2,1,2010,Animal,0.299680282
SSP2,1,2010,FruitsVeg,0.480088707
SSP2,1,2010,Others,0.226982544
SSP2,1,2011,Animal,0.299980699
SSP2,1,2011,FruitsVeg,0.480389124
SSP2,1,2011,Others,0.227282961
SSP2,1,2012,Animal,0.30058898
SSP2,1,2012,FruitsVeg,0.480997404
SSP2,1,2012,Others,0.227891241
SSP2,1,2013,Animal,0.301138092
SSP2,1,2013,FruitsVeg,0.481546517
SSP2,1,2013,Others,0.228440354
SSP2,1,2014,Animal,0.301871947
SSP2,1,2014,FruitsVeg,0.482280372
SSP2,1,2014,Others,0.229174208
SSP2,1,2015,Animal,0.302801348
SSP2,1,2015,FruitsVeg,0.483209773
SSP2,1,2015,Others,0.230103609
SSP2,1,2016,Animal,0.303248535
SSP2,1,2016,FruitsVeg,0.48365696
SSP2,1,2016,Others,0.230550797
SSP2,1,2017,Animal,0.303971059
SSP2,1,2017,FruitsVeg,0.484379484
SSP2,1,2017,Others,0.23127332
SSP2,1,2018,Animal,0.304938281
SSP2,1,2018,FruitsVeg,0.484938936
SSP2,1,2018,Others,0.232240543
SSP2,1,2019,Animal,0.305727713
SSP2,1,2019,FruitsVeg,0.484938936
SSP2,1,2019,Others,0.233029974
SSP2,1,2020,Animal,0.304530512
SSP2,1,2020,FruitsVeg,0.484938936
SSP2,1,2020,Others,0.231832773
SSP2,1,2021,Animal,0.305609022
SSP2,1,2021,FruitsVeg,0.484938936
SSP2,1,2021,Others,0.232911283
SSP2,1,2022,Animal,0.306623052
SSP2,1,2022,FruitsVeg,0.484938936
SSP2,1,2022,Others,0.233925313
SSP2,1,2023,Animal,0.307606986
SSP2,1,2023,FruitsVeg,0.484938936
SSP2,1,2023,Others,0.234909247
SSP2,1,2024,Animal,0.308562134
SSP2,1,2024,FruitsVeg,0.484938936
SSP2,1,2024,Others,0.235864395
SSP2,1,2025,Animal,0.309490074
SSP2,1,2025,FruitsVeg,0.484938936
SSP2,1,2025,Others,0.236792336
SSP2,1,2026,Animal,0.3101418
SSP2,1,2026,FruitsVeg,0.484938936
SSP2,1,2026,Others,0.237444061
SSP2,1,2027,Animal,0.310778369
SSP2,1,2027,FruitsVeg,0.484938936
SSP2,1,2027,Others,0.238080631
SSP2,1,2028,Animal,0.311400614
SSP2,1,2028,FruitsVeg,0.484938936
SSP2,1,2028,Others,0.238702875
SSP2,1,2029,Animal,0.312008954
SSP2,1,2029,FruitsVeg,0.484938936
SSP2,1,2029,Others,0.239311215
SSP2,1,2030,Animal,0.312603906
SSP2,1,2030,FruitsVeg,0.484938936
SSP2,1,2030,Others,0.239906167
SSP2,1,2031,Animal,0.31311256
SSP2,1,2031,FruitsVeg,0.484938936
SSP2,1,2031,Others,0.240414821
SSP2,1,2032,Animal,0.313611367
SSP2,1,2032,FruitsVeg,0.484938936
SSP2,1,2032,Others,0.240913628
SSP2,1,2033,Animal,0.314100401
SSP2,1,2033,FruitsVeg,0.484938936
SSP2,1,2033,Others,0.241402663
SSP2,1,2034,Animal,0.314580216
SSP2,1,2034,FruitsVeg,0.484938936
SSP2,1,2034,Others,0.241882478
SSP2,1,2035,Animal,0.315050859
SSP2,1,2035,FruitsVeg,0.484938936
SSP2,1,2035,Others,0.24235312
SSP2,1,2036,Animal,0.315484327
SSP2,1,2036,FruitsVeg,0.484938936
SSP2,1,2036,Others,0.242786588
SSP2,1,2037,Animal,0.31591029
SSP2,1,2037,FruitsVeg,0.484938936
SSP2,1,2037,Others,0.243212551
SSP2,1,2038,Animal,0.31632896
SSP2,1,2038,FruitsVeg,0.484938936
SSP2,1,2038,Others,0.243631221
SSP2,1,2039,Animal,0.316740543
