# File:GCAM_Near_Term_Intake_Reference.csv
# Title: GCAM Ref diet by region and sector
# Units: Pcal
# Description: Need 2025 or more recent projection values for near term calibration to have delayed scenarios. Values here were pulled from a GCAM Ref with no dietary change from query food consumption by type (specific)
# Column types: cccnnn
# ----------
scenario,region,technology,2020,2021,2025
reference,Africa_Eastern,Corn,38.2537,38.2153,41.8393
reference,Africa_Eastern,Fruits,11.2695,11.7887,13.2682
reference,Africa_Eastern,Vegetables,3.25404,3.27155,3.68237
reference,Africa_Eastern,MiscCrop,1.11382,1.09133,1.22769
reference,Africa_Eastern,FiberCrop,0.314721,0.350321,0.391576
reference,Africa_Eastern,OilCrop,7.17176,7.86113,8.82139
reference,Africa_Eastern,OilPalm,8.04423,8.43818,9.4952
reference,Africa_Eastern,Soybean,1.26683,1.37403,1.54158
reference,Africa_Eastern,OtherGrain,46.9325,47.6527,52.0066
reference,Africa_Eastern,Beef,3.52541,2.61451,2.8914
reference,Africa_Eastern,Dairy,11.9479,12.0633,13.3792
reference,Africa_Eastern,OtherMeat_Fish,2.54613,2.57302,2.89482
reference,Africa_Eastern,Pork,0.438127,0.415416,0.461417
reference,Africa_Eastern,Poultry,0.916195,0.912568,1.02456
reference,Africa_Eastern,SheepGoat,1.44938,1.31216,1.46996
reference,Africa_Eastern,Legumes,16.57,17.6059,19.6878
reference,Africa_Eastern,NutsSeeds,5.1884,5.66898,6.32968
reference,Africa_Eastern,Rice,19.0204,20.4008,22.4862
reference,Africa_Eastern,RootTuber,20.0257,19.6943,21.6435
reference,Africa_Eastern,SugarCrop,17.4537,19.0197,21.3791
reference,Africa_Eastern,Wheat,31.7043,31.6133,34.8253
reference,Africa_Northern,Corn,21.2405,21.5956,22.6945
reference,Africa_Northern,Fruits,8.77273,8.71916,9.65281
reference,Africa_Northern,Vegetables,5.78765,5.72725,6.34692
reference,Africa_Northern,MiscCrop,0.911663,0.830265,0.921774
reference,Africa_Northern,FiberCrop,0.0119666,0.0053019,0.00585065
reference,Africa_Northern,OilCrop,5.83037,6.39911,7.0283
reference,Africa_Northern,OilPalm,0.418598,0.434603,0.481639
reference,Africa_Northern,Soybean,9.89212,10.107,11.1517
reference,Africa_Northern,OtherGrain,4.49566,4.30897,4.53855
reference,Africa_Northern,Beef,1.8437,1.7184,1.90042
reference,Africa_Northern,Dairy,8.36581,8.50158,9.40468
reference,Africa_Northern,OtherMeat_Fish,3.08763,2.92888,3.25295
reference,Africa_Northern,Pork,0.0053107,0.0047138,0.00523048
reference,Africa_Northern,Poultry,4.63918,4.88584,5.41869
reference,Africa_Northern,SheepGoat,1.09689,1.10753,1.22744
reference,Africa_Northern,Legumes,2.57591,2.5439,2.8122
reference,Africa_Northern,NutsSeeds,1.72366,1.8454,2.03942
reference,Africa_Northern,Rice,9.40168,9.9578,10.4566
reference,Africa_Northern,RootTuber,4.35956,4.40399,4.65033
reference,Africa_Northern,SugarCrop,11.8027,11.7789,13.0434
reference,Africa_Northern,Wheat,67.6387,68.3865,72.5301
reference,Africa_Southern,Corn,38.2956,39.8401,44.0468
reference,Africa_Southern,Fruits,4.09766,4.16304,4.82418
reference,Africa_Southern,Vegetables,1.2803,1.39809,1.61872
reference,Africa_Southern,MiscCrop,0.180105,0.187545,0.217298
reference,Africa_Southern,FiberCrop,0.326827,0.258234,0.298333
reference,Africa_Southern,OilCrop,4.36016,4.54743,5.20719
reference,Africa_Southern,OilPalm,4.82413,4.7324,5.47092
reference,Africa_Southern,Soybean,3.05707,3.37103,3.89308
reference,Africa_Southern,OtherGrain,4.2157,4.24734,4.71088
reference,Africa_Southern,Beef,2.61892,2.65965,3.03349
reference,Africa_Southern,Dairy,2.6977,2.86855,3.28665
reference,Africa_Southern,OtherMeat_Fish,2.09806,2.15356,2.49498
reference,Africa_Southern,Pork,1.56895,1.64449,1.90208
reference,Africa_Southern,Poultry,1.21019,1.37082,1.58645
reference,Africa_Southern,SheepGoat,0.293011,0.287038,0.330891
reference,Africa_Southern,Legumes,6.05629,6.11132,7.04623
reference,Africa_Southern,NutsSeeds,3.31283,3.32529,3.82281
reference,Africa_Southern,Rice,9.78282,10.2932,11.416
reference,Africa_Southern,RootTuber,28.2767,29.1559,32.2876
reference,Africa_Southern,SugarCrop,6.77169,6.80766,7.85857
reference,Africa_Southern,Wheat,7.76942,7.70311,8.5764
reference,Africa_Western,Corn,41.8456,43.0196,47.3808
reference,Africa_Western,Fruits,13.6714,14.8886,17.1151
reference,Africa_Western,Vegetables,6.31151,6.435,7.39665
