# File: A23.subsector_interp_cwf_adj.csv
# Title: Electricity subsector shareweight interpolations to adjust for CWF case. These years need to match with years in the shareweight definition files (e.g. A23.subsector_shrwt_renew_R_cwf_adj.csv)
# Units: Unitless share-weights
# Source: None (assumptions)
# Column types: ccccccnc
# ----------
region,supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
USA,electricity,nuclear,share-weight,2021,2025,0.25,linear
Africa_Eastern,electricity,nuclear,share-weight,2021,2025,0.25,linear
Africa_Northern,electricity,nuclear,share-weight,2021,2025,0.25,linear
Africa_Southern,electricity,nuclear,share-weight,2021,2025,0.25,linear
Africa_Western,electricity,nuclear,share-weight,2021,2025,0.25,linear
Australia_NZ,electricity,nuclear,share-weight,2021,2025,0.25,linear
Brazil,electricity,nuclear,share-weight,2021,2025,0.25,linear
Canada,electricity,nuclear,share-weight,2021,2025,0.25,linear
Central America and Caribbean,electricity,nuclear,share-weight,2021,2025,0.25,linear
Central Asia,electricity,nuclear,share-weight,2021,2025,0.25,linear
China,electricity,nuclear,share-weight,2021,2025,0.25,linear
EU-12,electricity,nuclear,share-weight,2021,2025,0.25,linear
EU-15,electricity,nuclear,share-weight,2021,2025,0.25,linear
Ukraine,electricity,nuclear,share-weight,2021,2025,0.25,linear
Europe_Non_EU,electricity,nuclear,share-weight,2021,2025,0.25,linear
European Free Trade Association,electricity,nuclear,share-weight,2021,2025,0.25,linear
India,electricity,nuclear,share-weight,2021,2025,0.25,linear
Indonesia,electricity,nuclear,share-weight,2021,2025,0.25,linear
Japan,electricity,nuclear,share-weight,2021,2025,0.25,linear
Mexico,electricity,nuclear,share-weight,2021,2025,0.25,linear
Middle East,electricity,nuclear,share-weight,2021,2025,0.25,linear
Pakistan,electricity,nuclear,share-weight,2021,2025,0.25,linear
Russia,electricity,nuclear,share-weight,2021,2025,0.25,linear
South Africa,electricity,nuclear,share-weight,2021,2025,0.25,linear
South America_Northern,electricity,nuclear,share-weight,2021,2025,0.25,linear
South America_Southern,electricity,nuclear,share-weight,2021,2025,0.25,linear
South Asia,electricity,nuclear,share-weight,2021,2025,0.25,linear
South Korea,electricity,nuclear,share-weight,2021,2025,0.25,linear
Southeast Asia,electricity,nuclear,share-weight,2021,2025,0.25,linear
Taiwan,electricity,nuclear,share-weight,2021,2025,0.25,linear
Argentina,electricity,nuclear,share-weight,2021,2025,0.25,linear
Colombia,electricity,nuclear,share-weight,2021,2025,0.25,linear
USA,electricity,nuclear,share-weight,2025,2100,0,linear
Africa_Eastern,electricity,nuclear,share-weight,2025,2100,0,linear
Africa_Northern,electricity,nuclear,share-weight,2025,2100,0,linear
Africa_Southern,electricity,nuclear,share-weight,2025,2100,0,linear
Africa_Western,electricity,nuclear,share-weight,2025,2100,0,linear
Australia_NZ,electricity,nuclear,share-weight,2025,2100,0,linear
Brazil,electricity,nuclear,share-weight,2025,2100,0,linear
Canada,electricity,nuclear,share-weight,2025,2100,0,linear
Central America and Caribbean,electricity,nuclear,share-weight,2025,2100,0,linear
Central Asia,electricity,nuclear,share-weight,2025,2100,0,linear
China,electricity,nuclear,share-weight,2025,2100,0,linear
EU-12,electricity,nuclear,share-weight,2025,2100,0,linear
EU-15,electricity,nuclear,share-weight,2025,2100,0,linear
Ukraine,electricity,nuclear,share-weight,2025,2100,0,linear
Europe_Non_EU,electricity,nuclear,share-weight,2025,2100,0,linear
European Free Trade Association,electricity,nuclear,share-weight,2025,2100,0,linear
India,electricity,nuclear,share-weight,2025,2100,0,linear
Indonesia,electricity,nuclear,share-weight,2025,2100,0,linear
Japan,electricity,nuclear,share-weight,2025,2100,0,linear
Mexico,electricity,nuclear,share-weight,2025,2100,0,linear
Middle East,electricity,nuclear,share-weight,2025,2100,0,linear
Pakistan,electricity,nuclear,share-weight,2025,2100,0,linear
Russia,electricity,nuclear,share-weight,2025,2100,0,linear
South Africa,electricity,nuclear,share-weight,2025,2100,0,linear
South America_Northern,electricity,nuclear,share-weight,2025,2100,0,linear
South America_Southern,electricity,nuclear,share-weight,2025,2100,0,linear
South Asia,electricity,nuclear,share-weight,2025,2100,0,linear
South Korea,electricity,nuclear,share-weight,2025,2100,0,linear
Southeast Asia,electricity,nuclear,share-weight,2025,2100,0,linear
Taiwan,electricity,nuclear,share-weight,2025,2100,0,linear
Argentina,electricity,nuclear,share-weight,2025,2100,0,linear
Colombia,electricity,nuclear,share-weight,2025,2100,0,linear
USA,electricity,wind,share-weight,2021,2025,1,linear
Africa_Eastern,electricity,wind,share-weight,2021,2025,1,linear
Africa_Northern,electricity,wind,share-weight,2021,2025,1,linear
Africa_Southern,electricity,wind,share-weight,2021,2025,1,linear
Africa_Western,electricity,wind,share-weight,2021,2025,1,linear
Australia_NZ,electricity,wind,share-weight,2021,2025,1,linear
Brazil,electricity,wind,share-weight,2021,2025,1,linear
Canada,electricity,wind,share-weight,2021,2025,1,linear
Central America and Caribbean,electricity,wind,share-weight,2021,2025,1,linear
Central Asia,electricity,wind,share-weight,2021,2025,1,linear
China,electricity,wind,share-weight,2021,2025,1,linear
EU-12,electricity,wind,share-weight,2021,2025,1,linear
EU-15,electricity,wind,share-weight,2021,2025,1,linear
Ukraine,electricity,wind,share-weight,2021,2025,1,linear
Europe_Non_EU,electricity,wind,share-weight,2021,2025,1,linear
European Free Trade Association,electricity,wind,share-weight,2021,2025,1,linear
India,electricity,wind,share-weight,2021,2025,1,linear
Indonesia,electricity,wind,share-weight,2021,2025,1,linear
Japan,electricity,wind,share-weight,2021,2025,1,linear
Mexico,electricity,wind,share-weight,2021,2025,1,linear
