# File: A321.subsector_shrwt_cwf.csv
# Title: Cement CWF adjustments to subsector shareweights
# Units: Unitless
# Column types: ccccnc
# ----------
supplysector,subsector,year.fillout,year,share.weight
cement,cement,start-year,,1
process heat cement,biomass,start-year,,1
process heat cement,coal,start-year,,1
process heat cement,gas,start-year,,1
process heat cement,refined liquids,start-year,,1
process heat cement,hydrogen,start-year,,0
process heat cement,hydrogen,2025,,0
process heat cement,hydrogen,2060,,1
process heat cement CCS,biomass,start-year,,1
process heat cement CCS,coal,start-year,,1
process heat cement CCS,gas,start-year,,1
process heat cement CCS,refined liquids,start-year,,1
process heat cement CCS,hydrogen,start-year,,0
process heat cement CCS,hydrogen,2025,,0
process heat cement CCS,hydrogen,2060,,1
