# File: A221.globaltech_HHV.csv
# Title: Higher heating values for refining sector products
# Units: MMBTU / bbl
# Source: EIA Total Energy Monthly Appendix A1. Petroleum product values used if biofuel counterpart not given.
# Column types: cccn 
# ----------
supplysector,subsector,product,value
refining,biorefining,Distillate_FuelOil,5.359
refining,biorefining,Residual_FuelOil,5.359
refining,biorefining,Gasoline,3.558
refining,biorefining,PetCoke,5.719
refining,biorefining,Jet_Kerosene,5.67
refining,biorefining,LPG,3.841
refining,biorefining,Other,5.359
refining,crude oil refining,Distillate_FuelOil,5.825
refining,crude oil refining,Residual_FuelOil,6.287
refining,crude oil refining,Gasoline,5.052
refining,crude oil refining,PetCoke,5.719
refining,crude oil refining,Jet_Kerosene,5.67
refining,crude oil refining,LPG,3.841
refining,crude oil refining,Other,5.8
refining,ctl,Distillate_FuelOil,5.825
refining,ctl,Residual_FuelOil,6.287
refining,ctl,Gasoline,5.052
refining,ctl,PetCoke,5.719
refining,ctl,Jet_Kerosene,5.67
refining,ctl,LPG,3.841
refining,ctl,Other,5.8
refining,gtl,Distillate_FuelOil,5.825
refining,gtl,Residual_FuelOil,6.287
refining,gtl,Gasoline,5.052
refining,gtl,PetCoke,5.719
refining,gtl,Jet_Kerosene,5.67
refining,gtl,LPG,3.841
refining,gtl,Other,5.8
