# File: A221.globaltech_OMvar.csv
# Title: Refining technology variable operations and maintenance costs
# Units: $/bbl (GTL values in 2011 USD)
# Source: Non-margin crude refining costs estimated from The Palgrave Handbook of International Energy Economics Ch 8.; GTL values from 2013 NETL FT NGL Report
# Column types: ccccnnnnnnnn
# ----------
supplysector,subsector,technology,minicam.non.energy.input,1971,1990,2005,2010,2015,2020,2050,2100
oil refining,biorefining,Distillate_FuelOil,OM-var,,,,,,,,
oil refining,biorefining,Residual_FuelOil,OM-var,,,,,,,,
oil refining,biorefining,Gasoline,OM-var,,,,,,,,
oil refining,biorefining,Heavy_Residual,OM-var,,,,,,,,
oil refining,biorefining,Jet_Kerosene,OM-var,,,,,,,,
oil refining,biorefining,LPG,OM-var,,,,,,,,
oil refining,biorefining,Other,OM-var,,,,,,,,
oil refining,ctl,Distillate_FuelOil,OM-var,,,,,,,,
oil refining,ctl,Residual_FuelOil,OM-var,,,,,,,,
oil refining,ctl,Gasoline,OM-var,,,,,,,,
oil refining,ctl,Heavy_Residual,OM-var,,,,,,,,
oil refining,ctl,Jet_Kerosene,OM-var,,,,,,,,
oil refining,ctl,LPG,OM-var,,,,,,,,
oil refining,ctl,Other,OM-var,,,,,,,,
oil refining,gtl,Distillate_FuelOil,OM-var,,,,,,,,
oil refining,gtl,Residual_FuelOil,OM-var,,,,,,,,
oil refining,gtl,Gasoline,OM-var,,,,,,,,
oil refining,gtl,Heavy_Residual,OM-var,,,,,,,,
oil refining,gtl,Jet_Kerosene,OM-var,,,,,,,,
oil refining,gtl,LPG,OM-var,,,,,,,,
oil refining,gtl,Other,OM-var,,,,,,,,
oil refining,crude oil refining,high Distillate_FuelOil,OM-var,,,,,1,1,1,1
oil refining,crude oil refining,high Residual_FuelOil,OM-var,,,,,1,1,1,1
oil refining,crude oil refining,high Gasoline,OM-var,,,,,1,1,1,1
oil refining,crude oil refining,high LPG,OM-var,,,,,1,1,1,1
oil refining,crude oil refining,high Jet_Kerosene,OM-var,,,,,1,1,1,1
oil refining,crude oil refining,high Heavy_Residual,OM-var,,,,,1,1,1,1
oil refining,crude oil refining,high Other,OM-var,,,,,1,1,1,1
