# File: A221.globaltech_retirement.csv
# Title: Primary energy transformation technology lifetimes and shutdown rates
# Units: Years for lifetime and half.life; Unitless for shutdown.rate; steepness; median.shutdown.point; profit.shutdown.steepness
# Comments: maximum lifetime of cohort. If no retirement function is used; the entire cohort is retired in this number of years.
#           shutdown.rate: portion of cohort retired each year; used by the phased-shutdown-decider retirement function.
#           half.life: number of years at which 50% of the cohort is retired; using the s-curve-shutdown-decider retirement function.
#           steepness: shape parameter used by the s-curve-shutdown-decider retirement function.
#           median.shutdown.point: profit-ratio at which 50% of the cohort is shut down for lack of profitability.
#           profit.shutdown.steepness: shape parameter of profit-shutdown-decider function.
# Column types: ccccininni
# ----------
supplysector,subsector,technology,year,lifetime,shutdown.rate,half.life,steepness,median.shutdown.point,profit.shutdown.steepness
refining,biorefining 1st gen,biodiesel,final-calibration-year,35,,25,0.6,-0.9,4
refining,biorefining 2nd gen,Residual_FuelOil,final-calibration-year,35,,25,0.6,-0.1,4
refining,biorefining 2nd gen,cellulosic ethanol,final-calibration-year,35,,25,0.6,-0.5,4
refining,biorefining 1st gen,corn ethanol,final-calibration-year,35,,25,0.6,-0.5,4
refining,biorefining 1st gen,sugar cane ethanol,final-calibration-year,35,,25,0.6,-0.5,4
refining,biorefining 2nd gen,Jet_Kerosene,final-calibration-year,35,,25,0.6,-0.1,4
refining,biorefining 2nd gen,LPG,final-calibration-year,35,,25,0.6,-0.1,4
refining,biorefining 2nd gen,biochar,final-calibration-year,35,,25,0.6,-0.1,4
refining,biorefining 2nd gen,Other,final-calibration-year,35,,25,0.6,-0.1,4
refining,ctl,Distillate_FuelOil,final-calibration-year,45,,25,0.6,-0.1,4
refining,ctl,Residual_FuelOil,final-calibration-year,45,,25,0.6,-0.1,4
refining,ctl,Gasoline,final-calibration-year,45,,25,0.6,-0.1,4
refining,ctl,Jet_Kerosene,final-calibration-year,45,,25,0.6,-0.1,4
refining,ctl,LPG,final-calibration-year,45,,25,0.6,-0.1,4
refining,ctl,PetCoke,final-calibration-year,45,,25,0.6,-0.1,4
refining,ctl,Other,final-calibration-year,45,,25,0.6,-0.1,4
refining,gtl,Distillate_FuelOil,final-calibration-year,45,,25,0.6,-0.1,4
refining,gtl,Residual_FuelOil,final-calibration-year,45,,25,0.6,-0.1,4
refining,gtl,Gasoline,final-calibration-year,45,,25,0.6,-0.1,4
refining,gtl,Jet_Kerosene,final-calibration-year,45,,25,0.6,-0.1,4
refining,gtl,LPG,final-calibration-year,45,,25,0.6,-0.1,4
refining,gtl,PetCoke,final-calibration-year,45,,25,0.6,-0.1,4
refining,gtl,Other,final-calibration-year,45,,25,0.6,-0.1,4
refining,crude oil refining,high Distillate_FuelOil,final-calibration-year,60,,25,0.6,-0.1,4
refining,crude oil refining,high Residual_FuelOil,final-calibration-year,60,,25,0.6,-0.1,4
refining,crude oil refining,high Gasoline,final-calibration-year,60,,25,0.6,-0.1,4
refining,crude oil refining,high LPG,final-calibration-year,60,,25,0.6,-0.1,4
refining,crude oil refining,high Jet_Kerosene,final-calibration-year,60,,25,0.6,-0.1,4
refining,crude oil refining,high PetCoke,final-calibration-year,60,,25,0.6,-0.1,4
refining,crude oil refining,high Other,final-calibration-year,60,,25,0.6,-0.1,4
refining,biorefining 1st gen,biodiesel,initial-future-year,35,,25,0.6,-0.9,4
refining,biorefining 2nd gen,Residual_FuelOil,initial-future-year,35,,25,0.6,-0.1,4
refining,biorefining 2nd gen,cellulosic ethanol,initial-future-year,35,,25,0.6,-0.5,4
refining,biorefining 1st gen,corn ethanol,initial-future-year,35,,25,0.6,-0.5,4
refining,biorefining 1st gen,sugar cane ethanol,initial-future-year,35,,25,0.6,-0.5,4
refining,biorefining 2nd gen,Jet_Kerosene,initial-future-year,35,,25,0.6,-0.1,4
refining,biorefining 2nd gen,LPG,initial-future-year,35,,25,0.6,-0.1,4
refining,biorefining 2nd gen,biochar,initial-future-year,35,,25,0.6,-0.1,4
refining,biorefining 2nd gen,Other,initial-future-year,35,,25,0.6,-0.1,4
refining,ctl,Distillate_FuelOil,initial-future-year,45,,25,0.6,-0.1,4
refining,ctl,Residual_FuelOil,initial-future-year,45,,25,0.6,-0.1,4
refining,ctl,Gasoline,initial-future-year,45,,25,0.6,-0.1,4
refining,ctl,Jet_Kerosene,initial-future-year,45,,25,0.6,-0.1,4
refining,ctl,LPG,initial-future-year,45,,25,0.6,-0.1,4
refining,ctl,PetCoke,initial-future-year,45,,25,0.6,-0.1,4
refining,ctl,Other,initial-future-year,45,,25,0.6,-0.1,4
refining,gtl,Distillate_FuelOil,initial-future-year,45,,25,0.6,-0.1,4
refining,gtl,Residual_FuelOil,initial-future-year,45,,25,0.6,-0.1,4
refining,gtl,Gasoline,initial-future-year,45,,25,0.6,-0.1,4
refining,gtl,Jet_Kerosene,initial-future-year,45,,25,0.6,-0.1,4
refining,gtl,LPG,initial-future-year,45,,25,0.6,-0.1,4
refining,gtl,PetCoke,initial-future-year,45,,25,0.6,-0.1,4
refining,gtl,Other,initial-future-year,45,,25,0.6,-0.1,4
refining,crude oil refining,high Distillate_FuelOil,initial-future-year,60,,25,0.6,-0.1,4
refining,crude oil refining,high Residual_FuelOil,initial-future-year,60,,25,0.6,-0.1,4
refining,crude oil refining,high Gasoline,initial-future-year,60,,25,0.6,-0.1,4
refining,crude oil refining,high LPG,initial-future-year,60,,25,0.6,-0.1,4
refining,crude oil refining,high Jet_Kerosene,initial-future-year,60,,25,0.6,-0.1,4
refining,crude oil refining,high PetCoke,initial-future-year,60,,25,0.6,-0.1,4
refining,crude oil refining,high Other,initial-future-year,60,,25,0.6,-0.1,4
