# File: A221.subsector_interp.csv
# Title: Primary energy transformation subsector shareweight interpolation
# Units: NA 
# Column types: cccccccc 
# ----------
supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function,traded
refining,crude oil refining,share-weight,final-calibration-year,end-year,1,s-curve,0
refining,biorefining 1st gen,share-weight,final-calibration-year,end-year,1,s-curve,0
refining,biorefining 2nd gen,share-weight,final-calibration-year,end-year,1,s-curve,0
refining,ctl,share-weight,final-calibration-year,end-year,1,s-curve,0
refining,gtl,share-weight,final-calibration-year,end-year,1,s-curve,0
Distillate_FuelOil,Distillate_FuelOil,share-weight,final-calibration-year,end-year,1,s-curve,0
Residual_FuelOil,Residual_FuelOil,share-weight,final-calibration-year,end-year,1,s-curve,0
Gasoline,Gasoline,share-weight,final-calibration-year,end-year,1,s-curve,0
LPG,LPG,share-weight,final-calibration-year,end-year,1,s-curve,0
PetCoke,PetCoke,share-weight,final-calibration-year,end-year,1,s-curve,0
Jet_Kerosene,Jet_Kerosene,share-weight,final-calibration-year,end-year,1,s-curve,0
Other,Other,share-weight,final-calibration-year,end-year,1,s-curve,0
