# File: A23.globaltech_OMvar.csv
# Title: Electricity technology variable operations and maintenance costs
# Units: 1975$/MWh
# Source: ATB temp fix
# Future improvement is based on the maximum % reduction that the literature deems likely and a rate corresponding to the maturity level of the technology
# Note that some technologies are the same as another with additional equipment (i.e. CCS) for those technologies the improvement is on the additional equipment
# Column types: ccccnnnnnnnc 
# ----------
supplysector,subsector,technology,input.OM.var,1971,1990,2005,2010,2015,improvement.max,improvement.rate,improvement.shadow.technology
electricity,biomass,biomass (conv CCS),OM-var,2.050773074,2.050773074,2.050773074,2.050773074,2.050773074,0.93,0.07,
electricity,biomass,biomass (conv),OM-var,1.533865888,1.533865888,1.533865888,1.533865888,1.533865888,1,0,
electricity,biomass,biomass (IGCC CCS),OM-var,2.75309262,2.75309262,2.75309262,2.75309262,2.75309262,0.85,0.06,
electricity,biomass,biomass (IGCC),OM-var,2.300798833,2.300798833,2.300798833,2.300798833,2.300798833,0.87,0.06,
electricity,coal,coal (conv pul CCS),OM-var,2.662882416,2.662882416,2.662882416,2.662882416,2.662882416,1,0,
electricity,coal,coal (conv pul),OM-var,1.30293069,1.30293069,1.30293069,1.30293069,1.30293069,1,0,
electricity,coal,coal (IGCC CCS),OM-var,3.237040394,3.237040394,3.237040394,3.237040394,3.237040394,0.99,0,
electricity,coal,coal (IGCC),OM-var,2.104076256,2.104076256,2.104076256,2.104076256,2.104076256,1,0,
electricity,gas,gas (CC CCS),OM-var,1.975778923,1.975778923,1.975778923,1.975778923,1.975778923,1,0,
electricity,gas,gas (CC),OM-var,0.764081892,0.764081892,0.764081892,0.764081892,0.764081892,1,0,
electricity,gas,gas (steam/CT),OM-var,1.97007682,1.97007682,1.97007682,1.97007682,1.97007682,1,0,
electricity,nuclear,Gen_II_LWR,OM-var,0.05,0.05,0.05,0.619654024,0.619654024,1,0,
electricity,nuclear,Gen_III,OM-var,0.638635612,0.638635612,0.638635612,0.638635612,0.638635612,1,1,
electricity,refined liquids,refined liquids (CC CCS),OM-var,2.351455198,2.351455198,2.351455198,2.351455198,2.351455198,0.98,0.06,
electricity,refined liquids,refined liquids (CC),OM-var,0.764081892,0.764081892,0.764081892,0.764081892,0.764081892,1,0,
electricity,refined liquids,refined liquids (steam/CT),OM-var,1.97007682,1.97007682,1.97007682,1.97007682,1.97007682,1,0,
electricity,wind,wind,OM-var,0,0,0,0,0,0,0,
electricity,wind,wind_offshore,OM-var,0,0,0,0,0,0,0,
electricity,wind,wind_storage,OM-var,0,0,0,0,0,0,0,
