# File: A25.globaltech_cost.csv
# Title: Hydrogen non-energy costs
# Units: 1975$/GJ
# Comments: Solar panel and wind turbine costs are based on 20% and 46% capacity factors respectively.  Distribution and dispensing costs from HDSAM for Columbus OH. Costs decrease from 2030 to 2100 as follows: 25% reduction for distribution, 20% reduction for dispensing from pipelines, 10% reduction for dispensing from liquid trucks
# Column types: ccccnnnnn
# ----------
supplysector,subsector,technology,minicam.non.energy.input,1971,final-calibration-year,initial-future-year,2030,2100
H2 pipeline,H2 pipeline,H2 pipeline,non-energy,2.542390844,2.542390844,2.542390844,2.542390844,2.542390844
H2 liquid truck,H2 liquid truck,H2 liquid truck,non-energy,3.394714401,3.394714401,3.394714401,3.394714401,3.394714401
H2 industrial,onsite production,electrolysis,non-energy,3.02741042,3.02741042,2.543414939,1.795184338,0.968771334
H2 retail delivery,H2 retail delivery,H2 retail delivery,non-energy,1.25,1.25,1.25,1.25,1.25
H2 LDV,H2 delivery,H2 pipeline,non-energy,6.272167026,6.272167026,6.272167026,6.272167026,5.017733621
H2 LDV,H2 delivery,H2 liquid truck,non-energy,9.637855294,9.637855294,9.637855294,9.637855294,8.674069764
H2 LDV,onsite production,natural gas steam reforming,production,1.703067797,1.703067797,1.685033196,1.649534902,1.447607628
H2 LDV,onsite production,natural gas steam reforming,compression and storage,6.272167026,6.272167026,6.272167026,6.272167026,5.017733621
H2 LDV,onsite production,electrolysis,production,3.02741042,3.02741042,2.543414939,1.795184338,0.968771334
H2 LDV,onsite production,electrolysis,compression and storage,6.272167026,6.272167026,6.272167026,6.272167026,5.017733621
H2 MHDV,H2 delivery,H2 pipeline,non-energy,2.470105123,2.470105123,2.470105123,2.470105123,1.976084098
H2 MHDV,H2 delivery,H2 liquid truck,non-energy,6.272167026,6.272167026,6.272167026,6.272167026,5.644950323
H2 MHDV,onsite production,natural gas steam reforming,production,1.703067797,1.703067797,1.685033196,1.649534902,1.447607628
H2 MHDV,onsite production,natural gas steam reforming,compression and storage,2.470105123,2.470105123,2.470105123,2.470105123,1.976084098
H2 MHDV,onsite production,electrolysis,production,3.02741042,3.02741042,2.543414939,1.795184338,0.968771334
H2 MHDV,onsite production,electrolysis,compression and storage,2.470105123,2.470105123,2.470105123,2.470105123,1.976084098
LH2,H2 delivery,H2 pipeline,liquefier,3.125403981,3.125403981,3.125403981,3.125403981,2.344052986
LH2,onsite production,natural gas steam reforming,production,1.703067797,1.703067797,1.685033196,1.649534902,1.447607628
LH2,onsite production,natural gas steam reforming,liquefier,3.125403981,3.125403981,3.125403981,3.125403981,2.344052986
LH2,onsite production,electrolysis,production,3.02741042,3.02741042,2.543414939,1.795184338,0.968771334
LH2,onsite production,electrolysis,liquefier,3.125403981,3.125403981,3.125403981,3.125403981,2.344052986
