# File: A26.globaltech_eff.csv
# Title: Final energy delivery efficiencies in global technology database
# Units: Fraction
# Description: Final energy delivery efficiency in global technology database, many of which are over-written in stub technologies
# Column types: ccccnnn 
# ----------
supplysector,subsector,technology,minicam.energy.input,1971,2005,2100
backup_electricity,gas,gas (steam/CT),wholesale gas,0.377,0.377,0.428
csp_backup,gas,CSP gas hybrid mode,wholesale gas,0.307,0.307,0.358
delivered biomass,delivered biomass,delivered biomass,regional biomass,1,1,1
delivered coal,delivered coal,delivered coal,regional coal,1,1,1
electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity,1,1,1
elect_td_bld,elect_td_bld,elect_td_bld,electricity_net_ownuse,1,1,1
elect_td_ind,elect_td_ind,elect_td_ind,electricity_net_ownuse,1,1,1
elect_td_trn,elect_td_trn,elect_td_trn,electricity_net_ownuse,1,1,1
gas pipeline,gas pipeline,gas pipeline,gas processing,1,1,1
wholesale gas,wholesale gas,wholesale gas,gas pipeline,1,1,1
delivered gas,delivered gas,delivered gas,gas pipeline,1,1,1
refined liquids enduse,refined liquids enduse,refined liquids gasoline,regional Gasoline,1,1,1
refined liquids enduse,refined liquids enduse,refined liquids distillate_fueloil,regional Distillate_FuelOil,1,1,1
refined liquids enduse,refined liquids enduse,refined liquids residual_fueloil,regional Residual_FuelOil,1,1,1
refined liquids enduse,refined liquids enduse,refined liquids lpg,regional LPG,1,1,1
refined liquids enduse,refined liquids enduse,refined liquids petcoke,regional PetCoke,1,1,1
refined liquids enduse,refined liquids enduse,refined liquids jet_kerosene,regional Jet_Kerosene,1,1,1
refined liquids enduse,refined liquids enduse,refined liquids other,regional Other,1,1,1
refined liquids enduse,refined liquids enduse,refined liquids feedstock,regional oil,1,1,1
refined liquids industrial,refined liquids industrial,refined liquids gasoline,regional Gasoline,1,1,1
refined liquids industrial,refined liquids industrial,refined liquids distillate_fueloil,regional Distillate_FuelOil,1,1,1
refined liquids industrial,refined liquids industrial,refined liquids residual_fueloil,regional Residual_FuelOil,1,1,1
refined liquids industrial,refined liquids industrial,refined liquids lpg,regional LPG,1,1,1
refined liquids industrial,refined liquids industrial,refined liquids petcoke,regional PetCoke,1,1,1
refined liquids industrial,refined liquids industrial,refined liquids jet_kerosene,regional Jet_Kerosene,1,1,1
refined liquids industrial,refined liquids industrial,refined liquids other,regional Other,1,1,1
refined liquids industrial,refined liquids industrial,refined liquids feedstock,regional oil,1,1,1
backup_electricity,hydrogen,hydrogen combustion turbine,H2 industrial,0.377,0.377,0.428
refined liquids aviation,refined liquids aviation,refined liquids gasoline,regional Gasoline,1,1,1
refined liquids aviation,refined liquids aviation,refined liquids distillate_fueloil,regional Distillate_FuelOil,1,1,1
refined liquids aviation,refined liquids aviation,refined liquids residual_fueloil,regional Residual_FuelOil,1,1,1
refined liquids aviation,refined liquids aviation,refined liquids lpg,regional LPG,1,1,1
refined liquids aviation,refined liquids aviation,refined liquids petcoke,regional PetCoke,1,1,1
refined liquids aviation,refined liquids aviation,refined liquids jet_kerosene,regional Jet_Kerosene,1,1,1
refined liquids aviation,refined liquids aviation,refined liquids other,regional Other,1,1,1
refined liquids aviation,refined liquids aviation,refined liquids feedstock,regional oil,1,1,1
refined liquids shipping,refined liquids shipping,refined liquids gasoline,regional Gasoline,1,1,1
refined liquids shipping,refined liquids shipping,refined liquids distillate_fueloil,regional Distillate_FuelOil,1,1,1
refined liquids shipping,refined liquids shipping,refined liquids residual_fueloil,regional Residual_FuelOil,1,1,1
refined liquids shipping,refined liquids shipping,refined liquids lpg,regional LPG,1,1,1
refined liquids shipping,refined liquids shipping,refined liquids petcoke,regional PetCoke,1,1,1
refined liquids shipping,refined liquids shipping,refined liquids jet_kerosene,regional Jet_Kerosene,1,1,1
refined liquids shipping,refined liquids shipping,refined liquids other,regional Other,1,1,1
refined liquids shipping,refined liquids shipping,refined liquids feedstock,regional oil,1,1,1
refined liquids trn_road and rail,refined liquids trn_road and rail,refined liquids gasoline,regional Gasoline,1,1,1
refined liquids trn_road and rail,refined liquids trn_road and rail,refined liquids distillate_fueloil,regional Distillate_FuelOil,1,1,1
refined liquids trn_road and rail,refined liquids trn_road and rail,refined liquids residual_fueloil,regional Residual_FuelOil,1,1,1
refined liquids trn_road and rail,refined liquids trn_road and rail,refined liquids lpg,regional LPG,1,1,1
refined liquids trn_road and rail,refined liquids trn_road and rail,refined liquids petcoke,regional PetCoke,1,1,1
refined liquids trn_road and rail,refined liquids trn_road and rail,refined liquids jet_kerosene,regional Jet_Kerosene,1,1,1
refined liquids trn_road and rail,refined liquids trn_road and rail,refined liquids other,regional Other,1,1,1
refined liquids trn_road and rail,refined liquids trn_road and rail,refined liquids feedstock,regional oil,1,1,1
refined liquids buildings,refined liquids buildings,refined liquids gasoline,regional Gasoline,1,1,1
refined liquids buildings,refined liquids buildings,refined liquids distillate_fueloil,regional Distillate_FuelOil,1,1,1
refined liquids buildings,refined liquids buildings,refined liquids residual_fueloil,regional Residual_FuelOil,1,1,1
refined liquids buildings,refined liquids buildings,refined liquids lpg,regional LPG,1,1,1
refined liquids buildings,refined liquids buildings,refined liquids petcoke,regional PetCoke,1,1,1
refined liquids buildings,refined liquids buildings,refined liquids jet_kerosene,regional Jet_Kerosene,1,1,1
refined liquids buildings,refined liquids buildings,refined liquids other,regional Other,1,1,1
refined liquids buildings,refined liquids buildings,refined liquids feedstock,regional oil,1,1,1
refined liquids electricity,refined liquids electricity,refined liquids gasoline,regional Gasoline,1,1,1
refined liquids electricity,refined liquids electricity,refined liquids distillate_fueloil,regional Distillate_FuelOil,1,1,1
refined liquids electricity,refined liquids electricity,refined liquids residual_fueloil,regional Residual_FuelOil,1,1,1
refined liquids electricity,refined liquids electricity,refined liquids lpg,regional LPG,1,1,1
refined liquids electricity,refined liquids electricity,refined liquids petcoke,regional PetCoke,1,1,1
refined liquids electricity,refined liquids electricity,refined liquids jet_kerosene,regional Jet_Kerosene,1,1,1
refined liquids electricity,refined liquids electricity,refined liquids other,regional Other,1,1,1
refined liquids electricity,refined liquids electricity,refined liquids feedstock,regional oil,1,1,1
refined liquids agriculture,refined liquids agriculture,refined liquids gasoline,regional Gasoline,1,1,1
refined liquids agriculture,refined liquids agriculture,refined liquids distillate_fueloil,regional Distillate_FuelOil,1,1,1
refined liquids agriculture,refined liquids agriculture,refined liquids residual_fueloil,regional Residual_FuelOil,1,1,1
refined liquids agriculture,refined liquids agriculture,refined liquids lpg,regional LPG,1,1,1
refined liquids agriculture,refined liquids agriculture,refined liquids petcoke,regional PetCoke,1,1,1
refined liquids agriculture,refined liquids agriculture,refined liquids jet_kerosene,regional Jet_Kerosene,1,1,1
refined liquids agriculture,refined liquids agriculture,refined liquids other,regional Other,1,1,1
refined liquids agriculture,refined liquids agriculture,refined liquids feedstock,regional oil,1,1,1
