# File: A321.globaltech_coef.csv
# Title: Cement production default coefficients
# Units: limestone input is unitless (Mt limestone per Mt cement); all others are GJ per kg (EJ of energy per Mt of cement)
# Column types: ccccnnnnnnnn
# ----------
supplysector,subsector,technology,minicam.energy.input,1971,2010,2021,2025,2030,2040,2050,2100
process heat cement,biomass,biomass,delivered biomass,1,1,1,1,1,1,1,1
process heat cement ccs,biomass,biomass CCS,delivered biomass,1,1,1,1,1,1,1,1
process heat cement,coal,coal,delivered coal,1,1,1,1,1,1,1,1
process heat cement ccs,coal,coal CCS,delivered coal,1,1,1,1,1,1,1,1
process heat cement,gas,gas,wholesale gas,1,1,1,1,1,1,1,1
process heat cement ccs,gas,gas CCS,wholesale gas,1,1,1,1,1,1,1,1
process heat cement,refined liquids,refined liquids,refined liquids industrial,1,1,1,1,1,1,1,1
process heat cement ccs,refined liquids,refined liquids CCS,refined liquids industrial,1,1,1,1,1,1,1,1
process heat cement,hydrogen,hydrogen,H2 industrial,1,1,1,1,1,1,1,1
clinker,clinker,clinker,process heat cement,0.0037715,0.0037715,0.0037715,0.0037715,0.0037715,0.0037715,0.0037715,0.0037715
clinker,clinker,clinker,elect_td_ind,0.0000988,0.0000988,0.0000988,0.0000988,0.0000988,0.0000988,0.0000988,0.0000988
clinker,clinker,clinker,limestone,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368
clinker,clinker,clinker high efficiency kiln,process heat cement,0.002963329,0.002963329,0.002963329,0.002963329,0.002963329,0.002963329,0.002963329,0.002963329
clinker,clinker,clinker high efficiency kiln,elect_td_ind,0.0000889,0.0000889,0.0000889,0.0000889,0.0000889,0.0000889,0.0000889,0.0000889
clinker,clinker,clinker high efficiency kiln,limestone,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368
clinker,clinker CCS,oxyfuel combustion,process heat cement ccs,0.004035505,0.004035505,0.004035505,0.004035505,0.004035505,0.004035505,0.004035505,0.004035505
clinker,clinker CCS,oxyfuel combustion,elect_td_ind,0.000881993,0.000881993,0.000881993,0.000881993,0.000881993,0.000881993,0.000881993,0.000881993
clinker,clinker CCS,oxyfuel combustion,limestone,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368
clinker,clinker CCS,post-combustion capture,process heat cement ccs,0.005022026,0.005022026,0.005022026,0.005022026,0.005022026,0.005022026,0.005022026,0.005022026
clinker,clinker CCS,post-combustion capture,elect_td_ind,0.000377997,0.000377997,0.000377997,0.000377997,0.000377997,0.000377997,0.000377997,0.000377997
clinker,clinker CCS,post-combustion capture,limestone,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368
clinker,clinker CCS,calciner capture,process heat cement,0.004021605,0.004021605,0.004021605,0.004021605,0.004021605,0.004021605,0.004021605,0.004021605
clinker,clinker CCS,calciner capture,elect_td_ind,0.000243434,0.000243434,0.000243434,0.000243434,0.000243434,0.000243434,0.000243434,0.000243434
clinker,clinker CCS,calciner capture,limestone,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368,1.578947368
cement,cement,OPC,elect_td_ind,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265
cement,cement,OPC,clinker,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
cement,cement,OPC,gypsum,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
cement,cement,cement SCMFA,elect_td_ind,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
cement,cement,cement SCMFA,clinker,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
cement,cement,cement SCMFA,flyash,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
cement,cement,cement SCMFA,gypsum,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
cement,cement,cement SCMGBFS,elect_td_ind,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265
cement,cement,cement SCMGBFS,clinker,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
cement,cement,cement SCMGBFS,GBFSlag,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
cement,cement,cement SCMGBFS,gypsum,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
cement,cement,cement SCMlime,elect_td_ind,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265
cement,cement,cement SCMlime,limestone,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
cement,cement,cement SCMlime,clinker,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
cement,cement,cement SCMlime,gypsum,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
cement,cement LC3,cement LC3,elect_td_ind,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265
cement,cement LC3,cement LC3,limestone,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
cement,cement LC3,cement LC3,clinker,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
cement,cement LC3,cement LC3,gypsum,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
cement,cement LC3,cement LC3,clay,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
cement,cement LC3,cement LC3,process heat cement,0.0009015,0.0009015,0.0009015,0.0009015,0.0009015,0.0009015,0.0009015,0.0009015
cement,cement LC3,cement LC3 CCS,elect_td_ind,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265,0.0002265
cement,cement LC3,cement LC3 CCS,limestone,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
cement,cement LC3,cement LC3 CCS,clinker,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
cement,cement LC3,cement LC3 CCS,gypsum,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
cement,cement LC3,cement LC3 CCS,clay,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
cement,cement LC3,cement LC3 CCS,process heat cement ccs,0.001126875,0.001126875,0.001126875,0.001126875,0.001126875,0.001126875,0.001126875,0.001126875
cement,electrochemical,electrochemical,elect_td_ind,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063
cement,electrochemical,electrochemical,gypsum,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
cement,electrochemical,electrochemical,silicate rock,3.166666667,3.166666667,3.166666667,3.166666667,3.166666667,3.166666667,3.166666667,3.166666667
cement,thermochemical,thermochemical,elect_td_ind,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
cement,thermochemical,thermochemical,gypsum,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
cement,thermochemical,thermochemical,silicate rock,3.166666667,3.166666667,3.166666667,3.166666667,3.166666667,3.166666667,3.166666667,3.166666667
cement,thermochemical,thermochemical,process heat cement,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
cement,thermochemical,thermochemical CCS,elect_td_ind,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
cement,thermochemical,thermochemical CCS,gypsum,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
cement,thermochemical,thermochemical CCS,silicate rock,3.166666667,3.166666667,3.166666667,3.166666667,3.166666667,3.166666667,3.166666667,3.166666667
cement,thermochemical,thermochemical CCS,process heat cement ccs,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625
cement,carbonatable,carbonatable,process heat cement,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
cement,carbonatable,carbonatable,limestone,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
cement,carbonatable,carbonatable,clinker,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
cement,carbonatable,carbonatable,elect_td_ind,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
cement,carbonatable,carbonatable CCS,process heat cement ccs,0.00225,0.00225,0.00225,0.00225,0.00225,0.00225,0.00225,0.00225
cement,carbonatable,carbonatable CCS,limestone,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
cement,carbonatable,carbonatable CCS,clinker,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
