# File: A321.globaltech_cost.csv
# Title: Cement default costs (note: CCS cost not included here; calculated in data processing)
# Units: 1975$/kg for supplysector cement; 1975$/GJ for supplysector process heat cement
# Column types: ccccnnnnnnn
# ----------
supplysector,subsector,technology,minicam.non.energy.input,1971,2021,2025,2030,2040,2050,2100
process heat cement,biomass,biomass,non-energy,3.84,3.84,3.84,3.84,3.84,3.84,3.84
process heat cement ccs,biomass,biomass CCS,non-energy,6.83,6.83,6.83,6.83,6.83,6.83,6.83
process heat cement,coal,coal,non-energy,1.87,1.87,1.87,1.87,1.87,1.87,1.87
process heat cement ccs,coal,coal CCS,non-energy,3.34,3.34,3.34,3.34,3.34,3.34,3.34
process heat cement,gas,gas,non-energy,0.64,0.64,0.64,0.64,0.64,0.64,0.64
process heat cement ccs,gas,gas CCS,non-energy,1.16,1.16,1.16,1.16,1.16,1.16,1.16
process heat cement,refined liquids,refined liquids,non-energy,0.505,0.505,0.505,0.505,0.505,0.505,0.505
process heat cement ccs,refined liquids,refined liquids CCS,non-energy,0.876,0.876,0.876,0.876,0.876,0.876,0.876
process heat cement,hydrogen,hydrogen,non-energy,0.644,0.644,0.644,0.644,0.644,0.644,0.644
process heat cement ccs,hydrogen,hydrogen,non-energy,0.644,0.644,0.644,0.644,0.644,0.644,0.644
clinker,clinker,clinker,non-energy,0.018200893,0.018200893,0.018200893,0.018200893,0.018200893,0.018200893,0.018200893
clinker,clinker,clinker CCS,non-energy,0.034,0.034,0.034,0.034,0.034,0.034,0.034
cement,cement,cement SCMFA,non-energy,0.011078805,0.011078805,0.011078805,0.011078805,0.011078805,0.011078805,0.011078805
cement,cement,cement SCMGBFS,non-energy,0.014507958,0.014507958,0.014507958,0.014507958,0.014507958,0.014507958,0.014507958
cement,cement,cement SCMlime,non-energy,0.00027697,0.00027697,0.00027697,0.00027697,0.00027697,0.00027697,0.00027697
cement,cement,cement LC3,non-energy,0.000490633,0.000490633,0.000490633,0.000490633,0.000490633,0.000490633,0.000490633
cement,cement,cement silicate sol,non-energy,0.059086957,0.059086957,0.059086957,0.059086957,0.059086957,0.059086957,0.059086957
cement,cement,cement silicate elec,non-energy,0.009496118,0.009496118,0.009496118,0.009496118,0.009496118,0.009496118,0.009496118
cement,cement,cement silicate carb,non-energy,0.016463415,0.016463415,0.016463415,0.016463415,0.016463415,0.016463415,0.016463415
