# File: A321.subsector_interp.csv
# Title: Cement default subsector shareweight interpolation
# Units: NA
# Column types: ccccccc
# ----------
supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
process heat cement,biomass,share-weight,final-calibration-year,end-year,,fixed
process heat cement,coal,share-weight,final-calibration-year,end-year,,fixed
process heat cement,gas,share-weight,final-calibration-year,end-year,,fixed
process heat cement,refined liquids,share-weight,final-calibration-year,end-year,,fixed
process heat cement,hydrogen,share-weight,start-year,initial-future-year,,fixed
process heat cement,hydrogen,share-weight,initial-future-year,2050,,linear
process heat cement,hydrogen,share-weight,initial-future-year,end-year,,fixed
clinker,clinker,share-weight,start-year,end-year,,fixed
cement,cement,share-weight,start-year,end-year,,fixed
calcined clay,calcined clay,share-weight,start-year,end-year,,fixed
flyash,flyash,share-weight,start-year,end-year,,fixed
GBFSlag,GBFSlag,share-weight,start-year,end-year,,fixed
gypsum,gypsum,share-weight,start-year,end-year,,fixed
