# File: A321.subsector_shrwt.csv
# Title: Cement default subsector shareweights
# Units: Unitless
# Column types: cccci
# ----------
supplysector,subsector,year.fillout,year,share.weight
process heat cement,biomass,start-year,,1
process heat cement,coal,start-year,,1
process heat cement,gas,start-year,,1
process heat cement,refined liquids,start-year,,1
process heat cement ccs,biomass,start-year,,1
process heat cement ccs,coal,start-year,,1
process heat cement ccs,gas,start-year,,1
process heat cement ccs,refined liquids,start-year,,1
process heat cement ccs,hydrogen,start-year,,1
process heat cement,hydrogen,start-year,,0
process heat cement,hydrogen,initial-future-year,,0
process heat cement,hydrogen,2050,,1
clinker,clinker,start-year,,1
cement,cement,start-year,,1
calcined clay,calcined clay,start-year,,1
flyash,flyash,start-year,,1
GBFSlag,GBFSlag,start-year,,1
gypsum,gypsum,start-year,,1
