# File: A321.subsector_shrwt_cwf_H2_scenarios.csv
# Title: Cement CWF adjustments to subsector shareweights for the hydrogen scenarios
# Units: Unitless
# Column types: ccccnc
# ----------
supplysector,subsector,year.fillout,year,share.weight,scenario
cement,cement,start-year,,1,cwf_med_H2
process heat cement,biomass,start-year,,1,cwf_med_H2
process heat cement,coal,start-year,,1,cwf_med_H2
process heat cement,gas,start-year,,1,cwf_med_H2
process heat cement,refined liquids,start-year,,1,cwf_med_H2
process heat cement,hydrogen,start-year,,0,cwf_med_H2
process heat cement,hydrogen,2020,,0,cwf_med_H2
process heat cement,hydrogen,2050,,1,cwf_med_H2
process heat cement CCS,biomass,start-year,,1,cwf_med_H2
process heat cement CCS,coal,start-year,,1,cwf_med_H2
process heat cement CCS,gas,start-year,,1,cwf_med_H2
process heat cement CCS,refined liquids,start-year,,1,cwf_med_H2
process heat cement CCS,hydrogen,start-year,,0,cwf_med_H2
process heat cement CCS,hydrogen,2020,,0,cwf_med_H2
process heat cement CCS,hydrogen,2050,,1,cwf_med_H2
cement,cement,start-year,,1,cwf_low_H2
process heat cement,biomass,start-year,,1,cwf_low_H2
process heat cement,coal,start-year,,1,cwf_low_H2
process heat cement,gas,start-year,,1,cwf_low_H2
process heat cement,refined liquids,start-year,,1,cwf_low_H2
process heat cement,hydrogen,start-year,,0,cwf_low_H2
process heat cement,hydrogen,2020,,0,cwf_low_H2
process heat cement,hydrogen,2050,,0.2,cwf_low_H2
process heat cement,hydrogen,2100,,0.5,cwf_low_H2
process heat cement CCS,biomass,start-year,,1,cwf_low_H2
process heat cement CCS,coal,start-year,,1,cwf_low_H2
process heat cement CCS,gas,start-year,,1,cwf_low_H2
process heat cement CCS,refined liquids,start-year,,1,cwf_low_H2
process heat cement CCS,hydrogen,start-year,,0,cwf_low_H2
process heat cement CCS,hydrogen,2020,,0,cwf_low_H2
process heat cement CCS,hydrogen,2050,,0.2,cwf_low_H2
process heat cement CCS,hydrogen,2100,,0.5,cwf_low_H2
cement,cement,start-year,,1,cwf_high_H2
process heat cement,biomass,start-year,,1,cwf_high_H2
process heat cement,coal,start-year,,1,cwf_high_H2
process heat cement,gas,start-year,,1,cwf_high_H2
process heat cement,refined liquids,start-year,,1,cwf_high_H2
process heat cement,hydrogen,start-year,,0,cwf_high_H2
process heat cement,hydrogen,2020,,0,cwf_high_H2
process heat cement,hydrogen,2050,,2,cwf_high_H2
process heat cement CCS,biomass,start-year,,1,cwf_high_H2
process heat cement CCS,coal,start-year,,1,cwf_high_H2
process heat cement CCS,gas,start-year,,1,cwf_high_H2
process heat cement CCS,refined liquids,start-year,,1,cwf_high_H2
process heat cement CCS,hydrogen,start-year,,0,cwf_high_H2
process heat cement CCS,hydrogen,2020,,0,cwf_high_H2
process heat cement CCS,hydrogen,2050,,2,cwf_high_H2
