# File: A322.subsector_shrwt_cwf_H2_scenarios.csv
# Title: Fertilizer CWF subsector shareweights for the hydrogen scenarios
# Units: Unitles
# Column types: ccccnc
# ----------
supplysector,subsector,year.fillout,year,share.weight,scenario
N fertilizer,coal,start-year,,0,cwf_med_H2
N fertilizer,gas,start-year,,0.5,cwf_med_H2
N fertilizer,refined liquids,start-year,,1,cwf_med_H2
N fertilizer,refined liquids,2035,,0,cwf_med_H2
N fertilizer,hydrogen,start-year,,0,cwf_med_H2
N fertilizer,hydrogen,2050,,1,cwf_med_H2
N fertilizer,Imports,start-year,,0,cwf_med_H2
Exports_fertilizer,N fertilizer,start-year,,0,cwf_med_H2
N fertilizer,coal,start-year,,0,cwf_low_H2
N fertilizer,gas,start-year,,0.5,cwf_low_H2
N fertilizer,refined liquids,start-year,,1,cwf_low_H2
N fertilizer,refined liquids,2035,,0,cwf_low_H2
N fertilizer,hydrogen,start-year,,0,cwf_low_H2
N fertilizer,hydrogen,2050,,0.2,cwf_low_H2
N fertilizer,hydrogen,2100,,1,cwf_low_H2
N fertilizer,Imports,start-year,,0,cwf_low_H2
Exports_fertilizer,N fertilizer,start-year,,0,cwf_low_H2
N fertilizer,coal,start-year,,0,cwf_high_H2
N fertilizer,gas,start-year,,0.5,cwf_high_H2
N fertilizer,refined liquids,start-year,,1,cwf_high_H2
N fertilizer,refined liquids,2035,,0,cwf_high_H2
N fertilizer,hydrogen,start-year,,0,cwf_high_H2
N fertilizer,hydrogen,2050,,2,cwf_high_H2
N fertilizer,Imports,start-year,,0,cwf_high_H2
Exports_fertilizer,N fertilizer,start-year,,0,cwf_high_H2
