# File: A323.globaltech_shrwt_cwf_H2_scenarios.csv
# Title: Iron and steel default shareweights for the CWF hydrogen scenarios
# Units: Unitless
# Column types: cccnnnnnnc
# ----------
supplysector,subsector,technology,1971,2015,2020,2025,2050,2100,scenario
iron and steel,BLASTFUR,BLASTFUR,1,1,1,1,1,1,cwf_med_H2
iron and steel,BLASTFUR,BLASTFUR CCS,0,0,0,0.2,1,1,cwf_med_H2
iron and steel,BLASTFUR,Biomass-based,0,0,0,0.2,0.2,0.2,cwf_med_H2
iron and steel,EAF with DRI,EAF with DRI,1,1,1,1,1,1,cwf_med_H2
iron and steel,EAF with DRI,EAF with DRI CCS,0,0,0,0.2,1,1,cwf_med_H2
iron and steel,EAF with DRI,Hydrogen-based DRI,0,0,0,1,1,1,cwf_med_H2
iron and steel,EAF with scrap,EAF with scrap,1,1,1,1,1,1,cwf_med_H2
iron and steel,BLASTFUR,BLASTFUR with hydrogen,0,0,0,1,1,1,cwf_med_H2
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,0,0,0,0,0,0,cwf_med_H2
iron and steel,BLASTFUR,BLASTFUR,1,1,1,1,1,1,cwf_low_H2
iron and steel,BLASTFUR,BLASTFUR CCS,0,0,0,0.2,1,1,cwf_low_H2
iron and steel,BLASTFUR,Biomass-based,0,0,0,0.2,0.2,0.2,cwf_low_H2
iron and steel,EAF with DRI,EAF with DRI,1,1,1,1,1,1,cwf_low_H2
iron and steel,EAF with DRI,EAF with DRI CCS,0,0,0,0.2,1,1,cwf_low_H2
iron and steel,EAF with DRI,Hydrogen-based DRI,0,0,0,0,0.2,1,cwf_low_H2
iron and steel,EAF with scrap,EAF with scrap,1,1,1,1,1,1,cwf_low_H2
iron and steel,BLASTFUR,BLASTFUR with hydrogen,0,0,0,0,0.2,1,cwf_low_H2
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,0,0,0,0,0,0,cwf_low_H2
iron and steel,BLASTFUR,BLASTFUR,1,1,1,1,1,1,cwf_high_H2
iron and steel,BLASTFUR,BLASTFUR CCS,0,0,0,0.2,1,1,cwf_high_H2
iron and steel,BLASTFUR,Biomass-based,0,0,0,0.2,0.2,0.2,cwf_high_H2
iron and steel,EAF with DRI,EAF with DRI,1,1,1,1,1,1,cwf_high_H2
iron and steel,EAF with DRI,EAF with DRI CCS,0,0,0,0.2,1,1,cwf_high_H2
iron and steel,EAF with DRI,Hydrogen-based DRI,0,0,0,1,2,2,cwf_high_H2
iron and steel,EAF with scrap,EAF with scrap,1,1,1,1,1,1,cwf_high_H2
iron and steel,BLASTFUR,BLASTFUR with hydrogen,0,0,0,1,2,2,cwf_high_H2
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,0,0,0,0,0,0,cwf_high_H2
