# File: A54.transport_interp_liquids.csv
# Title: Liquids Phase-out for rail and road transportation
# Source: Speizer et al (2024) https://doi.org/10.1038/s41467-024-48424-9
# Units: Unitless
# Column types: ccccccncc
# ----------
supplysector,tranSubsector,stub.technology,apply.to,from.year,to.year,to.value,interpolation.function
trn_freight_road,Heavy truck,Hybrid Liquids,share-weight,2021,2025,0,fixed
trn_freight_road,Heavy truck,Liquids,share-weight,2021,2025,0,fixed
trn_freight_road,Heavy truck,NG,share-weight,2021,2025,0,fixed
trn_freight_road,Light truck,Hybrid Liquids,share-weight,2021,2025,0,fixed
trn_freight_road,Light truck,Liquids,share-weight,2021,2025,0,fixed
trn_freight_road,Light truck,NG,share-weight,2021,2025,0,fixed
trn_freight_road,Medium truck,Hybrid Liquids,share-weight,2021,2025,0,fixed
trn_freight_road,Medium truck,Liquids,share-weight,2021,2025,0,fixed
trn_freight_road,Medium truck,NG,share-weight,2021,2025,0,fixed
trn_pass_road,Bus,Hybrid Liquids,share-weight,2021,2025,0,fixed
trn_pass_road,Bus,Liquids,share-weight,2021,2025,0,fixed
trn_pass_road,Bus,NG,share-weight,2021,2025,0,fixed
trn_pass_road_LDV,2W and 3W,Liquids,share-weight,2021,2025,0,fixed
trn_pass_road_LDV,2W and 3W,NG,share-weight,2021,2025,0,fixed
trn_pass_road_LDV_4W,Car,Hybrid Liquids,share-weight,2021,2025,0,fixed
trn_pass_road_LDV_4W,Car,Liquids,share-weight,2021,2025,0,fixed
trn_pass_road_LDV_4W,Car,NG,share-weight,2021,2025,0,fixed
trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,share-weight,2021,2025,0,fixed
trn_pass_road_LDV_4W,Large Car and Truck,Liquids,share-weight,2021,2025,0,fixed
trn_pass_road_LDV_4W,Large Car and Truck,NG,share-weight,2021,2025,0,fixed
trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,share-weight,2021,2025,0,fixed
trn_pass_road_LDV_4W,Mini Car,Liquids,share-weight,2021,2025,0,fixed
trn_pass_road_LDV_4W,Mini Car,NG,share-weight,2021,2025,0,fixed
trn_freight_road,Heavy truck,Hybrid Liquids,share-weight,2025,2050,0,s-curve
trn_freight_road,Heavy truck,Liquids,share-weight,2025,2050,0,s-curve
trn_freight_road,Heavy truck,NG,share-weight,2025,2050,0,s-curve
trn_freight_road,Light truck,Hybrid Liquids,share-weight,2025,2050,0,s-curve
trn_freight_road,Light truck,Liquids,share-weight,2025,2050,0,s-curve
trn_freight_road,Light truck,NG,share-weight,2025,2050,0,s-curve
trn_freight_road,Medium truck,Hybrid Liquids,share-weight,2025,2050,0,s-curve
trn_freight_road,Medium truck,Liquids,share-weight,2025,2050,0,s-curve
trn_freight_road,Medium truck,NG,share-weight,2025,2050,0,s-curve
trn_pass_road,Bus,Hybrid Liquids,share-weight,2025,2050,0,s-curve
trn_pass_road,Bus,Liquids,share-weight,2025,2050,0,s-curve
trn_pass_road,Bus,NG,share-weight,2025,2050,0,s-curve
trn_pass_road_LDV,2W and 3W,Liquids,share-weight,2025,2050,0,s-curve
trn_pass_road_LDV,2W and 3W,NG,share-weight,2025,2050,0,s-curve
trn_pass_road_LDV_4W,Car,Hybrid Liquids,share-weight,2025,2050,0,s-curve
trn_pass_road_LDV_4W,Car,Liquids,share-weight,2025,2050,0,s-curve
trn_pass_road_LDV_4W,Car,NG,share-weight,2025,2050,0,s-curve
trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,share-weight,2025,2050,0,s-curve
trn_pass_road_LDV_4W,Large Car and Truck,Liquids,share-weight,2025,2050,0,s-curve
trn_pass_road_LDV_4W,Large Car and Truck,NG,share-weight,2025,2050,0,s-curve
trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,share-weight,2025,2050,0,s-curve
trn_pass_road_LDV_4W,Mini Car,Liquids,share-weight,2025,2050,0,s-curve
trn_pass_road_LDV_4W,Mini Car,NG,share-weight,2025,2050,0,s-curve
trn_freight_road,Heavy truck,Hybrid Liquids,share-weight,2050,2100,0,fixed
trn_freight_road,Heavy truck,Liquids,share-weight,2050,2100,0,fixed
trn_freight_road,Heavy truck,NG,share-weight,2050,2100,0,fixed
trn_freight_road,Light truck,Hybrid Liquids,share-weight,2050,2100,0,fixed
trn_freight_road,Light truck,Liquids,share-weight,2050,2100,0,fixed
trn_freight_road,Light truck,NG,share-weight,2050,2100,0,fixed
trn_freight_road,Medium truck,Hybrid Liquids,share-weight,2050,2100,0,fixed
trn_freight_road,Medium truck,Liquids,share-weight,2050,2100,0,fixed
trn_freight_road,Medium truck,NG,share-weight,2050,2100,0,fixed
trn_pass_road,Bus,Hybrid Liquids,share-weight,2050,2100,0,fixed
trn_pass_road,Bus,Liquids,share-weight,2050,2100,0,fixed
trn_pass_road,Bus,NG,share-weight,2050,2100,0,fixed
trn_pass_road_LDV,2W and 3W,Liquids,share-weight,2050,2100,0,fixed
trn_pass_road_LDV,2W and 3W,NG,share-weight,2050,2100,0,fixed
trn_pass_road_LDV_4W,Car,Hybrid Liquids,share-weight,2050,2100,0,fixed
trn_pass_road_LDV_4W,Car,Liquids,share-weight,2050,2100,0,fixed
trn_pass_road_LDV_4W,Car,NG,share-weight,2050,2100,0,fixed
trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,share-weight,2050,2100,0,fixed
