# File: A54.transport_shrwt_liquids.csv
# Title: transport sector technology shareweights
# Units: Unitless
# Column types: cccnnc
# ----------
supplysector,tranSubsector,stub.technology,2050,2100
trn_freight_road,Heavy truck,Hybrid Liquids,0,0
trn_freight_road,Heavy truck,Liquids,0,0
trn_freight_road,Heavy truck,NG,0,0
trn_freight_road,Light truck,Hybrid Liquids,0,0
trn_freight_road,Light truck,Liquids,0,0
trn_freight_road,Light truck,NG,0,0
trn_freight_road,Medium truck,Hybrid Liquids,0,0
trn_freight_road,Medium truck,Liquids,0,0
trn_freight_road,Medium truck,NG,0,0
trn_pass_road,Bus,Hybrid Liquids,0,0
trn_pass_road,Bus,Liquids,0,0
trn_pass_road,Bus,NG,0,0
trn_pass_road_LDV,2W and 3W,Liquids,0,0
trn_pass_road_LDV,2W and 3W,NG,0,0
trn_pass_road_LDV_4W,Car,Hybrid Liquids,0,0
trn_pass_road_LDV_4W,Car,Liquids,0,0
trn_pass_road_LDV_4W,Car,NG,0,0
trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,0,0
trn_pass_road_LDV_4W,Large Car and Truck,Liquids,0,0
trn_pass_road_LDV_4W,Large Car and Truck,NG,0,0
trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,0,0
trn_pass_road_LDV_4W,Mini Car,Liquids,0,0
trn_pass_road_LDV_4W,Mini Car,NG,0,0
