# File: MMRV_cost_regionalised_high.csv
# Title: MMRV Costs for ERW and Biochar (regional)
# Units: 1975$/kgC
# Source: ILOSAT Labour Wage data, WorldBank Data Logistics Performance Index,ITU data, OECD data
# Comments: Costs are scaled from the UK source value corresponding to the regional labour wage, logistics performance index, price level index, ICT development index, Environmental Regulation Stringency index, and weighted appropriately for ERW and biochar, Regions are aggregated as per R10 grouping.
# Column types: cccccn
# ----------
region,supplysector,subsector,stub.technology,minicam.non.energy.input,input.cost,
Africa_Eastern,CO2 removal,rock weathering,rock weathering,MMRV cost,0.100883626,
Africa_Northern,CO2 removal,rock weathering,rock weathering,MMRV cost,0.100883626,
Africa_Southern,CO2 removal,rock weathering,rock weathering,MMRV cost,0.100883626,
Africa_Western,CO2 removal,rock weathering,rock weathering,MMRV cost,0.100883626,
South Africa,CO2 removal,rock weathering,rock weathering,MMRV cost,0.100883626,
China,CO2 removal,rock weathering,rock weathering,MMRV cost,0.071182837,
Taiwan,CO2 removal,rock weathering,rock weathering,MMRV cost,0.071182837,
EU-12,CO2 removal,rock weathering,rock weathering,MMRV cost,0.258053478,
EU-15,CO2 removal,rock weathering,rock weathering,MMRV cost,0.258053478,
Europe_Non_EU,CO2 removal,rock weathering,rock weathering,MMRV cost,0.258053478,
European Free Trade Association,CO2 removal,rock weathering,rock weathering,MMRV cost,0.258053478,
India,CO2 removal,rock weathering,rock weathering,MMRV cost,0.074145692,
Argentina,CO2 removal,rock weathering,rock weathering,MMRV cost,0.107291162,
Brazil,CO2 removal,rock weathering,rock weathering,MMRV cost,0.107291162,
Central America and Caribbean,CO2 removal,rock weathering,rock weathering,MMRV cost,0.107291162,
Colombia,CO2 removal,rock weathering,rock weathering,MMRV cost,0.107291162,
Mexico,CO2 removal,rock weathering,rock weathering,MMRV cost,0.107291162,
South America_Northern,CO2 removal,rock weathering,rock weathering,MMRV cost,0.107291162,
South America_Southern,CO2 removal,rock weathering,rock weathering,MMRV cost,0.107291162,
Middle East,CO2 removal,rock weathering,rock weathering,MMRV cost,0.23229217,
Canada,CO2 removal,rock weathering,rock weathering,MMRV cost,0.334384303,
USA,CO2 removal,rock weathering,rock weathering,MMRV cost,0.334384303,
Australia_NZ,CO2 removal,rock weathering,rock weathering,MMRV cost,0.312859958,
Japan,CO2 removal,rock weathering,rock weathering,MMRV cost,0.312859958,
South Korea,CO2 removal,rock weathering,rock weathering,MMRV cost,0.312859958,
Europe_Eastern,CO2 removal,rock weathering,rock weathering,MMRV cost,0.130666412,
Russia,CO2 removal,rock weathering,rock weathering,MMRV cost,0.130666412,
Central Asia,CO2 removal,rock weathering,rock weathering,MMRV cost,0.068085193,
Indonesia,CO2 removal,rock weathering,rock weathering,MMRV cost,0.068085193,
Pakistan,CO2 removal,rock weathering,rock weathering,MMRV cost,0.068085193,
South Asia,CO2 removal,rock weathering,rock weathering,MMRV cost,0.068085193,
Southeast Asia,CO2 removal,rock weathering,rock weathering,MMRV cost,0.068085193,
Africa_Eastern,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.013026982,
Africa_Northern,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.013026982,
Africa_Southern,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.013026982,
Africa_Western,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.013026982,
South Africa,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.013026982,
China,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.010669223,
Taiwan,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.010669223,
EU-12,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.025246929,
EU-15,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.025246929,
Europe_Non_EU,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.025246929,
European Free Trade Association,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.025246929,
India,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.010974069,
Argentina,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.014038399,
Brazil,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.014038399,
Central America and Caribbean,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.014038399,
Colombia,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.014038399,
Mexico,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.014038399,
South America_Northern,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.014038399,
South America_Southern,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.014038399,
Middle East,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.023656747,
Canada,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.027350233,
USA,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.027350233,
Australia_NZ,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.02655442,
Japan,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.02655442,
South Korea,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.02655442,
Europe_Eastern,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.015841138,
Russia,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.015841138,
Central Asia,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.010642074,
Indonesia,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.010642074,
Pakistan,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.010642074,
South Asia,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.010642074,
Southeast Asia,biochar,biochar,slow pyrolysis biochar,MMRV cost,0.010642074,
