# File: calibrated_techs_refining.csv
# Title: Mapping from calibrated intermediate sectors and fuels to supplysector / subsector / technology / input in GCAM
# Units: n/a
# Column types: ccccccccc
# ----------
sector,fuel,supplysector,subsector,input,technology,minicam.energy.input,secondary.output
refining,Gasoline,refining,biorefining,corn,corn ethanol,regional corn for ethanol,Gasoline_corn
refining,Gasoline,refining,biorefining,sugar,sugar cane ethanol,regional sugar for ethanol,Gasoline_sugar
refining,Distillate_FuelOil,refining,biorefining,biomassOil,biodiesel,regional biomassOil,Distillate_FuelOil_biomassOil
refining,LPG,refining,gtl,natural gas,LPG,regional natural gas,LPG_natural gas
refining,Gasoline,refining,gtl,natural gas,Gasoline,regional natural gas,Gasoline_natural gas
refining,Jet_Kerosene,refining,gtl,natural gas,Jet_Kerosene,regional natural gas,Jet_Kerosene_natural gas
refining,Distillate_FuelOil,refining,gtl,natural gas,Distillate_FuelOil,regional natural gas,Distillate_FuelOil_natural gas
refining,Residual_FuelOil,refining,gtl,natural gas,Residual_FuelOil,regional natural gas,Residual_FuelOil_natural gas
refining,PetCoke,refining,gtl,natural gas,PetCoke,regional natural gas,PetCoke_natural gas
refining,Other,refining,gtl,natural gas,Other,regional natural gas,Other_natural gas
refining,LPG,refining,ctl,coal,LPG,regional coal,LPG_coal
refining,Gasoline,refining,ctl,coal,Gasoline,regional coal,Gasoline_coal
refining,Jet_Kerosene,refining,ctl,coal,Jet_Kerosene,regional coal,Jet_Kerosene_coal
refining,Distillate_FuelOil,refining,ctl,coal,Distillate_FuelOil,regional coal,Distillate_FuelOil_coal
refining,Residual_FuelOil,refining,ctl,coal,Residual_FuelOil,regional coal,Residual_FuelOil_coal
refining,PetCoke,refining,ctl,coal,PetCoke,regional coal,PetCoke_coal
refining,Other,refining,ctl,coal,Other,regional coal,Other_coal
refining,LPG,refining,crude oil refining,crude oil,LPG,regional oil,LPG_crude oil
refining,Gasoline,refining,crude oil refining,crude oil,Gasoline,regional oil,Gasoline_crude oil
refining,Jet_Kerosene,refining,crude oil refining,crude oil,Jet_Kerosene,regional oil,Jet_Kerosene_crude oil
refining,Distillate_FuelOil,refining,crude oil refining,crude oil,Distillate_FuelOil,regional oil,Distillate_FuelOil_crude oil
refining,Residual_FuelOil,refining,crude oil refining,crude oil,Residual_FuelOil,regional oil,Residual_FuelOil_crude oil
refining,PetCoke,refining,crude oil refining,crude oil,PetCoke,regional oil,PetCoke_crude oil
refining,Other,refining,crude oil refining,crude oil,Other,regional oil,Other_crude oil
biorefining,corn,refining,Gasoline,corn,corn ethanol,regional corn for ethanol,
biorefining,sugar,refining,Gasoline,sugar,sugar cane ethanol,regional sugar for ethanol,
biorefining,biomass oil,refining,Distillate_FuelOil,biomassOil,biodiesel,regional biomassOil,
gtl,natural gas,refining,gtl,gtl,gtl,regional natural gas,
ctl,coal,refining,ctl,ctl,ctl,regional coal,
oil refining,oil,refining,crude oil refining,crude oil,crude oil refining,regional oil,
oil refining,gas,refining,crude oil refining,gas,crude oil refining,wholesale gas,
