# File: cement_clinker.csv
# Title: Global average clinker ratio
# Units:unitless
# Description: National steel production
# Source: R. M. Andrew 2019, ESSD
# Column types: in
# ----------
year,ratio
1971,0.95
1972,0.944
1973,0.938
1974,0.932
1975,0.925
1976,0.92
1977,0.915
1978,0.91
1979,0.905
1980,0.9
1981,0.89
1982,0.88
1983,0.87
1984,0.86
1985,0.85
1986,0.845
1987,0.84
1988,0.835
1989,0.83
1990,0.825
1991,0.825
1992,0.825
1993,0.825
1994,0.825
1995,0.825
1996,0.825
1997,0.825
1998,0.825
1999,0.825
2000,0.825
2001,0.815
2002,0.805
2003,0.795
2004,0.785
2005,0.775
2006,0.77
2007,0.765
2008,0.76
2009,0.755
2010,0.75
2011,0.735
2012,0.72
2013,0.705
2014,0.69
2015,0.675
