# File: cement_material_composition.csv
# Title: Material composition of cement
# Units: %
# Description: Global average t type of cement per t cement production
# Source: GCCA GNR and IEA
# Column types: iinnnn
# ----------
GCAM_region_ID,year,SCM_GBFS,SCM_FA,SCM_LS,OPC
1,1971,0,0,0,1
2,1971,0,0,0,1
3,1971,0,0,0,1
4,1971,0,0,0,1
5,1971,0,0,0,1
6,1971,0,0,0,1
7,1971,0,0,0,1
8,1971,0,0,0,1
9,1971,0,0,0,1
10,1971,0,0,0,1
11,1971,0,0,0,1
12,1971,0,0,0,1
13,1971,0,0,0,1
14,1971,0,0,0,1
15,1971,0,0,0,1
16,1971,0,0,0,1
17,1971,0,0,0,1
18,1971,0,0,0,1
19,1971,0,0,0,1
20,1971,0,0,0,1
21,1971,0,0,0,1
22,1971,0,0,0,1
23,1971,0,0,0,1
24,1971,0,0,0,1
25,1971,0,0,0,1
26,1971,0,0,0,1
27,1971,0,0,0,1
28,1971,0,0,0,1
29,1971,0,0,0,1
30,1971,0,0,0,1
31,1971,0,0,0,1
32,1971,0,0,0,1
1,1972,0,0,0.07,0.93
2,1972,0,0,0.07,0.93
3,1972,0,0,0.07,0.93
4,1972,0,0,0.07,0.93
5,1972,0,0,0.07,0.93
6,1972,0,0,0.07,0.93
7,1972,0,0,0.07,0.93
8,1972,0,0,0.07,0.93
9,1972,0,0,0.07,0.93
10,1972,0,0,0.07,0.93
11,1972,0,0,0.07,0.93
12,1972,0,0,0.07,0.93
13,1972,0,0,0.07,0.93
14,1972,0,0,0.07,0.93
15,1972,0,0,0.07,0.93
16,1972,0,0,0.07,0.93
17,1972,0,0,0.07,0.93
18,1972,0,0,0.07,0.93
19,1972,0,0,0.07,0.93
20,1972,0,0,0.07,0.93
21,1972,0,0,0.07,0.93
22,1972,0,0,0.07,0.93
23,1972,0,0,0.07,0.93
24,1972,0,0,0.07,0.93
25,1972,0,0,0.07,0.93
26,1972,0,0,0.07,0.93
27,1972,0,0,0.07,0.93
28,1972,0,0,0.07,0.93
29,1972,0,0,0.07,0.93
30,1972,0,0,0.07,0.93
31,1972,0,0,0.07,0.93
32,1972,0,0,0.07,0.93
1,1973,0.02,0.02,0.13,0.83
2,1973,0,0,0.07,0.93
3,1973,0,0,0.07,0.93
4,1973,0,0,0.07,0.93
5,1973,0,0,0.07,0.93
6,1973,0,0,0.07,0.93
7,1973,0,0,0.07,0.93
8,1973,0,0,0.07,0.93
9,1973,0,0,0.07,0.93
10,1973,0,0,0.07,0.93
11,1973,0,0,0.07,0.93
12,1973,0,0,0.07,0.93
13,1973,0,0,0.07,0.93
14,1973,0,0,0.07,0.93
15,1973,0,0,0.07,0.93
16,1973,0,0,0.07,0.93
17,1973,0,0,0.07,0.93
18,1973,0,0,0.07,0.93
19,1973,0,0,0.07,0.93
20,1973,0,0,0.07,0.93
21,1973,0,0,0.07,0.93
22,1973,0,0,0.07,0.93
23,1973,0,0,0.07,0.93
24,1973,0,0,0.07,0.93
25,1973,0,0,0.07,0.93
26,1973,0,0,0.07,0.93
27,1973,0,0,0.07,0.93
28,1973,0,0,0.07,0.93
29,1973,0,0,0.07,0.93
30,1973,0,0,0.07,0.93
31,1973,0,0,0.07,0.93
32,1973,0,0,0.07,0.93
1,1974,0,0.01,0.09,0.9
2,1974,0,0.01,0.09,0.9
3,1974,0,0.01,0.09,0.9
4,1974,0,0.01,0.09,0.9
5,1974,0,0.01,0.09,0.9
6,1974,0,0.01,0.09,0.9
7,1974,0,0.01,0.09,0.9
8,1974,0,0.01,0.09,0.9
9,1974,0,0.01,0.09,0.9
10,1974,0,0.01,0.09,0.9
11,1974,0,0.01,0.09,0.9
12,1974,0,0.01,0.09,0.9
13,1974,0,0.01,0.09,0.9
14,1974,0,0.01,0.09,0.9
15,1974,0,0.01,0.09,0.9
16,1974,0,0.01,0.09,0.9
17,1974,0,0.01,0.09,0.9
18,1974,0,0.01,0.09,0.9
19,1974,0,0.01,0.09,0.9
20,1974,0,0.01,0.09,0.9
21,1974,0,0.01,0.09,0.9
22,1974,0,0.01,0.09,0.9
23,1974,0,0.01,0.09,0.9
24,1974,0,0.01,0.09,0.9
25,1974,0,0.01,0.09,0.9
26,1974,0,0.01,0.09,0.9
27,1974,0,0.01,0.09,0.9
28,1974,0,0.01,0.09,0.9
29,1974,0,0.01,0.09,0.9
30,1974,0,0.01,0.09,0.9
31,1974,0,0.01,0.09,0.9
32,1974,0,0.01,0.09,0.9
1,1975,0,0,0,1
2,1975,0,0.01,0.09,0.9
3,1975,0,0.01,0.09,0.9
4,1975,0,0.01,0.09,0.9
5,1975,0,0.01,0.09,0.9
6,1975,0,0.01,0.09,0.9
7,1975,0,0.01,0.09,0.9
8,1975,0,0.01,0.09,0.9
9,1975,0,0.01,0.09,0.9
10,1975,0,0.01,0.09,0.9
11,1975,0,0.01,0.09,0.9
12,1975,0,0.01,0.09,0.9
13,1975,0,0.01,0.09,0.9
14,1975,0,0.01,0.09,0.9
15,1975,0,0.01,0.09,0.9
16,1975,0,0.01,0.09,0.9
17,1975,0,0.01,0.09,0.9
18,1975,0,0.01,0.09,0.9
19,1975,0,0.01,0.09,0.9
20,1975,0,0.01,0.09,0.9
21,1975,0,0.01,0.09,0.9
22,1975,0,0.01,0.09,0.9
23,1975,0,0.01,0.09,0.9
24,1975,0,0.01,0.09,0.9
25,1975,0,0.01,0.09,0.9
26,1975,0,0.01,0.09,0.9
27,1975,0,0.01,0.09,0.9
28,1975,0,0.01,0.09,0.9
29,1975,0,0.01,0.09,0.9
30,1975,0,0.01,0.09,0.9
31,1975,0,0.01,0.09,0.9
32,1975,0,0.01,0.09,0.9
1,1976,0,0,0.07,0.93
2,1976,0,0.01,0.09,0.9
3,1976,0,0.01,0.09,0.9
4,1976,0,0.01,0.09,0.9
5,1976,0,0.01,0.09,0.9
6,1976,0,0.01,0.09,0.9
7,1976,0,0.01,0.09,0.9
8,1976,0,0.01,0.09,0.9
9,1976,0,0.01,0.09,0.9
10,1976,0,0.01,0.09,0.9
11,1976,0,0.01,0.09,0.9
12,1976,0,0.01,0.09,0.9
13,1976,0,0.01,0.09,0.9
14,1976,0,0.01,0.09,0.9
15,1976,0,0.01,0.09,0.9
16,1976,0,0.01,0.09,0.9
17,1976,0,0.01,0.09,0.9
18,1976,0,0.01,0.09,0.9
19,1976,0,0.01,0.09,0.9
20,1976,0,0.01,0.09,0.9
21,1976,0,0.01,0.09,0.9
22,1976,0,0.01,0.09,0.9
23,1976,0,0.01,0.09,0.9
24,1976,0,0.01,0.09,0.9
25,1976,0,0.01,0.09,0.9
26,1976,0,0.01,0.09,0.9
27,1976,0,0.01,0.09,0.9
28,1976,0,0.01,0.09,0.9
29,1976,0,0.01,0.09,0.9
30,1976,0,0.01,0.09,0.9
31,1976,0,0.01,0.09,0.9
32,1976,0,0.01,0.09,0.9
1,1977,0.01,0.01,0.11,0.87
2,1977,0.01,0.01,0.11,0.87
3,1977,0.01,0.01,0.11,0.87
4,1977,0.01,0.01,0.11,0.87
5,1977,0.01,0.01,0.11,0.87
6,1977,0.01,0.01,0.11,0.87
7,1977,0.01,0.01,0.11,0.87
8,1977,0.01,0.01,0.11,0.87
9,1977,0.01,0.01,0.11,0.87
10,1977,0.01,0.01,0.11,0.87
11,1977,0.01,0.01,0.11,0.87
12,1977,0.01,0.01,0.11,0.87
13,1977,0.01,0.01,0.11,0.87
14,1977,0.01,0.01,0.11,0.87
15,1977,0.01,0.01,0.11,0.87
16,1977,0.01,0.01,0.11,0.87
17,1977,0.01,0.01,0.11,0.87
18,1977,0.01,0.01,0.11,0.87
19,1977,0.01,0.01,0.11,0.87
20,1977,0.01,0.01,0.11,0.87
21,1977,0.01,0.01,0.11,0.87
22,1977,0.01,0.01,0.11,0.87
23,1977,0.01,0.01,0.11,0.87
24,1977,0.01,0.01,0.11,0.87
25,1977,0.01,0.01,0.11,0.87
26,1977,0.01,0.01,0.11,0.87
27,1977,0.01,0.01,0.11,0.87
28,1977,0.01,0.01,0.11,0.87
29,1977,0.01,0.01,0.11,0.87
30,1977,0.01,0.01,0.11,0.87
31,1977,0.01,0.01,0.11,0.87
32,1977,0.01,0.01,0.11,0.87
1,1978,0.02,0.03,0.15,0.8
2,1978,0.01,0.01,0.11,0.87
3,1978,0.01,0.01,0.11,0.87
4,1978,0.01,0.01,0.11,0.87
5,1978,0.01,0.01,0.11,0.87
6,1978,0.01,0.01,0.11,0.87
7,1978,0.01,0.01,0.11,0.87
8,1978,0.01,0.01,0.11,0.87
9,1978,0.01,0.01,0.11,0.87
10,1978,0.01,0.01,0.11,0.87
11,1978,0.01,0.01,0.11,0.87
12,1978,0.01,0.01,0.11,0.87
13,1978,0.01,0.01,0.11,0.87
14,1978,0.01,0.01,0.11,0.87
15,1978,0.01,0.01,0.11,0.87
16,1978,0.01,0.01,0.11,0.87
17,1978,0.01,0.01,0.11,0.87
18,1978,0.01,0.01,0.11,0.87
19,1978,0.01,0.01,0.11,0.87
20,1978,0.01,0.01,0.11,0.87
21,1978,0.01,0.01,0.11,0.87
22,1978,0.01,0.01,0.11,0.87
23,1978,0.01,0.01,0.11,0.87
24,1978,0.01,0.01,0.11,0.87
25,1978,0.01,0.01,0.11,0.87
26,1978,0.01,0.01,0.11,0.87
27,1978,0.01,0.01,0.11,0.87
28,1978,0.01,0.01,0.11,0.87
29,1978,0.01,0.01,0.11,0.87
30,1978,0.01,0.01,0.11,0.87
31,1978,0.01,0.01,0.11,0.87
32,1978,0.01,0.01,0.11,0.87
1,1979,0.02,0.03,0.15,0.8
2,1979,0.02,0.02,0.13,0.83
3,1979,0.02,0.02,0.13,0.83
