# File: cement_material_composition.csv
# Title: Material composition of cement
# Units: %
# Description: Global average t type of cement per t cement production
# Source: IEA
# Column types: nnnnn
# ----------
ratio,OPC,SCM_GBFS,SCM_FA,SCM_LS
1,100,0,0,0
0.99,100,0,0,0
0.98,100,0,0,0
0.97,100,0,0,0
0.96,100,0,0,0
0.95,100,0,0,0
0.94,96.32,1.15,0.82,1.71
0.93,92.65,2.3,1.64,3.41
0.92,88.96,3.45,2.47,5.12
0.91,85.28,4.6,3.29,6.83
0.9,81.6,5.75,4.11,8.54
0.89,77.93,6.9,4.93,10.24
0.88,74.24,8.05,5.76,11.95
0.87,70.56,9.2,6.58,13.66
0.86,66.89,10.35,7.4,15.36
0.85,63.21,11.5,8.22,17.07
0.84,59.52,12.65,9.05,18.78
0.83,55.85,13.8,9.87,20.48
0.82,52.17,14.95,10.69,22.19
0.81,48.49,16.1,11.51,23.9
0.8,44.8,17.25,12.34,25.61
0.79,41.13,18.4,13.16,27.31
0.78,37.45,19.55,13.98,29.02
0.77,33.77,20.7,14.8,30.73
0.76,30.09,21.85,15.63,32.43
0.75,26.41,23,16.45,34.14
0.74,22.73,24.15,17.27,35.85
0.73,19.05,25.3,18.09,37.56
0.72,15.37,26.45,18.92,39.26
0.71,11.69,27.6,19.74,40.97
0.7,8.01,28.75,20.56,42.68
0.69,4.34,29.9,21.38,44.38
0.68,0.65,31.05,22.21,46.09
0.67,0.66,34.19,21.72,43.43
0.66,1.1,37.85,20.35,40.7
0.65,1.81,41.68,18.84,37.67
0.64,2.8,45.68,17.17,34.35
0.63,1.85,48.51,16.55,33.09
0.62,1.06,51.41,15.84,31.69
0.61,2.73,55.83,13.81,27.63
0.6,2.27,58.95,12.93,25.85
0.59,0.72,61.39,12.63,25.26
0.58,0.5,64.65,11.62,23.23
0.57,0.42,68,10.53,21.05
0.56,0.48,71.43,9.36,18.73
