# File: cement_prod_reg.csv
# Title: GCAM regional cement production
# Units: Mt
# Description: Andrew ESSD 2019
# Source: R. M. Andrew, ESSD 2019
# Column types: icin
# ----------
GCAM_region_ID,sector,year,value
1,cement,1971,71.05
2,cement,1971,1.48
3,cement,1971,7.01
4,cement,1971,2.22
5,cement,1971,2.65
6,cement,1971,5.51
7,cement,1971,9.8
8,cement,1971,8.23
9,cement,1971,4.12
10,cement,1971,17.09
11,cement,1971,32.09
12,cement,1971,39.85
13,cement,1971,179.84
14,cement,1971,20.14
15,cement,1971,12.17
16,cement,1971,8.08
17,cement,1971,14.9
18,cement,1971,0.49
19,cement,1971,59.43
20,cement,1971,7.36
21,cement,1971,9.9
22,cement,1971,2.64
23,cement,1971,60.63
24,cement,1971,5.85
25,cement,1971,2.85
26,cement,1971,3.82
27,cement,1971,0.49
28,cement,1971,6.87
29,cement,1971,13.52
30,cement,1971,5.04
31,cement,1971,5.53
32,cement,1971,2.85
1,cement,1972,74.93
2,cement,1972,1.39
3,cement,1972,6.98
4,cement,1972,2.51
5,cement,1972,3.38
6,cement,1972,5.83
7,cement,1972,11.38
8,cement,1972,9.05
9,cement,1972,5.25
10,cement,1972,17.89
11,cement,1972,35.88
12,cement,1972,42.16
13,cement,1972,190.02
14,cement,1972,20.98
15,cement,1972,13.75
16,cement,1972,8.57
17,cement,1972,15.76
18,cement,1972,0.6
19,cement,1972,66.29
20,cement,1972,8.6
21,cement,1972,11.24
22,cement,1972,2.6
23,cement,1972,62.89
24,cement,1972,6.11
25,cement,1972,3.04
26,cement,1972,4.18
27,cement,1972,0.5
28,cement,1972,6.48
29,cement,1972,14.55
30,cement,1972,5.87
31,cement,1972,5.45
32,cement,1972,3.05
1,cement,1973,77.58
2,cement,1973,1.34
3,cement,1973,6.85
4,cement,1973,2.87
5,cement,1973,3.68
6,cement,1973,6.31
7,cement,1973,13.4
8,cement,1973,10.1
9,cement,1973,5.48
10,cement,1973,18.87
11,cement,1973,37.75
12,cement,1973,45.58
13,cement,1973,198.23
14,cement,1973,22.07
15,cement,1973,14.76
16,cement,1973,8.62
17,cement,1973,15.01
18,cement,1973,0.73
19,cement,1973,78.11
20,cement,1973,9.79
21,cement,1973,10.77
22,cement,1973,2.87
23,cement,1973,65.88
24,cement,1973,6.86
25,cement,1973,3.47
26,cement,1973,4.98
27,cement,1973,0.59
28,cement,1973,8.18
29,cement,1973,17.06
30,cement,1973,6.1
31,cement,1973,5.18
32,cement,1973,3.22
1,cement,1974,73.69
2,cement,1974,1.49
3,cement,1974,7.14
4,cement,1974,2.8
5,cement,1974,3.82
6,cement,1974,6.32
7,cement,1974,14.92
8,cement,1974,10.37
9,cement,1974,5.74
10,cement,1974,19.95
11,cement,1974,37.66
12,cement,1974,48.96
13,cement,1974,193.05
14,cement,1974,23.25
15,cement,1974,15.02
16,cement,1974,8.04
17,cement,1974,14.29
18,cement,1974,0.83
19,cement,1974,73.11
20,cement,1974,10.6
21,cement,1974,12.9
22,cement,1974,3.47
23,cement,1974,69.13
24,cement,1974,7.3
25,cement,1974,3.54
26,cement,1974,4.76
27,cement,1974,0.74
28,cement,1974,8.85
29,cement,1974,16.89
30,cement,1974,6.17
31,cement,1974,5.39
32,cement,1974,3.48
1,cement,1975,61.81
2,cement,1975,1.41
3,cement,1975,7.79
4,cement,1975,2.42
5,cement,1975,3.41
6,cement,1975,6.09
7,cement,1975,16.74
8,cement,1975,9.96
9,cement,1975,5.67
10,cement,1975,21.22
11,cement,1975,46.83
12,cement,1975,52.28
13,cement,1975,185.89
14,cement,1975,24.7
15,cement,1975,17.24
16,cement,1975,6.64
17,cement,1975,16.23
18,cement,1975,1.07
19,cement,1975,65.51
20,cement,1975,11.61
21,cement,1975,14.79
22,cement,1975,3.12
23,cement,1975,73.12
24,cement,1975,7.18
25,cement,1975,3.53
26,cement,1975,4.56
27,cement,1975,0.71
28,cement,1975,10.13
29,cement,1975,19.06
30,cement,1975,6.79
31,cement,1975,5.46
32,cement,1975,3.09
1,cement,1976,66.18
2,cement,1976,1.43
3,cement,1976,9.06
4,cement,1976,1.76
5,cement,1976,3.57
6,cement,1976,6.06
7,cement,1976,19.15
8,cement,1976,9.62
9,cement,1976,6.17
10,cement,1976,21.44
11,cement,1976,47.46
12,cement,1976,56.44
13,cement,1976,191.7
14,cement,1976,25.15
15,cement,1976,19.38
16,cement,1976,6.37
17,cement,1976,18.7
18,cement,1976,1.8
19,cement,1976,68.71
20,cement,1976,12.58
21,cement,1976,16.04
22,cement,1976,3.14
23,cement,1976,74.6
24,cement,1976,7.05
25,cement,1976,3.59
26,cement,1976,4.59
27,cement,1976,0.78
28,cement,1976,11.87
29,cement,1976,20.19
30,cement,1976,8.76
31,cement,1976,5.71
32,cement,1976,3.61
1,cement,1977,70.94
2,cement,1977,1.5
3,cement,1977,10.98
4,cement,1977,1.87
5,cement,1977,3.6
6,cement,1977,5.93
7,cement,1977,21.12
8,cement,1977,9.64
9,cement,1977,6.4
10,cement,1977,21.7
11,cement,1977,56.68
12,cement,1977,59.67
13,cement,1977,196.67
14,cement,1977,25.73
15,cement,1977,21.21
