# File: A44.bld_ee_flsp.csv
# Title: building floor space assumptions
# Units: Unitless
# Source: None (GCAM assumptions) flat plus 0.25 times the difference between ref and flat
# Column types: ccccnnnnnnnnnnn
# ----------
region,gcam.consumer,nodeInput,building.node.input,X1990,X2005,X2010,X2015,X2020,X2025,X2030,X2035,X2040,X2045,X2050
AK,comm,comm,comm_building,0.01,0.012,0.016,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018
AK,resid,resid,resid_building,0.025,0.041,0.037,0.036,0.036,0.036,0.037,0.037,0.038,0.038,0.039
AL,comm,comm,comm_building,0.115,0.094,0.109,0.11,0.111,0.113,0.114,0.115,0.117,0.118,0.119
AL,resid,resid,resid_building,0.22,0.308,0.281,0.265,0.267,0.269,0.272,0.274,0.277,0.279,0.281
AR,comm,comm,comm_building,0.065,0.072,0.078,0.078,0.079,0.079,0.080,0.080,0.081,0.081,0.082
AR,resid,resid,resid_building,0.099,0.15,0.148,0.151,0.152,0.154,0.156,0.157,0.159,0.160,0.162
AZ,comm,comm,comm_building,0.103,0.116,0.125,0.128,0.133,0.138,0.143,0.146,0.149,0.152,0.155
AZ,resid,resid,resid_building,0.161,0.36,0.373,0.381,0.390,0.399,0.405,0.410,0.415,0.419,0.424
CA,comm,comm,comm_building,0.555,0.661,0.829,0.887,0.906,0.922,0.937,0.950,0.963,0.975,0.986
CA,resid,resid,resid_building,1.236,1.663,1.649,1.653,1.720,1.772,1.813,1.849,1.883,1.913,1.942
CO,comm,comm,comm_building,0.093,0.092,0.099,0.102,0.106,0.110,0.114,0.117,0.119,0.121,0.123
CO,resid,resid,resid_building,0.144,0.285,0.294,0.304,0.311,0.317,0.322,0.326,0.329,0.332,0.336
CT,comm,comm,comm_building,0.075,0.082,0.091,0.091,0.091,0.092,0.093,0.094,0.095,0.096,0.097
CT,resid,resid,resid_building,0.177,0.263,0.241,0.229,0.229,0.230,0.232,0.234,0.236,0.238,0.239
DC,comm,comm,comm_building,0.013,0.014,0.016,0.017,0.018,0.018,0.018,0.018,0.019,0.019,0.019
DC,resid,resid,resid_building,0.028,0.042,0.038,0.041,0.042,0.042,0.043,0.043,0.044,0.044,0.045
DE,comm,comm,comm_building,0.015,0.021,0.023,0.024,0.024,0.025,0.025,0.025,0.026,0.026,0.026
DE,resid,resid,resid_building,0.031,0.063,0.056,0.057,0.058,0.059,0.059,0.060,0.060,0.061,0.061
FL,comm,comm,comm_building,0.285,0.434,0.485,0.511,0.523,0.533,0.541,0.547,0.553,0.558,0.564
FL,resid,resid,resid_building,0.627,1.104,0.976,1.007,1.036,1.060,1.079,1.095,1.111,1.125,1.139
GA,comm,comm,comm_building,0.143,0.217,0.25,0.257,0.261,0.265,0.268,0.271,0.273,0.275,0.278
