# File: states_rps_region.csv
# Title: State and RPS region map
# Units: NA
# Source: GCAM
# Column types: cc
# ----------
state,rps_region
AK,Alaska grid
MI,Central East grid
OH,Central East grid
IN,Central East grid
KY,Central East grid
WV,Central East grid
IL,Central Northeast grid
MO,Central Northeast grid
WI,Central Northeast grid
IA,Central Northwest grid
MN,Central Northwest grid
ND,Central Northwest grid
NE,Central Northwest grid
SD,Central Northwest grid
KS,Central Southwest grid
OK,Central Southwest grid
FL,Florida grid
HI,Hawaii grid
DC,Mid-Atlantic grid
DE,Mid-Atlantic grid
MD,Mid-Atlantic grid
NJ,Mid-Atlantic grid
PA,Mid-Atlantic grid
CT,New England grid
MA,New England grid
ME,New England grid
NH,New England grid
RI,New England grid
VT,New England grid
NY,New York grid
NC,Southeast grid
AL,Southeast grid
AR,Southeast grid
GA,Southeast grid
LA,Southeast grid
MS,Southeast grid
SC,Southeast grid
TN,Southeast grid
VA,Southeast grid
CA,Combined grid
MT,Combined grid
NV,Combined grid
OR,Combined grid
WA,Combined grid
ID,Combined grid
UT,Combined grid
AZ,Combined grid
CO,Combined grid
NM,Combined grid
WY,Combined grid
TX,Texas grid
