# File: A44.bld_floorspace_material_intensity_reg.csv
# Title: Building sub-type floorspace material intensity by GCAM region
# Units: kg/m2
# Description: Building sub-type floorspace material intensities based on data from Deetman et al. 2020. There are 2 floorspace sectors: resid floorspace and comm floorspace. Within resid floorspace there are 8 subsectors (4 building sub-types x urban/rural). Within comm floorspace there are 4 subsectors.
# Source: Deetman et al. 2020 Journal of Cleaner Production Supplementary Information;  https://doi.org/10.1016/j.jclepro.2019.118658 (with data processing for use in GCAM)
# Column types: ccccncn
# ----------
region,sector,subsector,material,year,Units,value
USA,resid floorspace,apartments rural,aluminium,1975,kg/m2,282.2188885
Africa_Eastern,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.86739677
Africa_Northern,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.86739678
Africa_Southern,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.86739678
Africa_Western,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.86739677
Australia_NZ,resid floorspace,apartments rural,aluminium,1975,kg/m2,60.2840513
Brazil,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.86739677
Canada,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.86739679
Central America and Caribbean,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.86739678
Central Asia,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.89647718
China,resid floorspace,apartments rural,aluminium,1975,kg/m2,33.98493763
EU-12,resid floorspace,apartments rural,aluminium,1975,kg/m2,47.22392995
EU-15,resid floorspace,apartments rural,aluminium,1975,kg/m2,4.464667071
Europe_Eastern,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.86739676
Europe_Non_EU,resid floorspace,apartments rural,aluminium,1975,kg/m2,33.56747304
European Free Trade Association,resid floorspace,apartments rural,aluminium,1975,kg/m2,4.464667071
India,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.5024034
Indonesia,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.86739678
Japan,resid floorspace,apartments rural,aluminium,1975,kg/m2,28.58295536
Mexico,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.86739678
Middle East,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.86739677
Pakistan,resid floorspace,apartments rural,aluminium,1975,kg/m2,7.40511668
Russia,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.86739677
South Africa,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.86739678
South America_Northern,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.86739677
South America_Southern,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.86739677
South Asia,resid floorspace,apartments rural,aluminium,1975,kg/m2,7.40511668
South Korea,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.86739677
Southeast Asia,resid floorspace,apartments rural,aluminium,1975,kg/m2,9.451210852
Taiwan,resid floorspace,apartments rural,aluminium,1975,kg/m2,33.98493763
Argentina,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.86739677
Colombia,resid floorspace,apartments rural,aluminium,1975,kg/m2,31.86739677
USA,resid floorspace,apartments rural,aluminium,1990,kg/m2,285.4155913
Africa_Eastern,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.86739677
Africa_Northern,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.86739677
Africa_Southern,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.86739678
Africa_Western,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.86739677
Australia_NZ,resid floorspace,apartments rural,aluminium,1990,kg/m2,60.2840513
Brazil,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.86739677
Canada,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.86739677
Central America and Caribbean,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.86739677
Central Asia,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.92964884
China,resid floorspace,apartments rural,aluminium,1990,kg/m2,33.98493763
EU-12,resid floorspace,apartments rural,aluminium,1990,kg/m2,47.17241783
EU-15,resid floorspace,apartments rural,aluminium,1990,kg/m2,4.464667069
Europe_Eastern,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.86739677
Europe_Non_EU,resid floorspace,apartments rural,aluminium,1990,kg/m2,32.68889455
European Free Trade Association,resid floorspace,apartments rural,aluminium,1990,kg/m2,4.464667069
India,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.50240341
Indonesia,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.86739677
Japan,resid floorspace,apartments rural,aluminium,1990,kg/m2,28.58295536
Mexico,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.86739678
Middle East,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.86739677
Pakistan,resid floorspace,apartments rural,aluminium,1990,kg/m2,7.405116681
Russia,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.86739677
South Africa,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.86739678
South America_Northern,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.86739678
South America_Southern,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.86739678
South Asia,resid floorspace,apartments rural,aluminium,1990,kg/m2,7.405116681
South Korea,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.86739677
Southeast Asia,resid floorspace,apartments rural,aluminium,1990,kg/m2,9.083788661
Taiwan,resid floorspace,apartments rural,aluminium,1990,kg/m2,33.98493763
Argentina,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.86739678
Colombia,resid floorspace,apartments rural,aluminium,1990,kg/m2,31.86739678
USA,resid floorspace,apartments rural,aluminium,2005,kg/m2,285.6701643
Africa_Eastern,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.86739677
Africa_Northern,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.86739677
Africa_Southern,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.86739678
Africa_Western,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.86739678
Australia_NZ,resid floorspace,apartments rural,aluminium,2005,kg/m2,60.2840513
Brazil,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.86739677
Canada,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.86739677
Central America and Caribbean,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.86739678
Central Asia,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.97938812
China,resid floorspace,apartments rural,aluminium,2005,kg/m2,33.98493763
EU-12,resid floorspace,apartments rural,aluminium,2005,kg/m2,47.17173095
EU-15,resid floorspace,apartments rural,aluminium,2005,kg/m2,4.464667071
Europe_Eastern,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.86739677
Europe_Non_EU,resid floorspace,apartments rural,aluminium,2005,kg/m2,32.89798116
European Free Trade Association,resid floorspace,apartments rural,aluminium,2005,kg/m2,4.464667071
India,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.5024034
Indonesia,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.86739677
Japan,resid floorspace,apartments rural,aluminium,2005,kg/m2,28.58295535
Mexico,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.86739678
Middle East,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.86739678
Pakistan,resid floorspace,apartments rural,aluminium,2005,kg/m2,7.405116682
Russia,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.86739678
South Africa,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.86739678
South America_Northern,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.86739678
South America_Southern,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.86739678
South Asia,resid floorspace,apartments rural,aluminium,2005,kg/m2,7.405116682
South Korea,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.86739677
Southeast Asia,resid floorspace,apartments rural,aluminium,2005,kg/m2,9.005558361
Taiwan,resid floorspace,apartments rural,aluminium,2005,kg/m2,33.98493763
Argentina,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.86739678
Colombia,resid floorspace,apartments rural,aluminium,2005,kg/m2,31.86739678
USA,resid floorspace,apartments rural,aluminium,2010,kg/m2,285.6544217
Africa_Eastern,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739677
Africa_Northern,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739677
Africa_Southern,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739677
Africa_Western,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739676
Australia_NZ,resid floorspace,apartments rural,aluminium,2010,kg/m2,60.2840513
Brazil,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739676
Canada,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739676
Central America and Caribbean,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739677
Central Asia,resid floorspace,apartments rural,aluminium,2010,kg/m2,32.00639134
China,resid floorspace,apartments rural,aluminium,2010,kg/m2,33.98493763
EU-12,resid floorspace,apartments rural,aluminium,2010,kg/m2,47.18278715
EU-15,resid floorspace,apartments rural,aluminium,2010,kg/m2,4.464667072
Europe_Eastern,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739677
Europe_Non_EU,resid floorspace,apartments rural,aluminium,2010,kg/m2,33.11304944
European Free Trade Association,resid floorspace,apartments rural,aluminium,2010,kg/m2,4.464667072
India,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.50240342
Indonesia,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739677
Japan,resid floorspace,apartments rural,aluminium,2010,kg/m2,28.58295535
Mexico,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739678
Middle East,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739677
Pakistan,resid floorspace,apartments rural,aluminium,2010,kg/m2,7.405116681
Russia,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739678
South Africa,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739678
South America_Northern,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739677
South America_Southern,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739677
South Asia,resid floorspace,apartments rural,aluminium,2010,kg/m2,7.405116681
South Korea,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739678
Southeast Asia,resid floorspace,apartments rural,aluminium,2010,kg/m2,8.903683289
Taiwan,resid floorspace,apartments rural,aluminium,2010,kg/m2,33.98493763
Argentina,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739677
Colombia,resid floorspace,apartments rural,aluminium,2010,kg/m2,31.86739677
USA,resid floorspace,apartments rural,aluminium,2015,kg/m2,286.0923593
Africa_Eastern,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739678
Africa_Northern,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739677
Africa_Southern,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739677
Africa_Western,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739678
Australia_NZ,resid floorspace,apartments rural,aluminium,2015,kg/m2,60.2840513
Brazil,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739678
Canada,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739677
Central America and Caribbean,resid floorspace,apartments rural,aluminium,2015,kg/m2,31.86739677
Central Asia,resid floorspace,apartments rural,aluminium,2015,kg/m2,32.02410732
China,resid floorspace,apartments rural,aluminium,2015,kg/m2,33.98493764
EU-12,resid floorspace,apartments rural,aluminium,2015,kg/m2,47.18270108
EU-15,resid floorspace,apartments rural,aluminium,2015,kg/m2,4.464667072
