# File: A44.bld_floorspace_shares_reg.csv
# Title: Building sub-type floorspace shares by GCAM region
# Units: unitless
# Description: Building sub-type floorspace shares based on floorspace (stock) data from Deetman et al. 2020 for 26 IMAGE regions (reprocessed for GCAM regions). There are 2 floorspace sectors: resid floorspace and comm floorspace. Within resid floorspace there are 8 subsectors (4 building sub-types x urban/rural). Within comm floorspace there are 4 subsectors.
# Source: Deetman et al. 2020 Journal of Cleaner Production Supplementary Information;  https://doi.org/10.1016/j.jclepro.2019.118658 (with data processing for use in GCAM)
# Column types: cccnn
# ----------
region,sector,subsector,year,flsp_share
Africa_Eastern,resid floorspace,apartments rural,1975,0.046264443
Africa_Eastern,resid floorspace,apartments urban,1975,0.013365324
Africa_Eastern,resid floorspace,detached rural,1975,0.75996256
Africa_Eastern,resid floorspace,detached urban,1975,0.037454306
Africa_Eastern,comm floorspace,govern commercial,1975,0.9135815
Africa_Eastern,resid floorspace,high-rise rural,1975,0.033010732
Africa_Eastern,resid floorspace,high-rise urban,1975,0.019208624
Africa_Eastern,comm floorspace,hotels commercial,1975,0.044879038
Africa_Eastern,comm floorspace,office commercial,1975,0.024246921
Africa_Eastern,comm floorspace,retail commercial,1975,0.017292541
Africa_Eastern,resid floorspace,semi-detached rural,1975,0.068574419
Africa_Eastern,resid floorspace,semi-detached urban,1975,0.022159592
Africa_Northern,resid floorspace,apartments rural,1975,0.03316225
Africa_Northern,resid floorspace,apartments urban,1975,0.050638678
Africa_Northern,resid floorspace,detached rural,1975,0.54473948
Africa_Northern,resid floorspace,detached urban,1975,0.141907258
Africa_Northern,comm floorspace,govern commercial,1975,0.897464643
Africa_Northern,resid floorspace,high-rise rural,1975,0.023662019
Africa_Northern,resid floorspace,high-rise urban,1975,0.072777832
Africa_Northern,comm floorspace,hotels commercial,1975,0.048270244
Africa_Northern,comm floorspace,office commercial,1975,0.031227997
Africa_Northern,comm floorspace,retail commercial,1975,0.023037116
Africa_Northern,resid floorspace,semi-detached rural,1975,0.049153992
Africa_Northern,resid floorspace,semi-detached urban,1975,0.08395849
Africa_Southern,resid floorspace,apartments rural,1975,0.045754336
Africa_Southern,resid floorspace,apartments urban,1975,0.014816487
