# File: A44.bld_materials_intensity_reg.csv
# Title: Building sub-type material intensity by GCAM region
# Units: kg/m2
# Description: Building sub-type material intensities based on data from Deetman et al. 2020. There are 2 materials sectors: resid materials and comm materials. Within resid materials there are 8 subsectors (4 building sub-types x urban/rural). Within comm materials there are 4 subsectors.
# Source: Deetman et al. 2020 Journal of Cleaner Production Supplementary Information;  https://doi.org/10.1016/j.jclepro.2019.118658 (with data processing for use in GCAM)
# Column types: ccccncn
# ----------
region,sector,subsector,material,year,Units,value
USA,resid materials,apartments rural,aluminium,1975,kg/m2,281.7953784
Africa_Eastern,resid materials,apartments rural,aluminium,1975,kg/m2,31.86739677
Africa_Northern,resid materials,apartments rural,aluminium,1975,kg/m2,31.86739678
Africa_Southern,resid materials,apartments rural,aluminium,1975,kg/m2,31.86739678
Africa_Western,resid materials,apartments rural,aluminium,1975,kg/m2,31.86739677
Australia_NZ,resid materials,apartments rural,aluminium,1975,kg/m2,60.2840513
Brazil,resid materials,apartments rural,aluminium,1975,kg/m2,31.86739677
Canada,resid materials,apartments rural,aluminium,1975,kg/m2,31.86739679
Central America and Caribbean,resid materials,apartments rural,aluminium,1975,kg/m2,31.86739678
Central Asia,resid materials,apartments rural,aluminium,1975,kg/m2,31.89678683
China,resid materials,apartments rural,aluminium,1975,kg/m2,33.98493763
EU-12,resid materials,apartments rural,aluminium,1975,kg/m2,47.22527394
EU-15,resid materials,apartments rural,aluminium,1975,kg/m2,4.464667071
Ukraine,resid materials,apartments rural,aluminium,1975,kg/m2,31.86739676
Europe_Non_EU,resid materials,apartments rural,aluminium,1975,kg/m2,33.10020355
European Free Trade Association,resid materials,apartments rural,aluminium,1975,kg/m2,4.464667071
India,resid materials,apartments rural,aluminium,1975,kg/m2,31.5024034
Indonesia,resid materials,apartments rural,aluminium,1975,kg/m2,31.86739678
Japan,resid materials,apartments rural,aluminium,1975,kg/m2,28.58295536
Mexico,resid materials,apartments rural,aluminium,1975,kg/m2,31.86739678
Middle East,resid materials,apartments rural,aluminium,1975,kg/m2,31.86739677
Pakistan,resid materials,apartments rural,aluminium,1975,kg/m2,7.40511668
Russia,resid materials,apartments rural,aluminium,1975,kg/m2,31.86739677
South Africa,resid materials,apartments rural,aluminium,1975,kg/m2,31.86739678
South America_Northern,resid materials,apartments rural,aluminium,1975,kg/m2,31.86739677
South America_Southern,resid materials,apartments rural,aluminium,1975,kg/m2,31.86739677
South Asia,resid materials,apartments rural,aluminium,1975,kg/m2,7.40511668
South Korea,resid materials,apartments rural,aluminium,1975,kg/m2,31.86739677
Southeast Asia,resid materials,apartments rural,aluminium,1975,kg/m2,9.466347559
Taiwan,resid materials,apartments rural,aluminium,1975,kg/m2,33.98493763
Argentina,resid materials,apartments rural,aluminium,1975,kg/m2,31.86739677
Colombia,resid materials,apartments rural,aluminium,1975,kg/m2,31.86739677
USA,resid materials,apartments rural,aluminium,1990,kg/m2,285.1607191
Africa_Eastern,resid materials,apartments rural,aluminium,1990,kg/m2,31.86739677
Africa_Northern,resid materials,apartments rural,aluminium,1990,kg/m2,31.86739677
Africa_Southern,resid materials,apartments rural,aluminium,1990,kg/m2,31.86739678
Africa_Western,resid materials,apartments rural,aluminium,1990,kg/m2,31.86739677
Australia_NZ,resid materials,apartments rural,aluminium,1990,kg/m2,60.2840513
Brazil,resid materials,apartments rural,aluminium,1990,kg/m2,31.86739677
Canada,resid materials,apartments rural,aluminium,1990,kg/m2,31.86739677
Central America and Caribbean,resid materials,apartments rural,aluminium,1990,kg/m2,31.86739677
