# File: A44.floorspace_subsector_logit.csv
# Title: Building sector default floorspace subsector information
# Units: none
# Column types: ccic
# ----------
supplysector,subsector,logit.exponent,logit.type
resid floorspace,apartments rural,-6,
resid floorspace,apartments urban,-6,
resid floorspace,detached rural,-6,
resid floorspace,detached urban,-6,
resid floorspace,high-rise rural,-6,
resid floorspace,high-rise urban,-6,
resid floorspace,semi-detached rural,-6,
resid floorspace,semi-detached urban,-6,
comm floorspace,govern commercial,-6,
comm floorspace,hotels commercial,-6,
comm floorspace,office commercial,-6,
comm floorspace,retail commercial,-6,
