# File: A44.floorspace_subsector_shrwt.csv
# Title: Building sector default floorspace subsector information
# Units: none
# Column types: cccin
# ----------
supplysector,subsector,year.fillout,year,share.weight
resid floorspace,apartments rural,start-year,,1
resid floorspace,apartments urban,start-year,,1
resid floorspace,detached rural,start-year,,1
resid floorspace,detached urban,start-year,,1
resid floorspace,high-rise rural,start-year,,1
resid floorspace,high-rise urban,start-year,,1
resid floorspace,semi-detached rural,start-year,,1
resid floorspace,semi-detached urban,start-year,,1
comm floorspace,govern commercial,start-year,,1
comm floorspace,hotels commercial,start-year,,1
comm floorspace,office commercial,start-year,,1
comm floorspace,retail commercial,start-year,,1
