# File: A23.globaltech_mineral_coef_kg_kw.csv
# Title: Electricity sector technology mineral use intensity
# Units: kg/kW for different technologies
# Description: this dataset defines the mineral use intensity for different generation technologies
# Comment:
# Column types: cccnnnnnnnn
# ----------
supplysector,subsector,technology,steel,aluminium,silicon,copper,graphite,lithium,cobalt,nickel,manganese,neodymium,tellurium,vanadium
pv_mineral,pv_mineral,pv_mineral (c-Si),78,19,2.93,4.9,,,,0.001,,,,
pv_mineral,pv_mineral,pv_mineral (CdTe),78,15.4,,4.9,,,,0.016,,,0.051,
pv_mineral,pv_mineral,pv_mineral (CIGS),78,15.4,,4.9,,,,,,,,
pv_mineral,pv_mineral,pv_mineral (a-Si),78,15.4,0.097,4.9,,,,,,,,
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (c-Si),78,19,2.93,4.9,,,,0.001,,,,
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CdTe),78,15.4,,4.9,,,,0.016,,,0.051,
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CIGS),78,15.4,,4.9,,,,,,,,
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (a-Si),78,15.4,0.097,4.9,,,,,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (LFP),78,19,2.93,4.9,,,,0.001,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (LFP),78,15.4,,4.9,,,,0.016,,,0.051,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (LFP),78,15.4,,4.9,,,,,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (LFP),78,15.4,0.097,4.9,,,,,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC532),78,19,2.93,4.9,,,,0.001,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (NMC532),78,15.4,,4.9,,,,0.016,,,0.051,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (NMC532),78,15.4,,4.9,,,,,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (NMC532),78,15.4,0.097,4.9,,,,,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC811),78,19,2.93,4.9,,,,0.001,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (NMC811),78,15.4,,4.9,,,,0.016,,,0.051,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (NMC811),78,15.4,,4.9,,,,,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (NMC811),78,15.4,0.097,4.9,,,,,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (VRFB),78,19,2.93,4.9,,,,0.001,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (VRFB),78,15.4,,4.9,,,,0.016,,,0.051,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (VRFB),78,15.4,,4.9,,,,,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (VRFB),78,15.4,0.097,4.9,,,,,,,,
wind_mineral,wind_mineral,wind_mineral (DD-EESG),152.1,0.7,,5,,,,0.34,0.79,0.028,,
wind_mineral,wind_mineral,wind_mineral (DD-PMSG),139.6,0.5,,3,,,,0.24,0.79,0.18,,
wind_mineral,wind_mineral,wind_mineral (GB-PMSG),127.8,1.6,,2.1,,,,0.44,0.8,0.051,,
wind_mineral,wind_mineral,wind_mineral (GB-DFIG),131,1.4,,2.7,,,,0.43,0.78,0.012,,
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (DD-EESG),422.76,1.05,,18.76,,,,0.34,0.79,0.028,,
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (DD-PMSG),388.02,0.75,,11.26,,,,0.24,0.79,0.18,,
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (GB-PMSG),355.22,2.41,,7.88,,,,0.44,0.8,0.051,,
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (GB-DFIG),364.12,2.11,,10.13,,,,0.43,0.78,0.012,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (LFP),152.1,0.7,,5,,,,0.34,0.79,0.028,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (LFP),139.6,0.5,,3,,,,0.24,0.79,0.18,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (LFP),127.8,1.6,,2.1,,,,0.44,0.8,0.051,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (LFP),131,1.4,,2.7,,,,0.43,0.78,0.012,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (NMC532),152.1,0.7,,5,,,,0.34,0.79,0.028,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (NMC532),139.6,0.5,,3,,,,0.24,0.79,0.18,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (NMC532),127.8,1.6,,2.1,,,,0.44,0.8,0.051,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (NMC532),131,1.4,,2.7,,,,0.43,0.78,0.012,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (NMC811),152.1,0.7,,5,,,,0.34,0.79,0.028,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (NMC811),139.6,0.5,,3,,,,0.24,0.79,0.18,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (NMC811),127.8,1.6,,2.1,,,,0.44,0.8,0.051,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (NMC811),131,1.4,,2.7,,,,0.43,0.78,0.012,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (VRFB),152.1,0.7,,5,,,,0.34,0.79,0.028,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (VRFB),139.6,0.5,,3,,,,0.24,0.79,0.18,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (VRFB),127.8,1.6,,2.1,,,,0.44,0.8,0.051,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (VRFB),131,1.4,,2.7,,,,0.43,0.78,0.012,,
electricity,solar,CSP,576,5.5,,3.15,,,,1.4,3.85,,,
electricity,solar,CSP_storage,576,5.5,,3.15,,,,1.4,3.85,,,
electricity,coal,coal (conv pul),84.6,0.504,,1.15,,,0.115,0.01,0.145,,,
electricity,coal,coal (IGCC),34.9,0.504,,1.15,,,0.115,0.01,0.145,,,
electricity,coal,coal (conv pul CCS),109.2,0.504,,1.63,,,0.12,0.01,0.145,,,
electricity,coal,coal (IGCC CCS),109.2,0.504,,1.63,,,0.12,0.01,0.145,,,
electricity,gas,gas (steam/CT),4,0.4,,0.38,,,0.02,0.01,0.145,,,
electricity,gas,gas (CC),29,0.65,,1.05,,,0.02,0.01,0.145,,,
electricity,gas,gas (CC CCS),44.37,0.65,,1.26,,,0.03,0.01,0.145,,,
electricity,refined liquids,refined liquids (steam/CT),72.9,0.6,,0.76,,,0.067,0.01,0.145,,,
electricity,refined liquids,refined liquids (CC),72.9,0.6,,0.76,,,0.067,0.01,0.145,,,
electricity,refined liquids,refined liquids (CC CCS),94.1,0.6,,1.45,,,0.075,0.01,0.145,,,
electricity,biomass,biomass (conv),33.4,0.3,,0.76,,,0.067,0.01,0.145,,,
electricity,biomass,biomass (IGCC),34.9,0.504,,1.15,,,0.12,0.01,0.145,,,
electricity,biomass,biomass (conv CCS),43.1,0.3,,1.45,,,0.075,0.01,0.145,,,
electricity,biomass,biomass (IGCC CCS),43.1,0.3,,1.45,,,0.134,0.01,0.145,,,
electricity,nuclear,Gen_III,43,0.08,,0.76,,,0.00012,0.2,0.343,,,
electricity,nuclear,Gen_II_LWR,43,0.08,,0.76,,,0.00012,0.2,0.343,,,
electricity,geothermal,geothermal,544,16,,7.3,,,,120,4.325,,,
electricity,hydro,hydro,175,3.4,,1.05,,,,,0.2,,,
