# File: A23.globaltech_mineral_coef_ratio_constance.csv
# Title: Electricity sector technology mineral use intensity change ratio. assuming remaining constance
# Units: unitless
# Description: assuming intensity remain constant overtime
# Comment: this dataset defines the mineral use intensity reduction in terms of percentage
# Column types: cccnnnnnnnn
# ----------
supplysector,subsector,technology,steel,aluminium,silicon,copper,graphite,lithium,cobalt,nickel,manganese,neodymium,tellurium,vanadium
pv_mineral,pv_mineral,pv_mineral (c-Si),1,1,1,1,,,,1,,,,
pv_mineral,pv_mineral,pv_mineral (CdTe),1,1,,1,,,,1,,,1,
pv_mineral,pv_mineral,pv_mineral (CIGS),1,1,,1,,,,,,,,
pv_mineral,pv_mineral,pv_mineral (a-Si),1,1,1,1,,,,1,,,,
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (c-Si),1,1,1,1,,,,1,,,,
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CdTe),1,1,,1,,,,1,,,1,
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CIGS),1,1,,1,,,,,,,,
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (a-Si),1,1,1,1,,,,1,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (LFP),1,1,1,1,,,,1,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (LFP),1,1,,1,,,,1,,,1,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (LFP),1,1,,1,,,,,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (LFP),1,1,1,1,,,,1,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC532),1,1,1,1,,,,1,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (NMC532),1,1,,1,,,,1,,,1,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (NMC532),1,1,,1,,,,,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (NMC532),1,1,1,1,,,,1,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC811),1,1,1,1,,,,1,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (NMC811),1,1,,1,,,,1,,,1,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (NMC811),1,1,,1,,,,,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (NMC811),1,1,1,1,,,,1,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (VRFB),1,1,1,1,,,,1,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (VRFB),1,1,,1,,,,1,,,1,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (VRFB),1,1,,1,,,,,,,,
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (VRFB),1,1,1,1,,,,1,,,,
wind_mineral,wind_mineral,wind_mineral (DD-EESG),1,1,,1,,,,1,1,1,,
wind_mineral,wind_mineral,wind_mineral (DD-PMSG),1,1,,1,,,,1,1,1,,
wind_mineral,wind_mineral,wind_mineral (GB-PMSG),1,1,,1,,,,1,1,1,,
wind_mineral,wind_mineral,wind_mineral (GB-DFIG),1,1,,1,,,,1,1,1,,
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (DD-EESG),1,1,,1,,,,1,1,1,,
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (DD-PMSG),1,1,,1,,,,1,1,1,,
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (GB-PMSG),1,1,,1,,,,1,1,1,,
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (GB-DFIG),1,1,,1,,,,1,1,1,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (LFP),1,1,,1,,,,1,1,1,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (LFP),1,1,,1,,,,1,1,1,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (LFP),1,1,,1,,,,1,1,1,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (LFP),1,1,,1,,,,1,1,1,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (NMC532),1,1,,1,,,,1,1,1,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (NMC532),1,1,,1,,,,1,1,1,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (NMC532),1,1,,1,,,,1,1,1,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (NMC532),1,1,,1,,,,1,1,1,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (NMC811),1,1,,1,,,,1,1,1,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (NMC811),1,1,,1,,,,1,1,1,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (NMC811),1,1,,1,,,,1,1,1,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (NMC811),1,1,,1,,,,1,1,1,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (VRFB),1,1,,1,,,,1,1,1,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (VRFB),1,1,,1,,,,1,1,1,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (VRFB),1,1,,1,,,,1,1,1,,
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (VRFB),1,1,,1,,,,1,1,1,,
electricity,solar,CSP,1,1,,1,,,,1,1,,,
electricity,solar,CSP_storage,1,1,,1,,,,1,1,,,
electricity,coal,coal (conv pul),1,1,,1,,,1,1,1,,,
electricity,coal,coal (IGCC),1,1,,1,,,1,1,1,,,
electricity,coal,coal (conv pul CCS),1,1,,1,,,1,1,1,,,
electricity,coal,coal (IGCC CCS),1,1,,1,,,1,1,1,,,
electricity,gas,gas (steam/CT),1,1,,1,,,1,1,1,,,
electricity,gas,gas (CC),1,1,,1,,,1,1,1,,,
electricity,gas,gas (CC CCS),1,1,,1,,,1,1,1,,,
electricity,refined liquids,refined liquids (steam/CT),1,1,,1,,,1,,1,,,
electricity,refined liquids,refined liquids (CC),1,1,,1,,,1,,1,,,
electricity,refined liquids,refined liquids (CC CCS),1,1,,1,,,1,,1,,,
electricity,biomass,biomass (conv),1,1,,1,,,1,1,1,,,
electricity,biomass,biomass (IGCC),1,1,,1,,,1,1,1,,,
electricity,biomass,biomass (conv CCS),1,1,,1,,,1,1,1,,,
electricity,biomass,biomass (IGCC CCS),1,1,,1,,,1,1,1,,,
electricity,nuclear,Gen_III,1,1,,1,,,1,1,1,,,
electricity,nuclear,Gen_II_LWR,1,1,,1,,,1,1,1,,,
electricity,geothermal,geothermal,1,1,,1,,,,1,1,,,
electricity,hydro,hydro,1,1,,1,,,,,1,,,
