# File: A23.globaltech_subtype_capital.csv
# Title: Electricity sector sub-type technology capital cost
# Units: 1975$US/kW for different technologies
# Description: this is just fake data for now and will update later
# Comment: add later
# Column types: ccccncnnnnnnnn
# ----------
supplysector,subsector,technology,input-capital,fixed.charge.rate,improvement.shadow.technology,improvement.max,improvement.rate,1971,1990,2005,2010,2015,final-calibration-year
pv_mineral,pv_mineral,pv_mineral (c-Si),capital,0.13,,0.16,0.12,666.5,666.5,666.5,666.5,666.5,666.5
pv_mineral,pv_mineral,pv_mineral (CdTe),capital,0.13,,0.16,0.12,515,515,515,515,515,515
pv_mineral,pv_mineral,pv_mineral (CIGS),capital,0.13,,0.16,0.12,676.6,676.6,676.6,676.6,676.6,676.6
pv_mineral,pv_mineral,pv_mineral (a-Si),capital,0.13,,0.16,0.12,1333,1333,1333,1333,1333,1333
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (c-Si),capital,0.1,,0.15,0.13,1082.6,1082.6,1082.6,1082.6,1082.6,1082.6
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CdTe),capital,0.1,,0.15,0.13,836.6,836.6,836.6,836.6,836.6,836.6
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CIGS),capital,0.1,,0.15,0.13,1099,1099,1099,1099,1099,1099
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (a-Si),capital,0.1,,0.15,0.13,2165.2,2165.2,2165.2,2165.2,2165.2,2165.2
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (LFP),capital,0.13,,0.14,0.09,1716.8,1716.8,1716.8,1716.8,1716.8,1716.8
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (LFP),capital,0.13,,0.14,0.09,1565.3,1565.3,1565.3,1565.3,1565.3,1565.3
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (LFP),capital,0.13,,0.14,0.09,1726.9,1726.9,1726.9,1726.9,1726.9,1726.9
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (LFP),capital,0.13,,0.14,0.09,2383.3,2383.3,2383.3,2383.3,2383.3,2383.3
