# File: A23.globaltech_subtype_interp_to.csv
# Title: subtype pv and wind share weight
# Units: Unitless
# Source: add later
# Comments: add later
# Column types: ccccccnc
# ----------
supplysector,subsector,stub.technology,apply.to,from.year,to.year,to.value,interpolation.function
pv_mineral,pv_mineral,pv_mineral (a-Si),share-weight,final-calibration-year,initial-future-year,0,linear
pv_mineral,pv_mineral,pv_mineral (a-Si),share-weight,initial-future-year,2040,0,linear
pv_mineral,pv_mineral,pv_mineral (a-Si),share-weight,2040,2100,0,linear
pv_mineral,pv_mineral,pv_mineral (CdTe),share-weight,final-calibration-year,initial-future-year,0.1,linear
pv_mineral,pv_mineral,pv_mineral (CdTe),share-weight,initial-future-year,2040,0.1,linear
pv_mineral,pv_mineral,pv_mineral (CdTe),share-weight,2040,2100,0.1,linear
pv_mineral,pv_mineral,pv_mineral (CIGS),share-weight,final-calibration-year,initial-future-year,0.1,linear
pv_mineral,pv_mineral,pv_mineral (CIGS),share-weight,initial-future-year,2040,0.1,linear
pv_mineral,pv_mineral,pv_mineral (CIGS),share-weight,2040,2100,0.1,linear
pv_mineral,pv_mineral,pv_mineral (c-Si),share-weight,final-calibration-year,initial-future-year,1,linear
pv_mineral,pv_mineral,pv_mineral (c-Si),share-weight,initial-future-year,2040,1,linear
pv_mineral,pv_mineral,pv_mineral (c-Si),share-weight,2040,2100,1,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (LFP),share-weight,final-calibration-year,initial-future-year,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (LFP),share-weight,initial-future-year,2040,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (LFP),share-weight,2040,2100,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (NMC532),share-weight,final-calibration-year,initial-future-year,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (NMC532),share-weight,initial-future-year,2040,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (NMC532),share-weight,2040,2100,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (NMC811),share-weight,final-calibration-year,initial-future-year,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (NMC811),share-weight,initial-future-year,2040,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (NMC811),share-weight,2040,2100,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (VRFB),share-weight,final-calibration-year,initial-future-year,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (VRFB),share-weight,initial-future-year,2040,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (VRFB),share-weight,2040,2100,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (LFP),share-weight,final-calibration-year,initial-future-year,0.1,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (LFP),share-weight,initial-future-year,2040,0.1,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (LFP),share-weight,2040,2100,0.2,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (NMC532),share-weight,final-calibration-year,initial-future-year,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (NMC532),share-weight,initial-future-year,2040,0.05,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (NMC532),share-weight,2040,2100,0.1,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (NMC811),share-weight,final-calibration-year,initial-future-year,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (NMC811),share-weight,initial-future-year,2040,0.05,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (NMC811),share-weight,2040,2100,0.1,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (VRFB),share-weight,final-calibration-year,initial-future-year,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (VRFB),share-weight,initial-future-year,2040,0.05,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (VRFB),share-weight,2040,2100,0.1,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (LFP),share-weight,final-calibration-year,initial-future-year,0.1,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (LFP),share-weight,initial-future-year,2040,0.1,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (LFP),share-weight,2040,2100,0.2,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (NMC532),share-weight,final-calibration-year,initial-future-year,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (NMC532),share-weight,initial-future-year,2040,0.05,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (NMC532),share-weight,2040,2100,0.1,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (NMC811),share-weight,final-calibration-year,initial-future-year,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (NMC811),share-weight,initial-future-year,2040,0.05,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (NMC811),share-weight,2040,2100,0.1,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (VRFB),share-weight,final-calibration-year,initial-future-year,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (VRFB),share-weight,initial-future-year,2040,0.05,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (VRFB),share-weight,2040,2100,0.1,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (LFP),share-weight,final-calibration-year,initial-future-year,1,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (LFP),share-weight,initial-future-year,2040,1,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (LFP),share-weight,2040,2100,1,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC532),share-weight,final-calibration-year,initial-future-year,0.1,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC532),share-weight,initial-future-year,2040,0.2,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC532),share-weight,2040,2100,0.5,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC811),share-weight,final-calibration-year,initial-future-year,0.1,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC811),share-weight,initial-future-year,2040,0.2,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC811),share-weight,2040,2100,0.5,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (VRFB),share-weight,final-calibration-year,initial-future-year,0,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (VRFB),share-weight,initial-future-year,2040,0.2,linear
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (VRFB),share-weight,2040,2100,0.5,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (a-Si),share-weight,final-calibration-year,initial-future-year,0,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (a-Si),share-weight,initial-future-year,2040,0,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (a-Si),share-weight,2040,2100,0,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CdTe),share-weight,final-calibration-year,initial-future-year,0.1,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CdTe),share-weight,initial-future-year,2040,0.1,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CdTe),share-weight,2040,2100,0.1,linear
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CIGS),share-weight,final-calibration-year,initial-future-year,0.1,linear
