# File: A23.globaltech_subtype_shrwt.csv
# Title: subtype pv and wind share weight
# Units: Unitless
# Source: add later
# Comments: add later
# Column types: cccnnn
# ----------
supplysector,subsector,stub.technology,initial-future-year,2040,2100
pv_mineral,pv_mineral,pv_mineral (c-Si),1,1,1
pv_mineral,pv_mineral,pv_mineral (CdTe),0.1,0.1,0.1
pv_mineral,pv_mineral,pv_mineral (CIGS),0.1,0.1,0.1
pv_mineral,pv_mineral,pv_mineral (a-Si),0,0,0
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (c-Si),1,1,1
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CdTe),0.1,0.1,0.1
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (CIGS),0.1,0.1,0.1
rooftop_pv_mineral,rooftop_pv_mineral,rooftop_pv_mineral (a-Si),0,0,0
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (LFP),1,1,1
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (LFP),0.1,0.1,0.2
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (LFP),0.1,0.1,0.2
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (LFP),0,0,0
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC532),0.1,0.2,0.5
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (NMC532),0,0.05,0.1
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (NMC532),0,0.05,0.1
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (NMC532),0,0,0
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (NMC811),0.1,0.2,0.5
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (NMC811),0,0.05,0.1
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (NMC811),0,0.05,0.1
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (NMC811),0,0,0
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (c-Si) (VRFB),0,0.2,0.5
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CdTe) (VRFB),0,0.05,0.1
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (CIGS) (VRFB),0,0.05,0.1
pv_storage_mineral,pv_storage_mineral,pv_storage_mineral (a-Si) (VRFB),0,0,0
wind_mineral,wind_mineral,wind_mineral (DD-EESG),0.1,0.2,0.5
wind_mineral,wind_mineral,wind_mineral (DD-PMSG),0.1,0.2,0.5
wind_mineral,wind_mineral,wind_mineral (GB-PMSG),0.1,0.2,0.5
wind_mineral,wind_mineral,wind_mineral (GB-DFIG),1,1,1
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (DD-EESG),0,0,0
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (DD-PMSG),1,1,1
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (GB-PMSG),0.2,0.2,0.2
wind_offshore_mineral,wind_offshore_mineral,wind_offshore_mineral (GB-DFIG),0.2,0,0
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (LFP),0.1,0.2,0.5
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (LFP),0.1,0.2,0.5
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (LFP),0.1,0.2,0.5
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (LFP),1,1,1
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (NMC532),0,0.05,0.1
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (NMC532),0,0.05,0.1
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (NMC532),0,0.05,0.1
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (NMC532),0.1,0.2,0.5
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (NMC811),0,0.05,0.1
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (NMC811),0,0.05,0.1
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (NMC811),0,0.05,0.1
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (NMC811),0,0.2,0.5
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-EESG) (VRFB),0,0.05,0.1
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (DD-PMSG) (VRFB),0,0.05,0.1
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-PMSG) (VRFB),0,0.05,0.1
wind_storage_mineral,wind_storage_mineral,wind_storage_mineral (GB-DFIG) (VRFB),0,0.2,0.5
