# File: A271.cmm_historical_demand_all.csv
# Title: global total CMM historical demand
# Units: Mt
# Source: Historical mineral production data spreadsheet, USGS Mineral Commodity Summaries for most minerals. Liu et al. 2022 https://pubs.acs.org/doi/10.1021/acs.est.2c02247?goto=supporting-info for Neodymium. Neodymium data only available through 2020 (2021 copied from 2020).
# Column types: ccnnnnn
# ----------
resource,unit,1975,1990,2005,2010,2015,2020,2021
steel,Mt,,726,1110,1405,1625,1795,1925
aluminium,Mt,,19.3,31.55,41.1,57.9,65.1,67.75
silicon,Mt,,3.17,4.91,7.095,7.865,8.06,8.825
copper,Mt,,8.95,15,16.1,18.9,20.3,21.1
graphite,Mt,,0.719,1.026,1.012,1.19,1.033,1.065
lithium,Mt,,0.0061,0.0205,0.0267,0.032,0.082,0.1035
cobalt,Mt,,0.0185,0.055,0.0887,0.125,0.141,0.1675
nickel,Mt,,0.906,1.495,1.57,2.405,2.505,2.715
manganese,Mt,,7.19,10.145,13.45,17.75,18.7,20.05
neodymium,Mt,,0.0166,0.0482,0.0541,0.0588,0.563,0.563
tellurium,Mt,,0.000094,0.000116,0.000124,0.000117,0.000526,0.000595
vanadium,Mt,,0.0339,0.05035,0.0568,0.0786,0.0955,0.1075
platinum,Mt,,0.000128,0.000217,0.000187,0.000183,0.000213,0.000207
