# File: All_minerals_GCAM_reg_supply_data.csv
# Title: Data used to construct mineral supply curves in GCAM
# Units: Quantities in kt; Costs in $2020/t
# Source: Own processing of mine-level data from Karan Bhuwalka (Stanford) based on S&P data
# Column types: cccnnnnnn
# Description: Data provided is a 2023 snapshot.
# ----------
region,Resource,Stage,n_projects,Production,Reserves,cost_10pct,cost_50pct,cost_90pct
Africa_Eastern,Copper,Early Stage,20,1098.885759,29163.0453,5311.704663,7643.173698,8855.804023
Africa_Eastern,Copper,Incentive,1,18.7224,459.133,6510.573245,6510.573245,6510.573245
Africa_Eastern,Copper,Pre-Production,1,13.6169915,111,4390.003291,4390.003291,4390.003291
Africa_Northern,Copper,Early Stage,5,141.2639184,4042.335084,4241.903956,6834.675687,7329.916051
Africa_Northern,Copper,Pre-Production,2,7.52973165,523,7459.261485,7522.594381,7698.374612
Africa_Northern,Copper,Production,7,1200.023008,76009.87863,8116.039956,12452.67508,12452.67508
Africa_Southern,Copper,Early Stage,108,6000.377168,259080.063,5048.76915,7904.226994,13393.23399
Africa_Southern,Copper,Incentive,3,98.02104836,0,3857.413357,3857.413357,7021.343834
Africa_Southern,Copper,Late Stage,8,497.4871063,17741.84001,4726.003854,5793.061968,7873.763317
Africa_Southern,Copper,Pre-Production,7,266.5705662,18787.47052,3517.447523,7183.894458,7911.455601
Africa_Southern,Copper,Production,35,1422.592312,56647.91774,4447.598032,6481.609747,10911.95904
Africa_Western,Copper,Early Stage,50,3912.084865,205005.5902,4822.419031,10195.57803,14911.85011
Africa_Western,Copper,Incentive,8,210.190749,1637.994594,4503.39718,5489.421763,14377.04195
Africa_Western,Copper,Late Stage,1,4.062809041,0,3240.427413,3240.427413,3240.427413
Africa_Western,Copper,Pre-Production,7,435.0982648,6087.922222,1950.38682,8815.983387,10095.07524
Africa_Western,Copper,Production,34,2537.271396,42596.98843,3589.214293,5631.815103,8236.426066
Argentina,Copper,Early Stage,56,2998.875275,83197.07642,5177.102606,8392.872441,15460.97999
Argentina,Copper,Incentive,6,929.1008,10776.034,5938.489828,7210.352042,13927.22656
Argentina,Copper,Late Stage,3,193.6,1386.381774,6438.960084,8112.248478,8900.564335
Argentina,Copper,Production,1,1.219949799,280,132351.6988,132351.6988,132351.6988
Australia_NZ,Copper,Early Stage,518,31920.56857,1443577.901,4874.74612,8162.432828,14230.8674
Australia_NZ,Copper,Incentive,11,302.7231529,640.1,5689.893364,7072.752973,9947.484057
Australia_NZ,Copper,Late Stage,26,1144.684596,3274.969576,4849.740063,7646.879132,8640.432407
Australia_NZ,Copper,Pre-Production,2,84.43082579,989,6909.156202,6909.156202,9098.865406
Australia_NZ,Copper,Production,32,1097.886972,29632.95724,4928.247635,6670.55489,9738.16137
Brazil,Copper,Early Stage,26,2262.777558,194329.7554,4546.533423,6804.903932,28741.6934
Brazil,Copper,Incentive,2,100.8,2402,4160.065309,4160.065309,6782.30812
Brazil,Copper,Late Stage,5,574.7944068,0,5619.215621,6285.756316,8494.772593
Brazil,Copper,Pre-Production,2,37.6,630.3,5581.969534,5581.969534,10475.05863
Brazil,Copper,Production,7,499.4375875,9196.05,4565.713183,6850.484831,14524.4696
Canada,Copper,Early Stage,868,59521.10312,7372569.988,4994.934761,8504.597908,14579.93969
Canada,Copper,Incentive,9,625.1427602,4599.65,5675.562051,9168.161521,9480.806505
Canada,Copper,Late Stage,25,1375.245453,27551.65442,5969.996535,7103.493898,11281.34406
Canada,Copper,Pre-Production,2,148.1316686,316.154,9429.525601,9429.525601,9429.525601
Canada,Copper,Production,12,401.5262632,6539.186732,4871.165149,6829.770232,11981.48123
Central America and Caribbean,Copper,Early Stage,22,1544.08597,79497.70466,4456.499224,11315.95211,11599.58788
Central America and Caribbean,Copper,Incentive,1,14.8245842,0,5599.632208,5599.632208,5599.632208
Central America and Caribbean,Copper,Late Stage,1,85.30827895,0,4760.725692,4760.725692,4760.725692
Central America and Caribbean,Copper,Production,2,326.124774,54072.90312,6414.915209,6414.915209,6414.915209
Central Asia,Copper,Early Stage,75,5048.592035,410533.2437,4998.031593,8520.178544,14504.91746
Central Asia,Copper,Incentive,7,144.5320708,1558.33298,4313.08085,4709.61549,5199.935115
Central Asia,Copper,Late Stage,2,64.60444655,1655,5645.63074,5645.63074,8892.930837
Central Asia,Copper,Pre-Production,4,69.0585671,2469.104373,3839.529317,8413.516997,8413.516997
Central Asia,Copper,Production,29,1618.338175,60573.72941,1530.384412,5701.518375,10131.92427
China,Copper,Early Stage,70,4459.492177,132290.9003,4862.520458,9125.030908,11367.48242
China,Copper,Incentive,5,579.2405358,17101.30005,5474.81487,9099.081958,10094.10393
China,Copper,Late Stage,1,18.60031582,0,9014.895252,9014.895252,9014.895252
China,Copper,Pre-Production,22,1022.321014,15654.18127,5970.394249,8937.361075,13071.85053
China,Copper,Production,197,5916.381182,293819.3265,5781.834694,9927.385753,22060.67969
Colombia,Copper,Early Stage,15,1139.206299,32051.99932,5135.831922,11799.90029,11799.90029
Colombia,Copper,Incentive,1,48.988,1474.174,8726.558356,8726.558356,8726.558356
Colombia,Copper,Pre-Production,1,24.9608,401.429,8532.572744,8532.572744,8532.572744
Colombia,Copper,Production,1,32.90036483,20.684,7672.881288,7672.881288,7672.881288
EU-12,Copper,Early Stage,27,1770.704711,69534.70706,4306.855977,8687.437031,17956.70765
EU-12,Copper,Incentive,4,247.4089779,2646.187049,5226.798031,8906.736435,8906.736435
EU-12,Copper,Production,14,660.9424345,44238.56229,5691.763269,7297.43204,7983.200349
EU-15,Copper,Early Stage,71,4904.891008,228327.8226,5068.580209,8826.692232,12165.7235
EU-15,Copper,Incentive,2,26.14794881,0,6680.1751,6680.1751,6680.1751
EU-15,Copper,Late Stage,2,27.88163528,392,5342.888219,5342.888219,6298.554982
EU-15,Copper,Production,6,227.265919,4956.221597,3282.198557,6393.781495,10104.07745
Europe_Non_EU,Copper,Early Stage,47,2715.357135,140961.3703,5107.375697,7484.979661,9659.377746
Europe_Non_EU,Copper,Incentive,1,14.98351471,0,8289.571178,8289.571178,8289.571178
Europe_Non_EU,Copper,Late Stage,1,20.756,0,5353.346419,5353.346419,5353.346419
Europe_Non_EU,Copper,Pre-Production,4,174.5463276,1335.269657,6675.069672,7172.732939,7172.732939
Europe_Non_EU,Copper,Production,13,425.3485604,28028.8884,2987.665182,5961.313316,8860.614447
European Free Trade Association,Copper,Early Stage,21,1253.757825,26962.71604,5409.471302,9130.304791,11811.76113
India,Copper,Early Stage,9,294.8599882,6594.274038,5435.218709,6386.073164,9389.265728
India,Copper,Incentive,2,81.5976593,1635.350665,4621.550106,6772.163755,6772.163755
India,Copper,Late Stage,1,4.044160655,0,5468.582115,5468.582115,5468.582115
India,Copper,Production,4,133.2265797,2206.7,5795.89716,5795.89716,5795.89716
Indonesia,Copper,Early Stage,22,1835.094303,170662.2083,4816.015794,7151.647316,11484.89056
Indonesia,Copper,Incentive,1,48.44880858,272,5725.034068,5725.034068,5725.034068
Indonesia,Copper,Late Stage,2,9.059431856,0,7578.428826,8694.064041,8694.064041
Indonesia,Copper,Pre-Production,2,29.90171256,646.5275628,5542.688387,5542.688387,5542.688387
Indonesia,Copper,Production,4,970.3692813,22772.356,3383.086112,3383.086112,7044.574706
