# File: Mineral_supply_curve_data.csv
# Title: Data used to construct mineral supply curves in GCAM
# Units: Quantities in kt; Costs in $2020/t
# Source: Data from Karan Bhuwalka (Stanford) based on his PhD thesis: https://dspace.mit.edu/handle/1721.1/155648
# Column types: ccnnnnnnc
# ----------
Country,Stage,Capacity,Number of Projects,P50,P10,P90,Resource,Mineral
USA,Production,1249.359152,16,8335.963301,4437.41172,13213.81807,144088.675,Cu
Chile,Production,6245.864946,42,8692.850385,3428.009182,10085.02296,1030768.295,Cu
Peru,Production,3188.591534,14,6875.26609,4229.920296,13476.33817,224900.058,Cu
China,Production,1323.422464,142,208262.3357,5023.005894,154654.6748,165695.7566,Cu
Australia,Production,623.265708,11,6363.063804,4473.76122,8542.476964,99258.7,Cu
Dem. Rep. Congo,Production,1159.096569,15,10534.71596,3029.338233,7725.270773,85623.12,Cu
Mexico,Production,219.303496,7,15598.54295,3348.140526,35701.29685,69742.829,Cu
Kazakhstan,Production,818.94224,13,6293.496794,2194.803839,7404.109111,52104.00143,Cu
Indonesia,Production,862.576972,4,5828.815233,4342.973827,7007.742166,50320.809,Cu
Mongolia,Production,402.838287,3,8464.191634,5252.254347,12960.90384,48359.7,Cu
Zambia,Production,929.892021,15,7021.004782,5368.724533,9733.310927,39658.67322,Cu
Poland,Production,375.344336,1,6101.596396,6101.596396,6101.596396,39469.316,Cu
Panama,Production,663.434998,2,8071.399402,8071.399402,8071.399402,31712,Cu
Brazil,Production,484.40405,7,5933.137249,4785.119289,7230.571299,30252.9,Cu
Canada,Production,370.642374,11,10183.78934,5058.942556,17799.1027,19157.77607,Cu
Iran,Production,370.008792,2,5218.604548,5218.604548,5218.604548,17840.8,Cu
Serbia,Production,97.705607,1,2878.717685,2878.717685,2878.717685,15821.325,Cu
Russia,Production,299.401195,6,6971.478464,3283.368645,11238.80173,11113,Cu
Philippines,Production,113.548982,3,4931.457051,4246.887486,5889.854443,8460.422,Cu
Botswana,Production,50.059404,1,8984.326008,8984.326008,8984.326008,6312.706,Cu
Sweden,Production,90.455895,1,4062.530303,4062.530303,4062.530303,4759,Cu
Spain,Production,125.462301,3,12509.15129,6272.685027,20475.72534,4282.44,Cu
Papua New Guinea,Production,94.972732,1,7081.583838,7081.583838,7081.583838,3544,Cu
Ecuador,Production,82.45,1,4450.448254,4450.448254,4450.448254,3498,Cu
Bulgaria,Production,157.719469,4,8785.015843,6901.708639,11896.83454,3457.02279,Cu
Portugal,Production,69.474049,2,6378.675443,4629.192948,8128.157938,2887.968508,Cu
South Africa,Production,42.525406,1,2399.407569,2399.407569,2399.407569,2495.041,Cu
Laos,Production,35.7558,1,5434.853587,5434.853587,5434.853587,1089.1,Cu
Saudi Arabia,Production,70.189221,1,4204.860288,4204.860288,4204.860288,742.077,Cu
Turkey,Production,11.229108,1,6577.238335,6577.238335,6577.238335,290,Cu
Mauritania,Production,11.868028,1,5469.879299,5469.879299,5469.879299,204,Cu
Finland,Production,6.315762,2,12134.64892,12134.64892,12134.64892,34.2,Cu
Kyrgyzstan,Production,5.857658,1,16169.94366,16169.94366,16169.94366,3.623316161,Cu
USA,Pre-Production,58.98697007,3,5662.795969,5110.954591,6152.438104,28897.147,Cu
Dem. Rep. Congo,Pre-Production,219.9302579,5,4926.792198,3013.296545,6800.964619,35245.5127,Cu
Russia,Pre-Production,533.4872639,4,5916.427824,4024.926695,7412.595588,32665.47846,Cu
