# File: SP_USGS_All_minerals_GCAM_reg_supply_data_6stages.csv
# Title: Data used to construct mineral supply curves in GCAM
# Units: Quantities in kt; Costs in $2020/t
# Source: Own processing of mine-level data from S&P data (provided by Karan Bhuwalka; Stanford) and USGS data. Detailed processing methodolody in process_mining_data.R
# Column types: cccnnnnn
# Description: Data provided is a 2023/2024 snapshot.
# ----------
region,Resource,Stage,Production,Reserves,cost_10pct,cost_50pct,cost_90pct
Africa_Eastern,Copper,Early Stage,8.10780453,0,5311.704663,7643.173698,8855.804023
Africa_Eastern,Copper,Incentive,18.7224,459.133,6510.573245,6510.573245,6510.573245
Africa_Eastern,Copper,Pre-Production,13.6169915,111,4390.003291,4390.003291,4390.003291
Africa_Northern,Copper,Pre-Production,7.52973165,523,7459.261485,7522.594381,7698.374612
Africa_Northern,Copper,Production,14.9239402,137,8116.039956,12452.67508,12452.67508
Africa_Southern,Copper,Early Stage,30.22053628,0,5048.76915,7904.226994,13393.23399
Africa_Southern,Copper,Incentive,98.02104836,0,3857.413357,3857.413357,7021.343834
Africa_Southern,Copper,Late Stage,280.2200243,0,4726.003854,5793.061968,7873.763317
Africa_Southern,Copper,Production,940.1435766,21363.624,4447.598032,6481.609747,10911.95904
Africa_Western,Copper,Early Stage,21.37091871,23.76237513,4822.419031,10195.57803,14911.85011
Africa_Western,Copper,Incentive,138.8683819,7432.744099,4503.39718,5489.421763,14377.04195
Africa_Western,Copper,Late Stage,4.062809041,1633.315618,3240.427413,3240.427413,3240.427413
Africa_Western,Copper,Pre-Production,312.5296553,3881.355931,1950.38682,8815.983387,10095.07524
Africa_Western,Copper,Production,1810.369496,67028.82198,3589.214293,5631.815103,8236.426066
Argentina,Copper,Early Stage,49.59279585,0,5177.102606,8392.872441,15460.97999
Argentina,Copper,Incentive,929.1008,10776.034,5938.489828,7210.352042,13927.22656
Argentina,Copper,Late Stage,73.6,1301.775,6438.960084,8112.248478,8900.564335
Argentina,Copper,Production,1.219949799,280,132351.6988,132351.6988,132351.6988
Australia_NZ,Copper,Early Stage,39.32360882,29.70296891,4874.74612,8162.432828,14230.8674
Australia_NZ,Copper,Incentive,302.7231529,9290.930123,5689.893364,7072.752973,9947.484057
Australia_NZ,Copper,Late Stage,1129.115918,2041.644523,4849.740063,7646.879132,8640.432407
Australia_NZ,Copper,Pre-Production,84.43082579,4851.694914,6909.156202,6909.156202,9098.865406
Australia_NZ,Copper,Production,816.4743244,83786.02747,4928.247635,6670.55489,9738.16137
Brazil,Copper,Incentive,100.8,2402,4160.065309,4160.065309,6782.30812
Brazil,Copper,Late Stage,574.7944068,0,5619.215621,6285.756316,8494.772593
Brazil,Copper,Pre-Production,37.6,630.3,5581.969534,5581.969534,10475.05863
