# File: A26.td_mineral_coef_Mt_EJ.csv
# Title: Electricity transmission and distribution sector technology mineral use intensity
# Units: Mt/EJ for different technologies
# Description: this dataset defines the mineral use intensity for electricity transmission and distrubution varied by region and over time.
# Comment:
# Column types: ccnn
# ----------
region,mineral,year,value
Africa_Eastern,steel,2015,6.681389657
Africa_Eastern,steel,2021,5.942497062
Africa_Eastern,steel,2025,5.449901999
Africa_Eastern,steel,2030,4.834158171
Africa_Eastern,steel,2035,4.218414342
Africa_Eastern,steel,2040,3.602670513
Africa_Eastern,steel,2045,2.986926684
Africa_Eastern,steel,2050,2.371182856
Africa_Eastern,steel,2055,2.371182856
Africa_Eastern,steel,2060,2.371182856
Africa_Eastern,steel,2065,2.371182856
Africa_Eastern,steel,2070,2.371182856
Africa_Eastern,steel,2075,2.371182856
Africa_Eastern,steel,2080,2.371182856
Africa_Eastern,steel,2085,2.371182856
Africa_Eastern,steel,2090,2.371182856
Africa_Eastern,steel,2095,2.371182856
Africa_Eastern,steel,2100,2.371182856
Africa_Northern,steel,2015,2.66257903
Africa_Northern,steel,2021,2.449768497
Africa_Northern,steel,2025,2.307894808
Africa_Northern,steel,2030,2.130552696
Africa_Northern,steel,2035,1.953210585
Africa_Northern,steel,2040,1.775868474
Africa_Northern,steel,2045,1.598526363
Africa_Northern,steel,2050,1.421184252
Africa_Northern,steel,2055,1.421184252
Africa_Northern,steel,2060,1.421184252
Africa_Northern,steel,2065,1.421184252
Africa_Northern,steel,2070,1.421184252
Africa_Northern,steel,2075,1.421184252
Africa_Northern,steel,2080,1.421184252
Africa_Northern,steel,2085,1.421184252
Africa_Northern,steel,2090,1.421184252
Africa_Northern,steel,2095,1.421184252
Africa_Northern,steel,2100,1.421184252
Africa_Southern,steel,2015,6.292413828
Africa_Southern,steel,2021,5.600342805
Africa_Southern,steel,2025,5.138962124
Africa_Southern,steel,2030,4.562236272
Africa_Southern,steel,2035,3.985510421
Africa_Southern,steel,2040,3.408784569
Africa_Southern,steel,2045,2.832058717
Africa_Southern,steel,2050,2.255332865
Africa_Southern,steel,2055,2.255332865
Africa_Southern,steel,2060,2.255332865
Africa_Southern,steel,2065,2.255332865
Africa_Southern,steel,2070,2.255332865
Africa_Southern,steel,2075,2.255332865
Africa_Southern,steel,2080,2.255332865
Africa_Southern,steel,2085,2.255332865
Africa_Southern,steel,2090,2.255332865
Africa_Southern,steel,2095,2.255332865
Africa_Southern,steel,2100,2.255332865
Africa_Western,steel,2015,4.926957789
Africa_Western,steel,2021,4.618100848
Africa_Western,steel,2025,4.412196221
Africa_Western,steel,2030,4.154815437
Africa_Western,steel,2035,3.897434653
Africa_Western,steel,2040,3.640053868
Africa_Western,steel,2045,3.382673084
Africa_Western,steel,2050,3.1252923
Africa_Western,steel,2055,3.1252923
Africa_Western,steel,2060,3.1252923
Africa_Western,steel,2065,3.1252923
Africa_Western,steel,2070,3.1252923
Africa_Western,steel,2075,3.1252923
Africa_Western,steel,2080,3.1252923
Africa_Western,steel,2085,3.1252923
Africa_Western,steel,2090,3.1252923
Africa_Western,steel,2095,3.1252923
Africa_Western,steel,2100,3.1252923
