# File: A26.td_nonenergy_cost_nonmineral.csv
# Title: Electricity transmission and distribution sector non-energy costs (excluding mineral costs)
# Units: $1975/GJ
# Description: Updates non-energy costs for the electricity transmission sectors to have regionally and time varying costs. Costs are total transmission and distribution costs minus mineral costs. Regional variation is based on regional variation in mineral costs which reflects disparities in transmission and distribution intensity (per unit electricity generation).
# Comment:
# Column types: ccccncn
# ----------
region,supplysector,subsector,stub.technology,year,minicam.non.energy.input,input.cost
USA,elect_td_bld,elect_td_bld,elect_td_bld,2015,non-energy,1.727935569
USA,elect_td_ind,elect_td_ind,elect_td_ind,2015,non-energy,0.264279406
USA,elect_td_trn,elect_td_trn,elect_td_trn,2015,non-energy,1.727935569
USA,elect_td_bld,elect_td_bld,elect_td_bld,2020,non-energy,1.699335925
USA,elect_td_ind,elect_td_ind,elect_td_ind,2020,non-energy,0.266013341
USA,elect_td_trn,elect_td_trn,elect_td_trn,2020,non-energy,1.699335925
USA,elect_td_bld,elect_td_bld,elect_td_bld,2025,non-energy,1.657699259
USA,elect_td_ind,elect_td_ind,elect_td_ind,2025,non-energy,0.264560311
USA,elect_td_trn,elect_td_trn,elect_td_trn,2025,non-energy,1.657699259
USA,elect_td_bld,elect_td_bld,elect_td_bld,2030,non-energy,1.594689517
USA,elect_td_ind,elect_td_ind,elect_td_ind,2030,non-energy,0.257745984
USA,elect_td_trn,elect_td_trn,elect_td_trn,2030,non-energy,1.594689517
USA,elect_td_bld,elect_td_bld,elect_td_bld,2035,non-energy,1.525623278
USA,elect_td_ind,elect_td_ind,elect_td_ind,2035,non-energy,0.24943795
USA,elect_td_trn,elect_td_trn,elect_td_trn,2035,non-energy,1.525623278
USA,elect_td_bld,elect_td_bld,elect_td_bld,2040,non-energy,1.499062963
USA,elect_td_ind,elect_td_ind,elect_td_ind,2040,non-energy,0.251693434
USA,elect_td_trn,elect_td_trn,elect_td_trn,2040,non-energy,1.499062963
USA,elect_td_bld,elect_td_bld,elect_td_bld,2045,non-energy,1.465884069
USA,elect_td_ind,elect_td_ind,elect_td_ind,2045,non-energy,0.252307762
USA,elect_td_trn,elect_td_trn,elect_td_trn,2045,non-energy,1.465884069
USA,elect_td_bld,elect_td_bld,elect_td_bld,2050,non-energy,1.480270285
USA,elect_td_ind,elect_td_ind,elect_td_ind,2050,non-energy,0.264716031
USA,elect_td_trn,elect_td_trn,elect_td_trn,2050,non-energy,1.480270285
USA,elect_td_bld,elect_td_bld,elect_td_bld,2055,non-energy,1.443039595
USA,elect_td_ind,elect_td_ind,elect_td_ind,2055,non-energy,0.255269438
USA,elect_td_trn,elect_td_trn,elect_td_trn,2055,non-energy,1.443039595
USA,elect_td_bld,elect_td_bld,elect_td_bld,2060,non-energy,1.405739444
USA,elect_td_ind,elect_td_ind,elect_td_ind,2060,non-energy,0.245753385
USA,elect_td_trn,elect_td_trn,elect_td_trn,2060,non-energy,1.405739444
USA,elect_td_bld,elect_td_bld,elect_td_bld,2065,non-energy,1.368439293
USA,elect_td_ind,elect_td_ind,elect_td_ind,2065,non-energy,0.236237331
USA,elect_td_trn,elect_td_trn,elect_td_trn,2065,non-energy,1.368439293
USA,elect_td_bld,elect_td_bld,elect_td_bld,2070,non-energy,1.331139143
USA,elect_td_ind,elect_td_ind,elect_td_ind,2070,non-energy,0.226721278
USA,elect_td_trn,elect_td_trn,elect_td_trn,2070,non-energy,1.331139143
USA,elect_td_bld,elect_td_bld,elect_td_bld,2075,non-energy,1.293838992
USA,elect_td_ind,elect_td_ind,elect_td_ind,2075,non-energy,0.217205225
USA,elect_td_trn,elect_td_trn,elect_td_trn,2075,non-energy,1.293838992
USA,elect_td_bld,elect_td_bld,elect_td_bld,2080,non-energy,1.256538842
USA,elect_td_ind,elect_td_ind,elect_td_ind,2080,non-energy,0.207689171
USA,elect_td_trn,elect_td_trn,elect_td_trn,2080,non-energy,1.256538842
USA,elect_td_bld,elect_td_bld,elect_td_bld,2085,non-energy,1.219308152
USA,elect_td_ind,elect_td_ind,elect_td_ind,2085,non-energy,0.198242578
