# File: A54.tranSubsector_interp_mineral.csv
# Title: Transportation default subsector shareweight interpolation
# Source: Documented in JIRA issue https://jira.pnnl.gov/jira/browse/JGCRI-358?src=confmacro.
# Units: NA
# Column types: ccccccc
# ----------
supplysector,tranSubsector,apply.to,from.year,to.year,to.value,interpolation.function
trn_aviation_intl_pass,International Aviation,share-weight,final-calibration-year,end-year,,fixed
trn_dom_ship_pass,Domestic Ship,share-weight,final-calibration-year,end-year,,fixed
trn_fret_rail_pass,Freight Rail,share-weight,final-calibration-year,end-year,,fixed
trn_fret_road_pass,Light truck,share-weight,final-calibration-year,end-year,,fixed
trn_fret_road_pass,Medium truck,share-weight,final-calibration-year,end-year,,fixed
trn_fret_road_pass,Heavy truck,share-weight,final-calibration-year,end-year,,fixed
trn_pasg_cycle_pass,Cycle,share-weight,final-calibration-year,end-year,,fixed
trn_pasg_aviation_dom_pass,Domestic Aviation,share-weight,final-calibration-year,end-year,,fixed
trn_pasg_hsr_pass,HSR,share-weight,2020,end-year,,fixed
trn_pasg_rail_pass,Passenger Rail,share-weight,final-calibration-year,end-year,,fixed
trn_passenger,Walk,share-weight,final-calibration-year,end-year,,fixed
trn_pasg_road_bus_pass,Bus,share-weight,final-calibration-year,end-year,,fixed
trn_pasg_road_ldv_2_3W_pass,2W and 3W,share-weight,final-calibration-year,end-year,,fixed
trn_pasg_road_ldv_4w_pass,Car,share-weight,final-calibration-year,end-year,,fixed
trn_pasg_road_ldv_4w_pass,Large Car and Truck,share-weight,final-calibration-year,end-year,,fixed
trn_pasg_road_ldv_4w_pass,Mini Car,share-weight,final-calibration-year,end-year,,fixed
trn_ship_intl_pass,International Ship,share-weight,final-calibration-year,end-year,,fixed
trn_pass,road,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road,LDV,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV,4W,share-weight,final-calibration-year,end-year,,fixed
trn_pass_road_LDV,2W,share-weight,final-calibration-year,end-year,,fixed
trn_freight,road,share-weight,final-calibration-year,end-year,,fixed
trn_passenger,pasg_road,share-weight,final-calibration-year,end-year,,fixed
trn_pasg_road_pass,pasg_road_ldv,share-weight,final-calibration-year,end-year,,fixed
trn_pasg_road_pass,pasg_road_bus,share-weight,final-calibration-year,end-year,,fixed
trn_pasg_road_ldv_pass,pasg_road_ldv_4w,share-weight,final-calibration-year,end-year,,fixed
trn_pasg_road_ldv_pass,pasg_road_ldv_2_3W,share-weight,final-calibration-year,end-year,,fixed
trn_freight,fret_road,share-weight,final-calibration-year,end-year,,fixed
trn_aviation_intl,aviation_intl,share-weight,final-calibration-year,end-year,,fixed
trn_shipping_intl,shipping_intl,share-weight,final-calibration-year,end-year,,fixed
trn_freight,fret_dom_ship,share-weight,final-calibration-year,end-year,,fixed
trn_freight,fret_rail,share-weight,final-calibration-year,end-year,,fixed
trn_passenger,pasg_aviation_dom,share-weight,final-calibration-year,end-year,,fixed
trn_passenger,pasg_hsr,share-weight,final-calibration-year,end-year,,linear
trn_passenger,pasg_rail,share-weight,final-calibration-year,end-year,,fixed
trn_passenger,pasg_cycle,share-weight,final-calibration-year,end-year,,fixed
