# File: A54.tranSubsector_shrwt_mineral.csv
# Title: Transportation default subsector shareweights
# Source: Documented in JIRA issue https://jira.pnnl.gov/jira/browse/JGCRI-358?src=confmacro.
# Units: Unitless
# Column types: ccccn
# ----------
supplysector,tranSubsector,year.fillout,year,share.weight
trn_aviation_intl_pass,International Aviation,start-year,,1
trn_dom_ship_pass,Domestic Ship,start-year,,1
trn_fret_rail_pass,Freight Rail,start-year,,1
trn_fret_road_pass,Light truck,start-year,,1
trn_fret_road_pass,Medium truck,start-year,,1
trn_fret_road_pass,Heavy truck,start-year,,1
trn_pasg_cycle_pass,Cycle,start-year,,1
trn_pasg_aviation_dom_pass,Domestic Aviation,start-year,,1
trn_pasg_hsr_pass,HSR,,final-calibration-year,0
trn_pasg_hsr_pass,HSR,initial-future-year,,1
trn_pasg_rail_pass,Passenger Rail,start-year,,1
trn_passenger,Walk,start-year,,1
trn_pasg_road_bus_pass,Bus,start-year,,1
trn_pasg_road_ldv_2_3W_pass,2W and 3W,start-year,,1
trn_pasg_road_ldv_4w_pass,Car,start-year,,1
trn_pasg_road_ldv_4w_pass,Large Car and Truck,start-year,,1
trn_pasg_road_ldv_4w_pass,Mini Car,start-year,,1
trn_ship_intl_pass,International Ship,start-year,,1
# Passthrough tranSubsectors are listed below,,,,
trn_pass,road,start-year,,1
trn_pass_road,LDV,start-year,,1
trn_pass_road_LDV,4W,start-year,,1
trn_pass_road_LDV,2W,start-year,,1
trn_freight,road,start-year,,1
trn_passenger,pasg_road,start-year,,1
trn_pasg_road_pass,pasg_road_ldv,start-year,,1
trn_pasg_road_pass,pasg_road_bus,start-year,,1
trn_pasg_road_ldv_pass,pasg_road_ldv_4w,start-year,,1
trn_pasg_road_ldv_pass,pasg_road_ldv_2_3W,start-year,,1
trn_freight,fret_road,start-year,,1
trn_aviation_intl,aviation_intl,start-year,,1
trn_shipping_intl,shipping_intl,start-year,,1
trn_freight,fret_dom_ship,start-year,,1
trn_freight,fret_rail,start-year,,1
trn_passenger,pasg_aviation_dom,start-year,,1
trn_passenger,pasg_hsr,,final-calibration-year,0
trn_passenger,pasg_hsr,initial-future-year,,0.001
trn_passenger,pasg_rail,start-year,,1
trn_passenger,pasg_cycle,start-year,,1
