# File: A54.trn_bev_battery_cost_ratio_mineral.csv
# Title: transport sector ev battery technology cost ratio
# Units: None
# Column types: ccccccn
# ----------
from.supplysector,from.subsector,from.technology,to.supplysector,to.subsector,to.technology,ratio
trn_fret_road_pass,Light truck,BEV,trn_fret_road_lt_bev_pass,fret_road_lt_bev,l_truck_bev (NMC111),1.154
trn_fret_road_pass,Light truck,BEV,trn_fret_road_lt_bev_pass,fret_road_lt_bev,l_truck_bev (NMC622),0.997
trn_fret_road_pass,Light truck,BEV,trn_fret_road_lt_bev_pass,fret_road_lt_bev,l_truck_bev (NMC811),0.963
trn_fret_road_pass,Light truck,BEV,trn_fret_road_lt_bev_pass,fret_road_lt_bev,l_truck_bev (NCA),0.982
trn_fret_road_pass,Light truck,BEV,trn_fret_road_lt_bev_pass,fret_road_lt_bev,l_truck_bev (LFP),0.934
trn_fret_road_pass,Light truck,BEV,trn_fret_road_lt_bev_pass,fret_road_lt_bev,l_truck_bev (Na_ion),0.849
trn_fret_road_pass,Light truck,BEV,trn_fret_road_lt_bev_pass,fret_road_lt_bev,l_truck_bev (LFP_si),0.895
trn_fret_road_pass,Light truck,BEV,trn_fret_road_lt_bev_pass,fret_road_lt_bev,l_truck_bev (NMC811_si),0.92
trn_fret_road_pass,Light truck,BEV,trn_fret_road_lt_bev_pass,fret_road_lt_bev,l_truck_bev (LFP_ssb),1.042
trn_fret_road_pass,Light truck,BEV,trn_fret_road_lt_bev_pass,fret_road_lt_bev,l_truck_bev (NMC811_ssb),1.006
trn_fret_road_pass,Medium truck,BEV,trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (NMC111),1.154
trn_fret_road_pass,Medium truck,BEV,trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (NMC622),0.997
trn_fret_road_pass,Medium truck,BEV,trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (NMC811),0.963
trn_fret_road_pass,Medium truck,BEV,trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (NCA),0.982
trn_fret_road_pass,Medium truck,BEV,trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (LFP),0.934
trn_fret_road_pass,Medium truck,BEV,trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (Na_ion),0.849
trn_fret_road_pass,Medium truck,BEV,trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (LFP_si),0.895
trn_fret_road_pass,Medium truck,BEV,trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (NMC811_si),0.92
trn_fret_road_pass,Medium truck,BEV,trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (LFP_ssb),1.042
trn_fret_road_pass,Medium truck,BEV,trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (NMC811_ssb),1.006
trn_fret_road_pass,Heavy truck,BEV,trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (NMC111),1.154
trn_fret_road_pass,Heavy truck,BEV,trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (NMC622),0.997
trn_fret_road_pass,Heavy truck,BEV,trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (NMC811),0.963
