# File: A54.trn_globaltech_mineral_coef.csv
# Title: Electricity sector technology mineral use intensity
# Units: kg/veh for different technologies
# Description: this dataset defines the mineral use intensity for different generation technologies
# Comment:
# Column types: ccccnnnnnnnnnnnnn
# ----------
supplysector,subsector,technology,unit,steel,aluminium,copper,silicon,graphite,lithium,cobalt,nickel,manganese,neodymium,tellurium,vanadium,platinum
trn_aviation_intl_pass,International Aviation,Liquids,kg/seat-km travel,6.59E-07,1.88E-06,1.49E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.98E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_aviation_intl_pass,International Aviation,BEV,kg/seat-km travel,6.59E-07,1.88E-06,1.49E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.98E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_aviation_intl_pass,International Aviation,Hydrogen,kg/seat-km travel,6.59E-07,1.88E-06,1.49E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.98E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_ship_intl_pass,International Ship,Liquids,kg/ton-km,1.27E-09,1.28E-13,1.33E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_ship_intl_pass,International Ship,BEV,kg/ton-km,1.27E-09,1.28E-13,1.33E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_ship_intl_pass,International Ship,FCEV,kg/ton-km,1.27E-09,1.28E-13,1.33E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_ship_intl_pass,International Ship,Hybrid Liquids,kg/ton-km,1.27E-09,1.28E-13,1.33E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_dom_ship_pass,Domestic Ship,BEV,kg/ton-km,1.27E-09,1.28E-13,1.33E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_dom_ship_pass,Domestic Ship,FCEV,kg/ton-km,1.27E-09,1.28E-13,1.33E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_dom_ship_pass,Domestic Ship,Hybrid Liquids,kg/ton-km,1.27E-09,1.28E-13,1.33E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_dom_ship_pass,Domestic Ship,Liquids,kg/ton-km,1.27E-09,1.28E-13,1.33E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_rail_pass,Freight Rail,BEV,kg/ton-km,1.00E-03,5.31E-05,4.84E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_rail_pass,Freight Rail,Coal,kg/ton-km,1.00E-03,5.31E-05,4.84E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_rail_pass,Freight Rail,Electric,kg/ton-km,1.00E-03,5.31E-05,4.84E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_rail_pass,Freight Rail,FCEV,kg/ton-km,1.00E-03,5.31E-05,4.84E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_rail_pass,Freight Rail,Hybrid Liquids,kg/ton-km,1.00E-03,5.31E-05,4.84E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_rail_pass,Freight Rail,Liquids,kg/ton-km,1.00E-03,5.31E-05,4.84E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
trn_fret_road_pass,Heavy truck,Liquids,kg/vehicle,7.87E+03,2.38E+03,1.24E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.40E+00,1.60E+01,6.00E-01,0.00E+00,1.57E+00,2.70E-02
trn_fret_road_pass,Heavy truck,NG,kg/vehicle,7.87E+03,2.38E+03,1.24E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.40E+00,1.60E+01,6.00E-01,0.00E+00,1.57E+00,0.00E+00
trn_fret_road_pass,Heavy truck,FCEV,kg/vehicle,6.91E+03,2.45E+03,1.36E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.40E+01,1.86E+01,2.49E+00,0.00E+00,2.21E+00,7.20E-02
trn_fret_road_pass,Heavy truck,Hybrid Liquids,kg/vehicle,7.87E+03,2.38E+03,1.24E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.40E+00,1.60E+01,6.00E-01,0.00E+00,1.57E+00,0.00E+00
