# File: A54.trn_globaltranTech_interp_mineral.csv
# Title: Transportation technology default shareweights. Not including single-technology subsectors
# Source: Documented in JIRA issue https://jira.pnnl.gov/jira/browse/JGCRI-358?src=confmacro
# Units: NA
# Column types: cccccccc
# ----------
supplysector,tranSubsector,tranTechnology,apply.to,from.year,to.year,interpolation.function,sce
trn_aviation_intl_pass,International Aviation,Liquids,share-weight,final-calibration-year,end-year,fixed,CORE
trn_aviation_intl_pass,International Aviation,BEV,share-weight,2030,2100,s-curve,CORE
trn_aviation_intl_pass,International Aviation,Hydrogen,share-weight,2030,2100,s-curve,CORE
trn_bus_bev_pass,bus_bev,bus_bev (LMO),share-weight,2020,2050,s-curve,CORE
trn_bus_bev_pass,bus_bev,bus_bev (NMC111),share-weight,2020,2050,s-curve,CORE
trn_bus_bev_pass,bus_bev,bus_bev (LFP),share-weight,2020,2050,s-curve,CORE
trn_dom_ship_pass,Domestic Ship,Liquids,share-weight,final-calibration-year,end-year,fixed,CORE
trn_dom_ship_pass,Domestic Ship,BEV,share-weight,2030,2075,s-curve,CORE
trn_dom_ship_pass,Domestic Ship,FCEV,share-weight,2030,2075,s-curve,CORE
trn_dom_ship_pass,Domestic Ship,Hybrid Liquids,share-weight,final-calibration-year,2050,s-curve,CORE
trn_fret_rail_pass,Freight Rail,Coal,share-weight,final-calibration-year,2020,linear,CORE
trn_fret_rail_pass,Freight Rail,Electric,share-weight,final-calibration-year,end-year,fixed,CORE
trn_fret_rail_pass,Freight Rail,Liquids,share-weight,final-calibration-year,end-year,fixed,CORE
trn_fret_rail_pass,Freight Rail,BEV,share-weight,2020,2050,s-curve,CORE
trn_fret_rail_pass,Freight Rail,FCEV,share-weight,2020,2050,s-curve,CORE
trn_fret_rail_pass,Freight Rail,Hybrid Liquids,share-weight,2020,2050,s-curve,CORE
trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (LMO),share-weight,2020,2050,s-curve,CORE
trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (NMC111),share-weight,2020,2050,s-curve,CORE
trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (NMC622),share-weight,2020,2050,s-curve,CORE
trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (NMC811),share-weight,2020,2050,s-curve,CORE
trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (NCA),share-weight,2020,2050,s-curve,CORE
trn_fret_road_ht_bev_pass,fret_road_ht_bev,h_truck_bev (LFP),share-weight,2020,2050,s-curve,CORE
trn_fret_road_lt_bev_pass,fret_road_lt_bev,l_truck_bev (LMO),share-weight,2020,2050,s-curve,CORE
trn_fret_road_lt_bev_pass,fret_road_lt_bev,l_truck_bev (NMC111),share-weight,2020,2050,s-curve,CORE
trn_fret_road_lt_bev_pass,fret_road_lt_bev,l_truck_bev (NMC622),share-weight,2020,2050,s-curve,CORE
trn_fret_road_lt_bev_pass,fret_road_lt_bev,l_truck_bev (NMC811),share-weight,2020,2050,s-curve,CORE
trn_fret_road_lt_bev_pass,fret_road_lt_bev,l_truck_bev (NCA),share-weight,2020,2050,s-curve,CORE
trn_fret_road_lt_bev_pass,fret_road_lt_bev,l_truck_bev (LFP),share-weight,2020,2050,s-curve,CORE
trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (LMO),share-weight,2020,2050,s-curve,CORE
trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (NMC111),share-weight,2020,2050,s-curve,CORE
trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (NMC622),share-weight,2020,2050,s-curve,CORE
trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (NMC811),share-weight,2020,2050,s-curve,CORE
trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (NCA),share-weight,2020,2050,s-curve,CORE
trn_fret_road_mt_bev_pass,fret_road_mt_bev,m_truck_bev (LFP),share-weight,2020,2050,s-curve,CORE
trn_fret_road_pass,Light truck,Liquids,share-weight,final-calibration-year,end-year,fixed,CORE
trn_fret_road_pass,Light truck,NG,share-weight,final-calibration-year,end-year,fixed,CORE
trn_fret_road_pass,Light truck,Hybrid Liquids,share-weight,final-calibration-year,2030,s-curve,CORE
trn_fret_road_pass,Light truck,FCEV,share-weight,2020,2050,s-curve,CORE
trn_fret_road_pass,Light truck,light_truck_bev_pass,share-weight,2020,2050,s-curve,CORE
trn_fret_road_pass,Medium truck,Liquids,share-weight,final-calibration-year,end-year,fixed,CORE
trn_fret_road_pass,Medium truck,NG,share-weight,final-calibration-year,end-year,fixed,CORE
trn_fret_road_pass,Medium truck,Hybrid Liquids,share-weight,final-calibration-year,2030,s-curve,CORE
trn_fret_road_pass,Medium truck,FCEV,share-weight,2020,2050,s-curve,CORE
trn_fret_road_pass,Medium truck,medium_truck_bev_pass,share-weight,2020,2050,s-curve,CORE
trn_fret_road_pass,Heavy truck,Liquids,share-weight,final-calibration-year,end-year,fixed,CORE
trn_fret_road_pass,Heavy truck,NG,share-weight,final-calibration-year,end-year,fixed,CORE
trn_fret_road_pass,Heavy truck,Hybrid Liquids,share-weight,final-calibration-year,2030,s-curve,CORE
trn_fret_road_pass,Heavy truck,FCEV,share-weight,2020,2050,s-curve,CORE
trn_fret_road_pass,Heavy truck,heavy_truck_bev_pass,share-weight,2020,2050,s-curve,CORE
trn_pasg_aviation_dom_pass,Domestic Aviation,Liquids,share-weight,final-calibration-year,end-year,fixed,CORE
trn_pasg_aviation_dom_pass,Domestic Aviation,BEV,share-weight,2030,2100,s-curve,CORE
trn_pasg_aviation_dom_pass,Domestic Aviation,Hydrogen,share-weight,2030,2100,s-curve,CORE
trn_pasg_cycle_pass,Cycle,Cycle,share-weight,final-calibration-year,end-year,fixed,CORE
trn_pasg_rail_pass,Passenger Rail,Electric,share-weight,final-calibration-year,end-year,fixed,CORE
trn_pasg_rail_pass,Passenger Rail,Liquids,share-weight,final-calibration-year,end-year,fixed,CORE
