# File: ghg_constraint_regionalized.csv
# Title: constraint values
# Units: MtCO2e
# Column types: innnnnnnnnnnnn
# ----------
year,Argentina,Australia_NZ,Brazil,Canada,China,Colombia,EU,India,Japan,South Africa,South Korea,USA,ROW
2025,385.8,603.9,1157.2,704.7,15062.4,218.1,3606,4244.1,1056.6,598.1,738.3,5378.8,16182.34
2030,387.189,400,900,450,16119.7,221.8095,2695.2,4684.3,768,527.571,500,3765,16078.2
2035,363.4,301.3,676.3,338.8,13433.9,167.3,2022.7,4099.4,577.3,465.9,376.3,2825,14470.88
2040,273.8,202.5,452.5,227.5,10748.1,126.725,1350.1,3514.5,386.5,350.675,252.5,1885,12863.56
2045,184.2,103.8,228.8,116.3,8062.4,86.15,677.6,2929.6,195.8,235.45,128.8,945,11256.24
2050,94.6,5,5,5,5376.6,45.575,5,2344.7,5,120.225,5,5,9648.92
2055,5,5,5,5,2690.8,5,5,1759.7,5,5,5,5,8041.6
2060,5,5,5,5,5,5,5,1174.8,5,5,5,5,8041.6
2065,5,0,0,0,0,5,0,589.9,0,5,0,0,8041.6
2070,0,0,0,0,0,0,0,5,0,0,0,0,8041.6
2075,0,0,0,0,0,0,0,0,0,0,0,0,8041.6
2080,0,0,0,0,0,0,0,0,0,0,0,0,8041.6
2085,0,0,0,0,0,0,0,0,0,0,0,0,8041.6
2090,0,0,0,0,0,0,0,0,0,0,0,0,8041.6
2095,0,0,0,0,0,0,0,0,0,0,0,0,8041.6
2100,0,0,0,0,0,0,0,0,0,0,0,0,8041.6
