# File: A321.inc_elas.csv
# Title: cement demand income elasticity as a function of per-capita gdp
# Units: inc_elas:unitless (% change in service demand / % change in income)
# Column types: nn
# ----------
pcgdp_90thousUSD,inc_elas
0,1
1,1
1.8,1.00060024
3,1
3.6,1
5,0.86
5.4,0.75
6,0.65
7.3,0.454545455
8,0.32
9.1,0.210526316
10,0.195
10.9,0.1875
12,0.186
13,0.184
14,0.182
14.5,0.180722892
16,0.18
17,0.18
18.1,0.181818182
19,0.18
20,0.175
21,0.17
21.8,0.163043478
23,0.16
24,0.155
25.4,0.151578947
26,0.14
27,0.13
28,0.12
29,0.114989733
30,0.107
31,0.099
32,0.091
32.7,0.080808081
34,0.06
35,0.03
36.3,0.01
37,0
38,0
39,0
39.9,0
41,0
42,0
43.6,0
