# File: income_shares.csv
# Title: Income shares
# Units: share
# Description: Net income shares for the 32 GCAM regions from 1967-2100. 
# Column types: iicncnnc 
# ----------
GCAM_region_ID,year,category,shares,sce,gini,gdp_pcap_decile,model
20,1967,d1,0.00026999,Historical data,0.614025322,20.71108833,Historical data
20,1968,d1,0.00026999,Historical data,0.614025322,20.71108833,Historical data
7,1967,d1,0.000869572,Historical data,0.637894037,52.37172752,Historical data
7,1968,d1,0.000869572,Historical data,0.637894037,52.37172752,Historical data
7,1969,d1,0.000869572,Historical data,0.637894037,52.37172752,Historical data
7,1970,d1,0.000869572,Historical data,0.637894037,52.37172752,Historical data
4,1991,d1,0.003596609,Historical data,0.64891878,70.77712702,Historical data
24,1999,d1,0.000769528,Historical data,0.627554516,73.01815861,Historical data
4,1989,d1,0.003771679,Historical data,0.634117423,74.18558054,Historical data
4,1990,d1,0.004380174,Historical data,0.637613291,86.35778099,Historical data
4,1969,d1,0.004654492,Historical data,0.625168906,86.88180487,Historical data
4,1988,d1,0.004597514,Historical data,0.627877343,90.24968036,Historical data
4,1970,d1,0.004846788,Historical data,0.622636382,90.76687925,Historical data
4,1986,d1,0.005037974,Historical data,0.617947634,98.61290317,Historical data
4,1971,d1,0.005384641,Historical data,0.618517093,101.5452939,Historical data
4,1987,d1,0.005348512,Historical data,0.62204157,104.7857352,Historical data
32,2000,d1,0.0013,Historical data,0.56646,107.276,Historical data
4,1972,d1,0.005725521,Historical data,0.614140388,108.9174712,Historical data
4,1985,d1,0.005601261,Historical data,0.611710704,109.5983501,Historical data
4,1976,d1,0.005624403,Historical data,0.600129495,110.1455888,Historical data
5,1970,d1,0.006155743,Historical data,0.593102961,110.7032333,Historical data
4,1975,d1,0.0057382,Historical data,0.607155972,110.990748,Historical data
5,1967,d1,0.00625171,Historical data,0.591169867,111.7115825,Historical data
5,1968,d1,0.00625171,Historical data,0.591169867,111.7115825,Historical data
5,1969,d1,0.006232108,Historical data,0.5920375,111.716791,Historical data
4,1978,d1,0.005762525,Historical data,0.598200813,113.4540706,Historical data
4,1968,d1,0.006091983,Historical data,0.610624021,114.0583673,Historical data
4,1973,d1,0.005971561,Historical data,0.611442751,114.1829663,Historical data
4,1967,d1,0.006128847,Historical data,0.610677094,114.4837823,Historical data
4,1977,d1,0.005807891,Historical data,0.597691846,114.5553928,Historical data
4,1974,d1,0.006180678,Historical data,0.608726879,118.8123421,Historical data
4,1984,d1,0.006165045,Historical data,0.605779953,120.3832734,Historical data
17,1968,d1,0.011554646,Historical data,0.526061597,124.5859444,Historical data
5,1971,d1,0.006676964,Historical data,0.593134176,125.5309715,Historical data
4,1979,d1,0.006472972,Historical data,0.597432921,127.2002343,Historical data
4,1980,d1,0.006500472,Historical data,0.597951168,127.4893832,Historical data
4,1981,d1,0.006530601,Historical data,0.598556857,127.8193501,Historical data
4,1982,d1,0.006563474,Historical data,0.59941563,128.1923744,Historical data
