"region","input","year","value"
"Africa_Eastern","refined liquids enduse",1975,0.085112831
"Africa_Eastern","refined liquids enduse",1990,0.241301351
"Africa_Eastern","refined liquids enduse",2005,0.3607113178
"Africa_Eastern","refined liquids enduse",2010,0.5326964403
"Africa_Eastern","refined liquids enduse",2015,0.6839040503
"Africa_Eastern","refined liquids enduse",2021,0.8402829799
"Africa_Eastern","refined liquids industrial",1975,0.045823592
"Africa_Eastern","refined liquids industrial",1990,0.0786700621
"Africa_Eastern","refined liquids industrial",2005,0.1833424618
"Africa_Eastern","refined liquids industrial",2010,0.2479370154
"Africa_Eastern","refined liquids industrial",2015,0.26423761062
"Africa_Eastern","refined liquids industrial",2021,0.297338696439
"Africa_Northern","refined liquids enduse",1975,0.165071519
"Africa_Northern","refined liquids enduse",1990,1.069218779999
"Africa_Northern","refined liquids enduse",2005,1.677406319
"Africa_Northern","refined liquids enduse",2010,2.245508289
"Africa_Northern","refined liquids enduse",2015,2.60294827
"Africa_Northern","refined liquids enduse",2021,2.73828329
"Africa_Northern","refined liquids industrial",1975,0.26477736758
"Africa_Northern","refined liquids industrial",1990,0.9563115597
"Africa_Northern","refined liquids industrial",2005,1.1628062089
"Africa_Northern","refined liquids industrial",2010,1.2865596278
"Africa_Northern","refined liquids industrial",2015,1.2825533055
"Africa_Northern","refined liquids industrial",2021,0.83047011724
"Africa_Southern","refined liquids enduse",1975,0.060427147
"Africa_Southern","refined liquids enduse",1990,0.19072642467
"Africa_Southern","refined liquids enduse",2005,0.25953429953
"Africa_Southern","refined liquids enduse",2010,0.39344128382
"Africa_Southern","refined liquids enduse",2015,0.575797788
"Africa_Southern","refined liquids enduse",2021,0.6385666577
"Africa_Southern","refined liquids industrial",1975,0.0426105943
"Africa_Southern","refined liquids industrial",1990,0.0586694244
"Africa_Southern","refined liquids industrial",2005,0.0844724548
"Africa_Southern","refined liquids industrial",2010,0.1239732128
"Africa_Southern","refined liquids industrial",2015,0.2219834751
"Africa_Southern","refined liquids industrial",2021,0.169501483882
"Africa_Western","refined liquids enduse",1975,0.1552110259
"Africa_Western","refined liquids enduse",1990,0.499626500627
"Africa_Western","refined liquids enduse",2005,0.910784942766
"Africa_Western","refined liquids enduse",2010,1.093625432366
"Africa_Western","refined liquids enduse",2015,1.383347847466
"Africa_Western","refined liquids enduse",2021,1.613009828032
"Africa_Western","refined liquids industrial",1975,0.086938736
"Africa_Western","refined liquids industrial",1990,0.130250022922
"Africa_Western","refined liquids industrial",2005,0.192504651
"Africa_Western","refined liquids industrial",2010,0.2242788618
"Africa_Western","refined liquids industrial",2015,0.2657276573
"Africa_Western","refined liquids industrial",2021,0.260076063733
"Argentina","refined liquids enduse",1975,0.21348365
"Argentina","refined liquids enduse",1990,0.501822929
"Argentina","refined liquids enduse",2005,0.522975024
"Argentina","refined liquids enduse",2010,0.72921293
"Argentina","refined liquids enduse",2015,0.757770428
"Argentina","refined liquids enduse",2021,0.707582472
"Argentina","refined liquids industrial",1975,0.2202155224
"Argentina","refined liquids industrial",1990,0.25869646795
"Argentina","refined liquids industrial",2005,0.36610865473
"Argentina","refined liquids industrial",2010,0.51826981058
"Argentina","refined liquids industrial",2015,0.53467817285
"Argentina","refined liquids industrial",2021,0.4581163395
"Australia_NZ","refined liquids enduse",1975,0.5664898154
